Site #,Site Name,Address,Begin Date,End Date,B,L,S,Hot/Cold,Ovens,Coolers,Days,,,,,,,,,,,,,,
2,Ammon Rec Center,2217 Bedford Avenue,6/15/2015,8/14/2015,50,50,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
4,Arlington Rec Center,2201 Salisbury Street,6/1/2015,8/14/2015,25,25,,hot,yes,yes,M - F,,,,,,,,,,,,,,
5,Arsenal Park,40th & Butler Streets,6/15/2015,8/14/2015,,25,25,Hot,yes,yes,M - F,,,,,,,,,,,,,,
9,Shadyside Boys & Girls Club,6 Brownell Place,6/15/2015,8/7/2015,,40,60,Cold,no,yes,M - F,,,,,,,,,,,,,,
19,Frazier Field House,Frazier Street @ Dawson,6/15/2015,8/7/2015,,25,25,Hot,no,yes,M - F,,,,,,,,,,,,,,
21,Homewood Church of God,7146 Idewild Street,6/15/2015,8/14/2015,25,25,,hot,yes,yes,M - F,,,,,,,,,,,,,,
22,Jefferson Rec Center,605 Redknap Street,6/15/2015,8/14/2015,,25,25,Hot,yes,yes,M - F,,,,,,,,,,,,,,
31,Northview Heights Gym,525 Mt. Pleasant Road,6/15/2015,8/14/2015,25,25,,Hot,no,no,M - F,,,,,,,,,,,,,,
32,Ornsby Rec Center,79 South 22nd Street,6/15/2015,8/14/2015,,20,25,Hot,no,no,M - F,,,,,,,,,,,,,,
34,Paulson Rec Center,1201 Paulson Avenue,6/15/2015,8/14/2015,,25,25,Hot,no,yes,M - F,,,,,,,,,,,,,,
41,Second East Hills- BJWL,2291 Wilner Drive,6/15/2015,8/14/2015,35,50,,Hot,no,no,M - F,,,,,,,,,,,,,,
44,Warrington Rec Center,329 E. Warrington Avenue,6/15/2015,8/14/2015,,25,25,Hot,yes,yes,M - F,,,,,,,,,,,,,,
47,Allegheny YMCA,600 W. North Avenue,6/15/2015,8/14/2015,30,30,,Cold,no,yes,M - F,,,,,,,,,,,,,,
52,Hazlewood YMCA,4713 Chatsworth Avenue,6/15/2015,8/14/2015,40,40,,Hot,no,no,M - F,,,,,,,,,,,,,,
53,Monumental Baptist Church,2240 Wylie Avenue,6/15/2015,6/19/2015,25,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
55,Homewood-Brushton YMCA,7140 Bennett Street,6/15/2015,8/13/2015,75,75,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
60,Oak Hill/Wadsworth- BJWL,"480 Oak Hill Drive, 15219",6/15/2015,8/14/2015,25,25,,Hot,no,yes,M - F,,,,,,,,,,,,,,
63,Garfield Jubilee,5325 Penn Avenue (Rear),6/15/2015,8/14/2015,25,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
74,Brookline Rec Center,1200 Oakridge Avenue,6/15/2015,8/14/2015,,25,25,Hot,no,no,M - F,,,,,,,,,,,,,,
75,Bloomfield Rec Center,408 Ella Street,Cancel Program This Year,,,,,,,,,,,,,,,,,,,,,,
81,Magee Rec Center,745 Greenfield Avenue,6/15/2015,8/14/2015,,25,25,Hot,yes,yes,M - F,,,,,,,,,,,,,,
91,A.S. Wee Care,3004 Stayton Street,6/15/2015,8/14/2015,25,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
92,Phillips Rec Center,201 Parkfield Street,6/15/2015,8/14/2015,,50,50,Hot,yes,yes,M - F,,,,,,,,,,,,,,
94,St. Andrews Lutheran Church,218 Alter Street,6/15/2015,7/31/2015,,25,25,Hot,yes,yes,M - F,,,,,,,,,,,,,,
137,West Penn Rec Center,450 30th Street,6/15/2015,8/14/2015,25,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
148,Bedford Dwellings- BJWL,2275 Bedford Avenue (rear),6/15/2015,8/14/2015,25,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
152,Homewood North,10 Albertise Street,6/15/2015,8/14/2015,40,40,,Hot,yes,no,M - F,,,,,,,,,,,,,,
170,1st Baptist  - Collegiate YMCA,4200 5th Ave (William Pitt Union),6/15/2015,8/14/2015,30,,30,N/A,no,yes,M - F,,,,,,,,,,,,,,
211,Estelle S. Campbell B&G,4600 Butler Street,6/15/2015,8/7/2015,50,50,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
217,Homewood- Brushton YWCA,6907 Frankstown Avenue,6/15/2015,8/14/2015,40,40,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
251,Community Empowerment,"7120 Kelly Street, 15208",6/15/2015,8/14/2015,75,75,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
257,Youth Empowerment- BJWL,415 Mt. Pleasant Road (rear),6/15/2015,8/14/2015,25,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
265,Arlington Heights,3132 Cordell Place (rear),6/15/2015,8/14/2015,25,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
292,Trinity Lutheran Church,601 Brownsville Road,6/15/2015,8/14/2015,,25,,Hot,yes,no,M - F,,,,,,,,,,,,,,
306,Moore Park,Pioneer Avenue,6/15/2015,8/14/2015,,25,25,Hot,yes,yes,M - F,,,,,,,,,,,,,,
308,Ream Pool,321 Merrimac Street,6/15/2015,8/14/2015,,25,25,Hot,yes,yes,M - F,,,,,,,,,,,,,,
315,Hazelwood- BJWL,895 Johnston Avenue,6/15/2015,8/14/2015,25,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
327,Fowler Pool,2438 Wilson Avenue,6/15/2015,8/7/2015,,25,25,Cold,no,yes,M - F,,,,,,,,,,,,,,
353,New Grace Baptist Church,"566 Brushton Avenue, 15208",6/15/2015,8/14/2015,25,25,,Hot,no,yes,M - F,,,,,,,,,,,,,,
370,Beechview Spray Park,1200 Orangewood Avenue,6/15/2015,8/14/2015,,25,25,Hot,yes,yes,M - F,,,,,,,,,,,,,,
374,Troy Hill Spray Park,1200 Goettman Street,6/15/2015,8/14/2015,,25,25,Hot,yes,yes,M -F,,,,,,,,,,,,,,
377,Child of the King,302 W. North Avenue,6/15/2015,8/14/2015,25,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
378,Thelma Lovette YMCA,2114 Center Avenue,6/15/2015,8/14/2015,75,75,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
2429,Garfield Commons,"242 Fern Street, 15224",6/16/2015,8/15/2015,25,25,,Hot,yes,no,M - Th,,,,,,,,,,,,,,
,Hamilton - Larimer BJWL,6234 Auburn Street,6/15/2015,8/14/2015,25,25,,Hot,no,yes,M - F,,,,,,,,,,,,,,
,Melon Park Spray Park,5th Ave & Beechwood Blvd,6/15/2015,8/14/2015,,25,,Cold,no,yes,M - F,,,,,,,,,,,,,,
,Schenley Pavilion (pool),"1 Overlook Dr, 15213",6/15/2015,8/14/2015,,25,,Cold,no,yes,M - F,,,,,,,,,,,,,,
,Jack Stack Pool,600 Brighton Woods Rd,6/15/2015,8/14/2015,,25,,Cold,no,yes,M - F,,,,,,,,,,,,,,
27,Elderado Center,900 Delmont Street,6/22/2015,8/14/2015,250,250,,Hot,yes,yes,M- F,,,,,,,,,,,,,,
29,Limbach Center,816 Tripoli Street,6/22/2015,8/7/2015,,25,25,Hot,yes,yes,M - Th,,,,,,,,,,,,,,
139,Valley View Presbyterian,604 N. Aiken Avenue,6/22/2015,7/23/2015,30,30,,Hot,no,no,M-Th,,,,,,,,,,,,,,
168,The Open Door,12 Stratmore St,6/22/2015,7/31/2015,50,50,,Hot,no,no,M - F,,,,,,,,,,,,,,
371,Project Destiny,3737 Brighton Road,6/22/2015,7/31/2015,35,35,,Hot,no,no,M - F,,,,,,,,,,,,,,
382,Project Destiny 2,2200 California Avenue,6/22/2015,8/7/2015,,25,25,Hot,no,no,M - F,,,,,,,,,,,,,,
64,Salvation Army- Westside,1821 Broadhead Road,6/29/2015,7/31/2015,,30,30,Hot,No,No,M - F,,,,,,,,,,,,,,
84,Bethany House Ministry,1500 Chicago Street,6/29/2015,8/13/2015,25,25,,Hot,yes,yes,M-Th,,,,,,,,,,,,,,
107,Morningside C.O.G.I.C.,5173 Dearborn Street,6/29/2015,8/7/2015,25,25,,Cold,no,yes,M - F,,,,,,,,,,,,,,
120,Grace Memorial Church,1000 Bryn Mawr Road,6/29/2015,8/7/2015,,75,75,Hot,no,no,M - F,,,,,,,,,,,,,,
383,Salvation Army- North Side,100 W North Ave,6/29/2015,8/14/2015,25,25,,Hot,no,yes,M - F,,,,,,,,,,,,,,
,Schenley Heights Comm. Dev Center,3171 Ewart Dr,6/29/2015,8/7/2015,,30,30,Cold,no,yes,M - F,,,,,,,,,,,,,,
124,Wesley Center,2701 Centre Avenue,7/1/2015,8/6/2015,60,60,,Hot,no,yes,M-Th,,,,,,,,,,,,,,
273,White Lily Baptist Church,3621 Chartiers Ave,7/1/2015,8/13/2015,,25,,Hot,yes,no,M - Th,,,,,,,,,,,,,,
,Jeron X Grayson Center,1852 Enoch St,7/1/2015,8/6/2015,25,25,,Hot,no,yes,M- F,,,,,,,,,,,,,,
16,Homewood Renaissance Assoc.,7130 Frankstown Ave,7/6/2015,8/14/2015,25,25,,Hot,no,Yes,M - F,,,,,,,,,,,,,,
40,Slavation Army - Homewood,8020 Frankstown Ave,7/6/2015,8/14/2015,,25,,Hot,yes,yes,M - F,,,,,,,,,,,,,,
156,Brothers & Sisters Emerging,5315 Hillcrest St,7/6/2015,8/7/2015,,25,25,Cold,no,no,M - F,,,,,,,,,,,,,,
229,Abiding Faith Ministry,3001 Bergman St,7/6/2015,8/14/2015,,25,,Cold,no,yes,M - F,,,,,,,,,,,,,,
,Steel City Squash,140 Alequippa St./ Trees Hall,7/6/2015,8/7/2015,,25,,Cold,no,yes,M - F,,,,,,,,,,,,,,
379,AP Summer Academy @ CMU,5000 Forbes Ave,7/13/2015,7/13/2015,50,50,,Cold,no,yes,M - F,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
