,Status,2009/10,2010/11,2011/12,2012/13,*2013/14
Number of enrolments,Non-regulated,36227,31045,31344,33538,39047
,Regulated,163350,155425,153076,156806,141778
,Total,199577,186470,184420,190344,180825
Number of individuals,Non-regulated,24631,22012,22032,23800,27519
,Regulated,100554,95291,90160,86726,78454
,Total,120102,113113,107704,105035,99293
Enrolments per individual,Non-regulated,2,1,1,1,1
,Regulated,2,2,2,2,2
,Total,2,2,2,2,2
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,,
Notes:,,,,,,
For further details on definitions please refer to the metadata.,,,,,,
* Please note any comparisons on regulated and non-regulated provision made to 2013/14 needs to take into account the change in definition of ‘regulated’. Refer to metadata for further details on this.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
