Disease,Week 31,Week 30,Week 29,Week 28,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,1,0,1,30,40,34,,,,,,,,
Acute Encephalitis/Meningitis Viral,1,0,0,0,4,4,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,27,30,20,33,1132,1337,1216,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,2,1,1,0,24,11,3,, ,,,,,,
Food Poisoning,50,44,43,44,1092,1084,1070,, , ,,,,,
Gastroenteritis (< 2years),3,5,6,5,168,258,444,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,3,,, , , ,,,
Hepatitis B,1,3,1,1,69,78,58,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,2,0,0,1,5,3,5,,, ,, ,, ,
Leptospirosis,0,0,0,0,2,0,0,, , , , ,,,
Malaria,0,0,0,0,2,5,3,,, ,,, ,,
Measles,0,0,0,0,13,11,50,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,9,15,18,,, , , , ,,
Mumps,1,6,1,7,183,39,623,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,1,0,0,0,5,6,9,,, ,,,,,
Scarlet Fever,0,3,0,7,296,517,146,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),0,0,0,0,24,45,19,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,0,0,20,23,24,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,5,3,1,4,54,19,68,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,93,97,73,103,3142,3497,3802,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
