HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA02C,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,.,"13,313",.,.,.,.,"13,313"
AA02D,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,"13,304",.,.,.,.,"13,304"
AA02E,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"8,457",.,.,.,.,"8,457"
AA02F,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"9,090",.,.,.,.,"9,090"
AA03C,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"7,530",.,.,.,.,"7,530"
AA03D,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"7,694",.,.,.,.,"7,694"
AA04D,"Major Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,"20,887",.,.,.,.,"20,887"
AA05C,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"8,023",.,.,.,.,"8,023"
AA05D,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"10,077",.,.,.,.,"10,077"
AA06D,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"18,651",.,.,.,.,"18,651"
AA06E,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"12,683",.,.,.,.,"12,683"
AA06F,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"11,398",.,.,.,.,"11,398"
AA07C,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"14,571",.,.,.,.,"14,571"
AA07D,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"9,943",.,.,.,.,"9,943"
AA09D,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"14,126",.,.,.,.,"14,126"
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,380",.,.,.,.,"6,380"
AA11Z,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,"14,289",.,.,.,.,"14,289"
AA12C,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,"7,459",.,.,.,.,"7,459"
AA12D,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"10,007",.,.,.,.,"10,007"
AA12E,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"10,644",.,.,.,.,"10,644"
AA13C,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"10,463",.,.,.,.,"10,463"
AA13D,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"9,015",.,.,.,.,"9,015"
AA15C,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+","8,006",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,006"
AA15D,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"15,348",.,.,.,.,"15,348"
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"13,833",.,.,.,.,"13,833"
AA16Z,"Minor Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy",.,.,.,.,.,.,.,.,.,.,.,"10,785",.,.,.,.,"10,785"
AA17D,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"9,980",.,.,.,.,"9,980"
AA18C,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"7,446",.,.,.,.,"7,446"
AA18D,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"7,650",.,.,.,.,"7,650"
AA19C,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"8,926",.,.,.,.,"8,926"
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"8,692",.,.,.,.,"8,692"
AA19E,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"7,991",.,.,.,.,"7,991"
AA20C,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"6,984",.,.,.,"11,624","8,530"
AA21C,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"16,016",.,.,.,.,"16,016"
AA21D,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"9,201",.,.,.,.,"9,201"
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,"5,931",.,.,.,.,.,.,"6,549",.,.,.,.,"6,498"
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,.,.,.,.,.,.,.,.,.,.,"8,201",.,.,.,"6,334","8,076"
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",.,.,.,.,.,.,.,.,.,.,.,"6,529",.,.,.,.,"6,529"
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+","15,779",.,.,.,"2,900",.,.,.,.,.,.,"9,879",.,.,.,.,"9,699"
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,"2,451","3,691",.,.,"4,509","11,149",.,"9,070",.,"20,549",.,.,"8,976"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","3,990","3,638",.,.,"3,204","4,923","3,693",.,"7,607","6,833",.,"3,311",.,"3,013",.,597,"3,427"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","2,543","1,641","2,368","4,989","2,081","1,976","5,275",.,"2,630","1,439","1,561","2,872","5,700","5,312",.,"2,024","2,755"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","2,176","2,350","2,045","2,418","2,073","1,819","2,338",.,"1,327",.,"2,273","3,110",.,"2,004",.,"1,892","2,457"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,"4,473",.,.,.,.,.,.,"13,048",.,.,.,"14,929",.,.,.,"12,629"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,"12,210","7,779",.,.,"1,813",.,"7,385",.,"1,829",.,.,"3,346",.,.,.,"2,568","5,412"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,"4,048","4,402","4,450","7,938","2,139","1,407",.,.,"3,194","14,745","9,870","4,184","16,693","6,389",.,"3,126","4,940"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"2,788","2,772",786,"3,907","2,175","2,821","1,583",.,"1,496","3,237","2,308","2,644",.,"4,687",.,"2,640","2,725"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"1,860","1,081","2,496","1,706","2,045","1,623",.,.,"1,219",.,"2,070","2,768",.,"3,399",.,"1,354","2,215"
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+","10,375","4,879","7,519",.,"2,614",.,.,.,"6,869",.,"14,274",.,"11,400",.,.,"4,178","7,785"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10","13,260","3,050","4,952","13,607",.,"6,628","8,906",.,"6,141",.,.,"2,330","17,915",.,.,"6,235","6,351"
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7","4,193","3,175","4,626",.,"5,555","5,724","4,220",.,"4,885",.,"3,102","2,930","6,107",.,.,"2,122","3,656"
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5","3,150","2,996","5,140","3,477","2,502","1,958","1,055",.,"4,509",.,"3,403","2,368",.,"9,588",.,"3,553","3,587"
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3","2,447","3,150","4,178","3,357","2,781","2,611","5,407",.,.,.,"5,594","2,792",.,"3,367",.,"1,571","3,063"
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1","1,972","1,258","3,297","2,500","1,851",.,.,.,"1,879",.,734,"1,673",814,"3,834",.,"1,711","2,087"
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,.,907,"4,774",.,.,.,"5,196","11,149","21,635","15,674","15,743","3,013",.,"9,582","10,133"
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13","2,378","2,349",.,"8,164","2,531","1,076","4,220",.,"4,024",.,.,"2,117",.,"4,506",.,"2,140","2,734"
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10","3,681","3,195","3,311","3,613","1,609","4,067","8,440",.,"2,433","4,059","5,741","2,206",.,"4,326",.,"1,693","2,713"
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7","1,982","1,551","3,728","2,554","1,998","1,322",.,.,"1,754","3,057","2,089","2,273","3,122","3,537",.,"1,163","2,060"
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4","1,834","1,360","2,148","1,690","1,386","1,464","2,020",.,"1,125","2,158","1,176","1,850","2,443","1,983",.,"1,476","1,656"
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+","1,315",.,.,.,"1,813","1,581",.,.,"16,362","5,634",.,882,"10,433",.,.,.,"8,565"
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14","11,513","2,216","1,544","6,713","4,767","6,550","3,165",.,"2,784","7,218","1,184","2,791","7,872","8,524",.,"3,274","5,036"
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11","2,971","5,319","3,334","7,763","2,385","2,501","6,330",.,"4,207","5,538",.,"3,725","8,069","5,860",.,"3,044","4,154"
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8","2,396","2,294","3,051","2,660","1,932","1,838","2,871",.,"1,735","3,620","1,123","2,478","3,315","3,201",.,"1,814","2,315"
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5","1,729","1,559","1,474","1,935","1,459","1,210","2,189",.,"1,647","1,978","1,439","1,741","2,443","2,089",.,"1,394","1,629"
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2","1,302","1,183","1,319","1,523","1,073",912,"1,253","1,931","1,309",.,"1,046","1,540","1,629","1,667",.,"1,170","1,303"
