Disease,Week 4,Week 3,Week 2,Week 1,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,2,1,2,5,9,4,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,0,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,30,48,46,0,124,116,98,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,1,2,0,3,0,0,, ,,,,,,
Food Poisoning,22,21,29,23,95,82,75,, ,,,,,,
Gastroenteritis (< 2years),5,6,4,7,22,38,30,,, ,,,,,
Hepatitis A,0,0,0,0,0,0,0,,,, , ,,,
Hepatitis B,0,2,1,3,5,10,7,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,1,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,0,0,, , , , ,,,
Malaria,0,0,0,0,0,3,0,,, ,,, ,,
Measles,0,1,2,0,3,3,12,, , , , ,,,
Meningococcal Septicaemia,1,0,1,0,2,3,4,,, , , , ,,
Mumps,16,9,5,3,33,9,167,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,,, ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,0,1,0,1,2,0,1,,, ,,,,,
Scarlet Fever,10,8,4,8,30,28,21,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,0,0,0,, ,,,,,,
Tuberculosis (Pulmonary),1,2,0,0,3,3,2,, , ,,,,,
Tuberculosis (Non Pulmonary),1,0,0,2,3,3,2,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,2,2,1,0,5,0,19,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,88,103,96,49,335,307,443,, , ,,,,,
,,,,,,,,, ,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,,,,,,,,,
,,, ,,,,,, ,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
