Disease,Week 7,Week 6,Week 5,Week 4,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,3,1,5,13,9,16,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,1,1,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,16,22,38,21,184,193,230,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,0,1,0,2,5,0,, ,,,,,,
Food Poisoning,28,38,40,32,221,175,164,, , ,,,,,
Gastroenteritis (< 2years),2,1,0,1,26,43,73,, , ,,,,,
Hepatitis A,0,0,0,0,2,2,0,, , , , ,,,
Hepatitis B,3,3,0,0,11,7,20,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,0,1,1,0,4,,, ,,, ,,
Measles,1,2,0,1,4,3,4,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,2,3,7,,, , , , ,,
Mumps,20,16,17,23,111,63,11,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,2,0,,, ,,,,,
Scarlet Fever,7,13,14,4,61,71,69,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),1,0,3,1,7,9,7,, , ,,,,,
Tuberculosis (Non Pulmonary),1,1,0,1,5,5,7,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,2,4,1,2,14,5,1,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,81,103,115,92,665,599,614,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
