HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA02D,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,"5,152",.,.,.,.,"5,152"
AA02E,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"2,358",.,.,.,.,"2,358"
AA02F,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"7,835",.,.,.,.,"7,835"
AA03C,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"10,624",.,.,.,.,"10,624"
AA03D,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"5,321",.,.,.,.,"5,321"
AA06C,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 9+",.,.,.,.,.,.,.,.,.,.,.,"45,080",.,.,.,.,"45,080"
AA06D,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"14,774",.,.,.,.,"14,774"
AA06E,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"10,747",.,.,.,.,"10,747"
AA06F,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"9,545",.,.,.,.,"9,545"
AA07C,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"13,934",.,.,.,.,"13,934"
AA07D,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"3,490",.,.,.,.,"3,490"
AA08C,"Major Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"6,752",.,.,.,.,"6,752"
