Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident 2009,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)",Unfilled positions
ASHBURTON DISTRICT,METHVEN COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,5,0,6,1.20,209,124,,,,,,,,,4,66.7%,4,80.0%,"1,032",15,1.43%,"1,047",1540,68.0%,"1,032",15,"1,047",609,59.0%,13,86.7%,622,59.4%,5,0.8%,0,0.0%,5,0.8%,3,60.0%,0,,3,60.0%,0,0.0%,7,1.1%,7,1.1%,2,33.3%,2,40.0%,
ASHBURTON DISTRICT,ASHBURTON DISTRICT COUNCIL,ASHBURTON,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,7,0,12,1.71,"1,759","1,082",5,41.7%,,,4,57.1%,4,,0,0.0%,0,0.0%,"12,307",3,0.02%,"12,310",16600,74.2%,"12,307",3,"12,310","7,573",61.5%,0,0.0%,"7,573",61.5%,35,0.5%,0,,35,0.5%,33,94.3%,0,,33,94.3%,12,0.2%,148,2.0%,160,2.1%,5,41.7%,3,42.9%,
ASHBURTON DISTRICT,ASHBURTON DISTRICT COUNCIL,EASTERN,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,3,0,5,1.67,"1,707",893,2,40.0%,,,2,66.7%,2,,0,0.0%,0,0.0%,"5,118",2,0.04%,"5,120",7750,66.1%,"5,118",2,"5,120","2,676",52.3%,3,150.0%,"2,679",52.3%,8,0.3%,3,100.0%,11,0.4%,8,100.0%,3,100.0%,11,100.0%,1,0.0%,73,2.7%,74,2.8%,0,0.0%,0,0.0%,
ASHBURTON DISTRICT,ASHBURTON DISTRICT COUNCIL,WESTERN,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,2,0,5,2.50,"1,543",893,1,20.0%,,,0,0.0%,0,,1,20.0%,1,50.0%,"3,059",27,0.87%,"3,086",4760,64.8%,"3,059",27,"3,086","1,771",57.9%,15,55.6%,"1,786",57.9%,8,0.5%,4,26.7%,12,0.7%,8,100.0%,2,50.0%,10,83.3%,5,0.3%,12,0.7%,17,1.0%,2,40.0%,0,0.0%,
ASHBURTON DISTRICT,ASHBURTON LICENSING TRUST,AT LARGE,LT,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,0,9,1.50,"2,844","1,707",,,,,,,,,3,33.3%,3,50.0%,"17,064",,,"17,064",,,"17,064",,"17,064","10,244",60.0%,,,"10,244",60.0%,42,0.4%,,,42,0.4%,40,95.2%,,,40,95.2%,43,0.4%,432,4.2%,475,4.6%,2,22.2%,1,16.7%,
ASHBURTON DISTRICT,ASHBURTON DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,N,N/A,12.50 pm,Random,N/A,N/A,"20,516",95,15,Contested,1,0,3,3.00,"20,516","12,038",2,66.7%,2,Defeated,0,0.0%,0,,,,,,"20,484",32,0.16%,"20,516",29110,70.5%,"20,484",32,"20,516","12,020",58.7%,18,56.3%,"12,038",58.7%,51,0.4%,7,38.9%,58,0.5%,49,96.1%,5,71.4%,54,93.1%,5,0.0%,176,1.5%,181,1.5%,1,33.3%,0,0.0%,
AUCKLAND,ALBERT-EDEN LOCAL BOARD,MAUNGAWHAU,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,0,16,4.00,"8,488","4,371",,,,,,,,,4,25.0%,2,50.0%,"33,876",77,0.23%,"33,953",49900,68.0%,"33,876",77,"33,953","17,408",51.4%,75,97.4%,"17,483",51.5%,270,1.6%,12,16.0%,282,1.6%,124,45.9%,6,50.0%,130,46.1%,57,0.3%,"2,607",14.9%,"2,664",15.2%,7,43.8%,1,25.0%,
AUCKLAND,ALBERT-EDEN LOCAL BOARD,OWAIRAKA,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,0,12,3.00,"8,185","4,180",,,,,,,,,2,16.7%,2,50.0%,"32,683",58,0.18%,"32,741",48900,67.0%,"32,683",58,"32,741","16,664",51.0%,55,94.8%,"16,719",51.1%,283,1.7%,10,18.2%,293,1.8%,130,45.9%,4,40.0%,134,45.7%,22,0.1%,"2,077",12.4%,"2,099",12.6%,6,50.0%,3,75.0%,
AUCKLAND,DEVONPORT-TAKAPUNA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,0,19,3.17,"6,857","3,781",,,,,,,,,9,47.4%,5,83.3%,"41,111",33,0.08%,"41,144",57300,71.8%,"41,111",33,"41,144","22,645",55.1%,40,121.2%,"22,685",55.1%,325,1.4%,7,17.5%,332,1.5%,215,66.2%,7,100.0%,222,66.9%,100,0.4%,"1,898",8.4%,"1,998",8.8%,8,42.1%,2,33.3%,
AUCKLAND,FRANKLIN LOCAL BOARD,PUKEKOHE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,0,6,1.50,"5,078","2,606",,,,,,,,,2,33.3%,2,50.0%,"20,292",18,0.09%,"20,310",30300,67.0%,"20,292",18,"20,310","10,403",51.3%,20,111.1%,"10,423",51.3%,73,0.7%,11,55.0%,84,0.8%,25,34.2%,4,36.4%,29,34.5%,7,0.1%,574,5.5%,581,5.6%,1,16.7%,0,0.0%,
