,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,,,Average
Cost per contact,£,£,£,£,£,,,,,,,,,,,,,,,
District Nursing (Core),40.8,33.13,35.12,40.07,41.11,,,,,,,,,,,,,,,37.51
Community Dental,129.48,104.89,95.52,96.24,94.61,,,,,,,,,,,,,,,104.11
Community Midwives,35.35,40.62,42.14,26.4,36.76,,,,,,,,,,,,,,,35.54
Community Psychiatric Nursing,87.79,127.79,126,112.01,100.79,,,,,,,,,,,,,,,104.57
Health Visiting,48.32,43.55,49.22,41.75,35.46,,,,,,,,,,,,,,,42.9
LD Nurses,138.07,151.33,90.57,207.79,280.75,,,,,,,,,,,,,,,150.23
Occupational Therapy,89.06,121.52,110.26,55.98,96.66,,,,,,,,,,,,,,,90.33
Physiotherapy,50.08,40.97,39.64,37.67,36.34,,,,,,,,,,,,,,,41.31
Podiatry,50.01,33.49,33.87,44.79,43.81,,,,,,,,,,,,,,,40.82
Speech and Language Therapy,96.02,88,52.89,71.85,86.44,,,,,,,,,,,,,,,76.98
Family Planning,72.93,111.25,,106.54,96.34,,,,,,,,,,,,,,,87.14
Clinical Psychology,167.68,144.73,148.55,151.9,142.25,,,,,,,,,,,,,,,151.77
Dietetics,74.38,66.95,74.84,60.87,58.68,,,,,,,,,,,,,,,67.16
Orthoptics,41.39,40.03,35.73,40.12,44.89,,,,,,,,,,,,,,,40.78
,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,,,Average
Cost per active case,£,£,£,£,£,,,,,,,,,,,,,,,
Social Work POC 3,"2,302.93","2,598.72","2,365.45","2,547.62","2,123.27",,,,,,,,,,,,,,,"2,373.57"
Social Work POC 4,729.91,714.91,659.07,576.72,902.16,,,,,,,,,,,,,,,717.96
Social Work POC 5,"1,055.50","1,197.84","2,168.74",415.19,"2,338.65",,,,,,,,,,,,,,,"1,021.54"
Social Work POC 6,"1,267.04","1,614.31",903.56,"1,559.74",989.59,,,,,,,,,,,,,,,"1,265.73"
Social Work POC 7,"1,419.76","1,907.37",754.35,"1,486.07","1,583.81",,,,,,,,,,,,,,,"1,358.19"
,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,,,Average
Cost per hour delivered,£,£,£,£,£,,,,,,,,,,,,,,,
Combined Domiciliary Care (Including Direct Payments),15.56,16.39,14.19,15.33,14.33,,,,,,,,,,,,,,,15.15
,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,,,Average
Cost per occupied place,£,£,£,£,£,,,,,,,,,,,,,,,
Nursing Care POC 5,683.8,654.62,801.2,631.2,662.86,,,,,,,,,,,,,,,666.21
Nursing Care POC 6,846.69,778.59,803.36,784.45,745.83,,,,,,,,,,,,,,,795.1
Nursing Care POC 7,714.41,697.58,758.17,659.11,700.81,,,,,,,,,,,,,,,706.22
Nursing Care POC 4 Total,618,620.89,626.68,617.29,652.45,,,,,,,,,,,,,,,624.96
,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,,,Average
Cost per occupied place (Resident Week),£,£,£,£,£,,,,,,,,,,,,,,,
Residential Care POC 3,"3,706.62","3,761.94","3,160.58","4,965.19","3,447.72",,,,,,,,,,,,,,,"3,699.71"
Residential Care POC 5,495.67,496.03,571.95,518.1,523.35,,,,,,,,,,,,,,,506.6
Residential Care POC 6,"1,411.82","1,340.08","1,098.73","1,167.55",987.46,,,,,,,,,,,,,,,1173.58
Residential Care POC 7 ,580.42,719.78,725.05,553.75,547.41,,,,,,,,,,,,,,,643.67
Residential Care POC 4 Total,658.79,615.89,563.17,598.59,616.25,,,,,,,,,,,,,,,611.52
,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,,,Average
Cost per attendance,£,£,£,£,£,,,,,,,,,,,,,,,
Statutory Day Care POC 5,60.89,76.84,32.74,81.25,47.23,,,,,,,,,,,,,,,57.36
Statutory Day Care POC 6,92.28,69.23,68.07,87.4,75.51,,,,,,,,,,,,,,,77.94
Statutory Day Care POC 7,129.29,69.32,111.07,146.05,110.84,,,,,,,,,,,,,,,112.35
Statutory Day Care POC 4 Total,77.81,78.85,82.19,87.66,87.62,,,,,,,,,,,,,,,81.29
,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,,,Average
Cost per Meal,£,£,£,£,£,,,,,,,,,,,,,,,
Meals Delivered to Client Homes,4.35,5.47,4.99,3.82,4.54,,,,,,,,,,,,,,,4.62
,Belfast,Northern,South Eastern,Southern,Western,,,,,,,,,,,,,,,Average
Cost per Attendance,£,£,£,£,£,,,,,,,,,,,,,,,
Community Addiction Team,139.54,236.83,178.34,138.6,127.45,,,,,,,,,,,,,,,156
Mental Health Inpatient Services,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Downshire,Gransha,Holywell,Knockbracken Healthcare Park,Mater,Musgrave Park,North & West Belfast,Royal,St Luke's,Tyrone & Fermanagh,Ulster ,Whiteabbey,,,Average
Cost per Patient Week,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,,,£
Addictions,,,,,,"2,567",,"3,866",,,,,,"4,987","2,017",,,,,"3,045.35"
Rehab,,,,,,"3,585","1,810","4,244","2,091",,,,,"6,037","2,084",,,,,"2,412.92"
ITU,,,,"3,704",,"2,422","5,323","5,105","4,973",,,,,,"4,118",,,,,"3,935.01"
Secure Units,,,,,,,,,"3,371",,,,,,,,,,,"3,371.21"
Acute Care,,,"2,455","2,096",,"2,564","2,653","2,181","2,290","2,375",,,,,"2,212","2,285",,,,"2,317.16"
Child & Adolescent Psychiatry,,,,162,,,,,"4,990",,,,,,,,,,,"4,933.26"
Forensic Psychiatry,,,,,,,,,,,,,,,"4,055",,,,,"4,055.49"
Old age Psychiatry,,,"2,440","2,234",,"2,985","4,028","2,888","3,211","2,753",,,,"3,459","3,232",,,,,"3,083.12"
Other,,,,,,"2,419",,"2,379",,,,,,,,,,,,"2,397.05"
Mental Health Daycare Services,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Downshire,Gransha,Mater,Musgrave Park Hospital,North & West Belfast,Northern,Royal,South Tyrone,St Luke's,Tyrone & Fermanagh,Ulster,Whiteabbey,,,Average
Cost per Attendance,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,,,£
Addictions,,,,,,,,,,,,,,,,,,,,
Rehab,,,,,113,136,,,,,,,,207,94,,,,,103.97
Acute Care,,,,93,99,136,374,,,,,,91,,,453,116,,,149.07
Old age Psychiatry,,,,,,,,,,,,,,,437,,,,,437.26
Learning Disability Inpatient Services,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Gransha,Longstone,Mater,Muckamore Abbey Hospital,Musgrave Park Hospital,Northern,Royal,South & East Belfast,South Eastern,Tyrone & Fermanagh,Ulster,Whiteabbey,,,Average
Cost per Occupied Week,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,,,£
Children short stay,,,,,,,,,"6,736",,,,,,,,,,,"6,735.61"
Children long stay,,,,,,,,,,,,,,,,,,,,
Adult short stay,,,,"5,087",,"4,418",,,"2,799",,,,,,,,,,,"3,093.88"
Adult long stay,,,,,,"4,314",,,"6,298",,,,,,,,,,,"5,953.27"
Learning Disability Hospital Daycare Cost,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Gransha,Longstone,Mater,Muckamore Abbey Hospital,Musgrave Park Hospital,Northern,Royal,South & East Belfast,South Eastern,Tyrone & Fermanagh,Ulster ,Whiteabbey,,,Average
,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,,,£
Daycare,,,,,,75,,,111,,,,,,,,,,,107.24
Service,Altnagelvin,Belfast City Hospital,Braid Valley,Causeway,Bluestone Unit,Daisy Hill,Erne,Foyle,Lagan Valley,Lurgan,Muckamore Abbey Hospital,Mullinure,Musgrave Park Hospital,Royal,South Tyrone,Tyrone County,Ulster,Whiteabbey,,
Geriatric Medicine Daycare,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,£,,£
Daycare,,,,,,,,,227,354,,152,471,,232,,649,404,,326.62
Physical Disability Inpatient Services,Altnagelvin,Belfast City Hospital,Causeway,Bluestone Unit,Daisy Hill,Dalriada,Foyle,Mater,Musgrave Park Hospital,North & West Belfast,Royal,South & East Belfast,Southern,Sperrin Lakeland,Thompson House,Ulster,Whiteabbey,,,Average
