HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tryone,SouthWestAcute,Tyrone County,Ulster,N. Ireland Unit Cost,
AA22C,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,"2,485",.,.,.,.,"2,485",
AA22C,320,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,"4,105",.,.,.,.,"4,105",
AA22E,101,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,"4,566",.,.,.,.,.,.,.,.,.,.,.,.,"4,566",
AA22E,303,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","1,693",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,693",
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,.,"3,705",.,.,.,.,"3,705",
AA22F,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"1,513",.,.,.,.,"1,513",
AA22F,302,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"5,781",.,.,.,.,"5,781",
AA22F,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,832,.,.,.,.,.,.,.,.,.,.,.,.,832,
AA22F,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,"2,424",.,.,.,.,"2,424",
AA22F,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,.,463,.,.,.,.,463,
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,439,.,.,.,.,.,.,.,.,.,.,.,.,439,
AA22G,120,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,144",.,.,.,.,"2,144",
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"5,513",.,.,.,.,"5,513",
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",446,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,446,
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,"2,945",.,.,.,.,"2,945",
AA23C,361,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,903","5,903",
AA23D,361,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"1,350",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,350",
