Disease,Week 9,Week 8,Week 7,Week 6,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,2,2,2,1,13,19,11,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,2,1,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,52,33,38,0,278,340,246,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,2,0,2,7,1,0,, ,,,,,,
Food Poisoning,31,16,24,29,222,211,205,, ,,,,,,
Gastroenteritis (< 2years),2,0,2,0,27,80,73,,, ,,,,,
Hepatitis A,1,0,1,1,3,2,1,,,, , ,,,
Hepatitis B,2,4,2,2,22,30,20,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,3,,, ,, ,, ,
Leptospirosis,0,0,0,1,1,0,0,, , , , ,,,
Malaria,0,0,0,0,0,4,2,,, ,,, ,,
Measles,0,2,0,0,4,5,25,, , , , ,,,
Meningococcal Septicaemia,1,1,1,0,5,9,8,,, , , , ,,
Mumps,8,4,9,8,73,13,289,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,,, ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,0,0,0,0,2,0,4,,, ,,,,,
Scarlet Fever,13,11,10,22,95,101,64,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,1,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),1,1,2,1,11,10,6,, , ,,,,,
Tuberculosis (Non Pulmonary),1,2,3,0,8,7,3,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,1,1,0,0,7,3,35,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,115,79,94,68,781,837,997,, , ,,,,,
,,,,,,,,, ,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,,,,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
