Mode of Attendance,Status,2009/10,2010/11,2011/12,2012/13,*2013/14
Full-time,Non-regulated,839,837,52,66,43
Full-time,Regulated,28899,28415,27903,27935,25790
Full-time,Total,29738,29252,27955,28001,25833
Part-time,Non-regulated,35388,30208,31292,33472,39004
Part-time,Regulated,134451,127010,125173,128871,115988
Part-time,Total,169839,157218,156465,162343,154992
Total,Non-regulated,36227,31045,31344,33538,39047
Total,Regulated,163350,155425,153076,156806,141778
Total,Total,199577,186470,184420,190344,180825
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,,
Notes:,,,,,,
For further details on definitions please refer to the metadata.,,,,,,
* Please note any comparisons on regulated and non-regulated provision made to 2013/14 needs to take into account the change in definition of ‘regulated’. Refer to metadata for further details on this.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
