Critical Care Services,Altnagelvin ,Antrim ,BCH,Causeway ,Craigavon Area ,Downe ,Daisy Hill,Greenpark,Lagan Valley ,Mater,Mid-Ulster ,Musgrave Park ,Royal Victoria ,South West Acute,Ulster ,Total,,
Coronary Intensive Care,,,,,,,,,,,,,"4,815",,,"4,815",,
High Dependency Unit,"1,280",,"1,404",,,,"2,558",,,,,995,"2,253",900,,"9,390",,
Intensive Care Units,"1,265","2,396",771,"1,200","2,439",,,,,"1,541",,,"5,855",543,"2,774","18,784",,
Neonatal Care Services,"3,541","4,132",,,"4,504",,"1,038",,,,,,"7,424","1,053","3,541","25,233",,
Paediatric Intensive Care,,,,,,,,,,,,,"3,224",,,"3,224",,
Renal Dialysis,Altnagelvin,Antrim,BCH,Causeway,Craigavon,Daisy Hill ,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,South Tyrone,Royal,Tyrone County,Ulster,Total,,
Inpatients,,,"1,765",,,389,,,,,,,"1,279",,195,"3,628",,
Daycases,"9,863","18,986","27,470",,,"13,191",,,,,,,551,"8,475","14,748","93,284",,
Outpatients,,,,,,,,,,,,,,,, -   ,,
Rehabilitation Services,Altnagelvin,Antrim,BCH,Causeway,Daisy Hill ,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Mullinure,Royal,South West Acute,Tyrone County,Ulster,Whiteabbey,Total
Stroke - Children,,,,,,,,,,,,,,,,,,
Stroke - Adults,,,43,433,,,,,,,,,,,,,,476
Brain Injury - Children,,,,,,,,,,,,,,,,,,
Brain Injury - Adults,,,,,,,"12,634",,,,,,,,,,,"12,634"
Other Neurological - Children,,,,,,,,,,,,,,,,,,
Other Neurological - Adults,,,,109,,,,,,,,,,,,,,109
Elderly,,,"4,511",486,,,"13,309",,,,"8,116",,178,443,"8,899",,"13,823","49,765"
Spinal Injuries,,,,42,,,"6,737",,,,,,,,,,,"6,779"
Other,,,,949,,,,,,,,,,,,,,949
