HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal ,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,N. Ireland Total FCEs
AA22G,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22G,150,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
AA22G,191,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA22G,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA22G,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,3,.,.,.,.,.,.,45,.,.,.,.,.,48
AA22G,823,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
AA23D,300,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA23E,320,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23G,150,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
AA24D,370,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24E,800,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24F,300,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1
AA24F,800,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,6,.,9
AA24G,800,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2
AA24H,302,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA24H,303,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24H,800,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16
AA25E,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25F,100,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1
AA25F,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1
AA25F,400,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25G,110,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,52,.,.,.,.,.,.,.,.,.,52
AA25G,130,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,1
AA25G,150,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA25G,160,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,2
AA25G,191,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,.,5
AA25G,300,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,1,.,.,.,.,.,.,8,.,.,.,.,.,9
AA25G,303,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,.,24
