HRG Code,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Average
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,186,.,412,.,.,.,.,.,.,347,.,.,.,391,.,350
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,.,266
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,241,.,.,.,.,.,.,.,.,.,.,.,.,.,.,241
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,848,.,.,.,.,.,848
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,761,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,761
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,161,.,.,.,.,.,.,.,.,.,.,.,.,.,.,161
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,161,.,.,.,.,.,.,.,.,.,.,604,.,652,.,500
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,119,.,.,.,.,.,.,.,.,.,.,.,.,652,.,386
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,123,.,.,.,.,.,.,.,.,531,.,.,.,.,.,145
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,371
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,371,.,.,320,.,132,.,.,.,.,.,.,.,274
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",520,.,.,.,.,372,.,.,327,.,136,.,302,.,.,.,505,.,369
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,.,266
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,482,454,.,.,.,.,.,.,.,.,.,.,.,473
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,292,170,.,393,454,.,.,.,.,.,.,236,.,.,607,.,392
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",119,405,292,129,"1,058",371,504,.,.,581,916,.,336,575,.,.,315,.,326
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
AA29F,Transient Ischaemic Attack with CC Score 0-4,259,.,.,.,.,371,.,.,.,.,.,.,.,.,.,.,.,.,334
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,454,.,.,.,.,.,312,.,.,.,266,.,418
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",390,.,.,149,.,371,509,.,.,.,.,115,306,.,.,.,.,.,314
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,145,"1,959",372,454,.,.,.,.,.,313,.,.,.,384,.,378
AA35B,Stroke with CC Score 13-15,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,249
AA35D,Stroke with CC Score 7-9,.,276,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,276
AA35E,Stroke with CC Score 4-6,.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA35F,Stroke with CC Score 0-3,.,.,.,.,.,.,454,.,.,.,.,.,.,.,.,.,.,.,454
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,"8,145","1,864",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,005"
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,710,.,.,.,.,710
AA54C,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",352,.,.,"3,710","2,261",.,.,.,.,.,.,.,.,946,.,.,"1,553",.,"1,764"
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,.,648,.,.,.,.,648
AA55B,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",245,.,.,.,.,.,.,.,.,.,.,.,.,653,.,.,391,.,563
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",289,.,.,.,"2,066",.,.,.,.,.,.,.,"2,451",525,.,.,391,.,"1,147"
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,380",.,"1,380"
AA57A,"Minimal Intracranial Procedures, 19 years and over",520,.,.,"3,664","1,896",.,.,.,.,.,.,.,468,815,.,.,391,.,"1,083"
AA57B,"Minimal Intracranial Procedures, 18 years and under",.,.,.,.,.,.,.,.,"1,534",.,.,.,.,.,.,.,.,.,"1,534"
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,"13,959","2,426",.,.,.,.,.,.,.,.,.,.,.,.,.,"5,309"
AA80Z,Complex Long Term EEG Monitoring,552,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,552
AA81Z,Standard Long Term EEG Monitoring,552,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,552
AB12Z,Insertion of Neurostimulator for Pain Management,.,.,.,"17,604","2,426",.,.,.,.,.,.,.,"10,031","1,882",.,.,.,.,"6,035"
AB13Z,Insertion of Intrathecal Drug Delivery Device for Pain Management,.,.,.,.,"2,928",.,.,.,.,.,.,.,.,.,.,.,.,.,"2,928"
