Name of Dept / sponsor Dept where NDPB,Business Area / NDPB (as applicable),Title of Dataset,Date submitted,Status,Status Reason,Date referred to Data-holder,Response receipt deadline,Response received (Y/N),Date of response receipt,Response Received - Working Days taken,Response Outstanding -Working Days to date,Deadline met? (Y/N),Can Publish? (Y/N/Not Yet Determined),If can't publish - Primary exception reason provided,Exception reason comments,If can publish - timeframe advised to complete,Publication timeframe met? (Y/N)
Department for Infrastructure,TransportNI,Integrated Transport - Pilot Project Data,26/11/2015,Closed,Dataset cannot be published (exempt),27/11/2015,11/12/2015,Y,13/01/2016,29,,N,N,Personal data.,Dataset of no value after anonymisation (high levels of personal data contained).,,
Department of Health,Core,HSC Unit Cost Database,26/11/2015,Closed,Dataset published,27/11/2015,11/12/2015,Y,05/01/2016,23,,N,Y,,,29/02/2016,Y
Department of Education,Core,Schools+ Database,28/11/2015,Open,Referred to dataholder - Awaiting Response,30/11/2015,14/12/2015,N,,,144,N,Not Yet Determined,,,,
Department for Communities,Analytical Services Unit,An insight into Food Banks in Northern Ireland 2015,30/11/2015,Closed,Dataset not held,30/11/2015,14/12/2015,Y,01/12/2015,1,,Y,N,Data destroyed.,Data not held (destroyed) - all data gathered through interviews and surveys was destroyed on publication of the report.,,
Department of Health,HSC Public Health Authority,Childhood Assessments & Additional Support Data,01/12/2015,Open,Response received - Awaiting Publication,03/12/2015,17/12/2015,Y,07/01/2016,21,,N,Y,,,30/09/2016,
Department for Communities,Analytical Services Unit,Volunteering in Northern Ireland: A Research Report 2015,02/12/2015,Closed,Dataset cannot be published (exempt),03/12/2015,17/12/2015,Y,04/01/2016,18,,N,N,Personal data.,The dataset contains high levels of personal data; to ensure the confidentiality of the respondants is maintained  the Omnibus Survey results are to be released via the UK data archive http://www.data-archive.ac.uk/ by the end of February 2016.,,
Department of Health,Core,HEALTH AND SOCIAL CARE TRUSTS (HSCTs) Boundaries,02/12/2015,Open,Response received - Awaiting Publication,03/12/2015,17/12/2015,Y,28/01/2016,36,,N,Y,,,30/06/2016,N
Department of Education,Core,Key Stage One and Key Stage Two results,03/12/2015,Open,Referred to dataholder - Awaiting Response,03/12/2015,17/12/2015,N,,,141,N,Not Yet Determined,,,,
Department for the Economy,Further Education,Higher and Further education. Student enrollment areas,03/12/2015,Closed,Dataset published,04/12/2015,18/12/2015,Y,16/12/2015,8,,Y,Y,,,23/02/2016,Y
Department for Infrastructure,Planning,Settlement Boundaries ,04/12/2015,Closed,Dataset published,05/01/2016,19/01/2016,N,,,112,N,Y,,,16/06/2016,Y
