Disease,Week 12,Week 11,Week 10,Week 9,Total so far 2016,Same period 2015,Same period 2014,, ,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,0,0,14,18,21,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,1,0,0,2,1,3,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,19,42,27,36,337,387,504,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,0,2,0,4,11,1,, ,,,,,,
Food Poisoning,35,18,25,18,354,312,275,, , ,,,,,
Gastroenteritis (< 2years),0,0,1,1,28,79,121,, , ,,,,,
Hepatitis A,0,0,0,0,2,3,2,, , , , ,,,
Hepatitis B,0,1,1,1,21,29,36,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,1,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,0,0,1,0,4,,, ,,, ,,
Measles,1,0,1,2,8,5,5,, , , , ,,,
Meningococcal Septicaemia,2,0,1,0,6,8,12,,, , , , ,,
Mumps,20,13,7,10,176,94,15,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,3,0,,, ,,,,,
Scarlet Fever,40,22,15,12,155,142,158,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),1,0,1,2,12,13,17,, , ,,,,,
Tuberculosis (Non Pulmonary),2,0,0,1,8,11,13,, , ,,,,,
Typhoid,0,0,0,0,1,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,2,1,2,2,24,8,3,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,123,98,83,85,1153,1128,1190,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
