Neighborhood,Sector #,Population (2010),Land Area (acres),Residential,Mixed Use / Commercial,Mixed Use / Industrial,Institutional / Edu. / Med.,Open Space,Hillside,Special Land Use
Allegheny Center,3,933,134.4,0.0%,49.4%,0.0%,0.0%,50.6%,0.0%,0.0%
Allegheny West,3,462,90.2,42.1%,12.5%,6.3%,26.4%,12.6%,0.0%,0.0%
Allentown,6,"2,500",188.8,54.6%,9.3%,0.0%,0.0%,18.5%,17.6%,0.0%
Arlington,7,"1,869",300.8,43.7%,3.8%,10.9%,0.0%,41.6%,0.0%,0.0%
Arlington Heights,7,244,84.5,56.5%,0.0%,0.0%,0.0%,43.4%,0.0%,0.0%
Banksville,5,"4,144",620.2,72.0%,7.8%,4.9%,0.0%,15.2%,0.0%,0.0%
Bedford Dwellings,15,"1,202",114.6,59.5%,0.0%,2.7%,0.0%,37.6%,0.2%,0.0%
Beechview,5,"7,974",934.4,56.4%,4.4%,1.3%,0.0%,2.4%,35.5%,0.0%
Beltzhoover,6,"1,925",269.4,64.7%,2.7%,1.3%,0.0%,20.0%,11.3%,0.0%
Bloomfield,12,"8,442",449.3,58.1%,25.8%,6.9%,3.6%,1.7%,3.9%,0.0%
Bluff,15,"6,600",209.3,7.4%,18.1%,18.6%,31.8%,0.0%,16.4%,7.7%
Bon Air,6,808,200.3,38.3%,4.4%,8.4%,0.0%,48.5%,0.4%,0.0%
Brighton Heights,2,"7,247",714.9,59.4%,3.3%,5.1%,0.0%,5.5%,26.7%,0.0%
Brookline,5,"13,214","1,332.5",71.6%,4.1%,2.5%,0.0%,7.3%,14.4%,0.1%
California-Kirkbride,3,761,138.9,29.9%,1.5%,36.2%,0.0%,32.4%,0.0%,0.0%
Carrick,5,"10,113","1,070.7",65.2%,5.0%,3.2%,0.0%,26.4%,0.0%,0.2%
Central Business District,16,"3,629",409.6,0.0%,0.0%,0.4%,0.0%,9.1%,0.1%,90.4%
Central Lawrenceville,13,"4,482",616.3,20.6%,4.9%,16.1%,1.9%,56.5%,0.0%,0.0%
Central Northside,3,"2,923",165.8,60.8%,9.6%,14.5%,10.3%,0.1%,4.7%,0.0%
Central Oakland,14,"6,086",179.8,46.2%,1.0%,0.0%,10.3%,16.2%,3.5%,22.7%
Chartiers City,4,477,84.5,73.0%,0.0%,4.7%,0.0%,22.2%,0.0%,0.0%
Chateau,3,11,245.1,0.0%,15.0%,57.7%,0.0%,0.0%,0.0%,27.2%
Crafton Heights,4,"3,814",482.6,74.1%,1.3%,2.3%,0.0%,22.3%,0.0%,0.0%
Crawford-Roberts,15,"2,256",165.1,73.4%,12.5%,0.0%,0.0%,6.1%,0.3%,7.8%
Duquesne Heights,6,"2,425",398.7,36.1%,1.4%,3.6%,0.0%,54.7%,0.1%,4.2%
East Allegheny,3,"2,136",151.0,48.4%,13.3%,4.2%,0.0%,28.0%,6.1%,0.0%
East Carnegie,4,570,276.5,36.0%,0.4%,26.2%,0.0%,37.4%,0.0%,0.0%
East Hills,11,"3,169",346.2,89.7%,2.3%,5.6%,0.0%,2.4%,0.0%,0.0%
East Liberty,12,"5,869",371.8,61.3%,26.4%,3.0%,4.5%,0.4%,1.6%,2.8%
Elliott,4,"2,381",387.8,38.3%,2.8%,1.8%,0.0%,15.2%,41.8%,0.0%
Esplen,4,301,147.2,15.9%,0.0%,80.4%,0.0%,3.8%,0.0%,0.0%
Fairywood,4,"1,002",620.2,20.2%,4.2%,59.1%,0.0%,16.6%,0.0%,0.0%
Fineview,3,"1,285",160.0,46.4%,4.3%,0.0%,0.0%,2.8%,46.4%,0.0%
Friendship,12,"1,785",67.8,78.8%,20.4%,0.0%,0.0%,0.8%,0.0%,0.0%
Garfield,12,"3,675",292.5,88.4%,6.6%,0.0%,0.0%,0.0%,5.0%,0.0%
Glen Hazel,9,716,291.8,19.2%,0.0%,11.3%,0.0%,67.2%,0.0%,2.3%
Greenfield,9,"7,294",494.7,75.4%,4.9%,2.2%,0.0%,2.0%,15.5%,0.0%
Hays,8,362,"1,120.0",13.5%,0.0%,9.4%,0.0%,41.0%,0.0%,36.1%
Hazelwood,9,"4,317","1,013.1",28.3%,1.4%,34.8%,0.0%,19.8%,15.8%,0.0%
Highland Park,12,"6,395",744.3,44.1%,0.9%,0.0%,0.0%,54.9%,0.0%,0.0%
Homewood North,11,"3,280",277.8,89.9%,3.3%,0.0%,0.0%,6.8%,0.0%,0.0%
Homewood South,11,"2,344",254.7,69.2%,14.2%,13.4%,0.0%,3.2%,0.0%,0.0%
Homewood West,11,818,127.4,52.2%,6.5%,34.9%,0.0%,6.3%,0.0%,0.0%
Knoxville,6,"3,747",193.3,94.0%,5.9%,0.0%,0.0%,0.1%,0.0%,0.0%
Larimer,12,"1,728",284.8,44.5%,8.1%,33.6%,2.8%,0.6%,10.4%,0.0%
Lincoln Place,8,"3,227",629.8,80.1%,1.7%,0.0%,0.0%,18.2%,0.0%,0.0%
Lincoln-Lemington-Belmar,11,"4,883","1,159.7",32.3%,6.4%,1.6%,17.4%,42.4%,0.0%,0.0%
Lower Lawrenceville,13,"2,341",275.2,23.7%,10.9%,54.6%,0.0%,5.0%,5.8%,0.0%
Manchester,3,"2,130",178.6,74.8%,0.0%,20.9%,0.0%,4.3%,0.0%,0.0%
Marshall-Shadeland,2,"6,043",802.6,32.5%,3.1%,44.1%,0.0%,20.3%,0.0%,0.0%
Middle Hill,15,"1,707",195.2,79.5%,20.4%,0.0%,0.1%,0.0%,0.0%,0.0%
Morningside,12,"3,346",244.5,60.7%,3.7%,14.4%,0.0%,11.4%,9.9%,0.0%
Mount Washington,6,"8,799",729.6,55.9%,3.9%,5.4%,0.0%,30.8%,0.0%,3.9%
Mt. Oliver,7,509,64.0,87.0%,0.0%,0.0%,0.0%,0.0%,13.0%,0.0%
New Homestead,8,990,508.2,67.0%,0.0%,0.3%,0.0%,32.8%,0.0%,0.0%
North Oakland,14,"10,551",319.4,34.4%,0.0%,6.1%,42.4%,1.4%,8.1%,7.6%
North Shore,16,303,193.9,0.0%,0.3%,0.1%,0.0%,0.0%,0.0%,99.6%
Northview Heights,1,"1,214",200.3,53.1%,1.0%,3.3%,0.0%,42.5%,0.1%,0.0%
Oakwood,4,"1,027",161.3,63.2%,16.7%,0.0%,0.0%,20.0%,0.0%,0.0%
Overbrook,5,"3,644",537.0,65.9%,17.0%,1.9%,0.0%,12.7%,2.5%,0.0%
Perry North,2,"4,050",775.7,38.4%,1.0%,0.0%,0.0%,44.9%,15.6%,0.0%
Perry South,2,"4,145",579.2,37.7%,1.5%,1.2%,4.2%,16.9%,38.4%,0.0%
Point Breeze,10,"5,315",642.6,60.5%,0.8%,0.0%,0.0%,38.6%,0.0%,0.0%
Point Breeze North,11,"2,054",183.0,60.0%,3.6%,29.9%,0.0%,6.4%,0.0%,0.0%
Polish Hill,13,"1,274",163.2,26.4%,10.3%,28.0%,0.0%,16.2%,19.0%,0.0%
Regent Square,10,928,122.9,45.1%,0.4%,0.0%,0.0%,54.5%,0.0%,0.0%
Ridgemont,4,483,236.2,46.2%,0.0%,0.0%,0.0%,37.0%,0.0%,16.7%
Shadyside,12,"13,915",589.4,82.1%,11.3%,0.0%,3.0%,2.9%,0.0%,0.8%
Sheraden,4,"5,299",569.6,40.6%,4.9%,7.4%,0.0%,13.9%,33.2%,0.0%
South Oakland,14,"2,969",325.1,26.4%,0.0%,6.8%,5.3%,6.3%,28.5%,26.7%
South Shore,16,19,135.7,0.0%,1.7%,40.8%,0.0%,8.8%,0.0%,48.7%
South Side Flats,7,"6,597",599.0,24.6%,12.4%,36.3%,0.9%,4.8%,0.3%,20.8%
South Side Slopes,7,"4,423",458.2,35.1%,1.3%,7.2%,0.0%,20.7%,35.8%,0.0%
Spring Garden,1,884,176.0,37.3%,2.1%,11.9%,0.0%,2.9%,45.7%,0.0%
Spring Hill-City View,1,"2,648",403.2,40.7%,1.7%,0.0%,0.0%,7.8%,49.7%,0.0%
Squirrel Hill North,10,"11,363",782.1,79.1%,0.7%,0.0%,14.4%,5.7%,0.0%,0.0%
Squirrel Hill South,10,"15,110","1,709.4",50.2%,2.1%,1.1%,0.0%,46.6%,0.0%,0.0%
St. Clair,7,209,198.4,39.5%,1.6%,0.2%,0.0%,58.7%,0.0%,0.0%
Stanton Heights,13,"4,601",470.4,74.6%,1.4%,3.5%,0.0%,19.9%,0.6%,0.0%
Strip District,13,616,389.1,0.0%,0.0%,71.2%,0.0%,0.2%,10.7%,17.9%
Summer Hill,1,"1,051",281.0,50.8%,9.3%,0.0%,0.0%,0.0%,39.9%,0.0%
Swisshelm Park,10,"1,361",307.2,64.7%,0.0%,6.9%,0.0%,28.4%,0.0%,0.0%
Terrace Village,15,"3,228",218.9,61.0%,0.0%,0.0%,24.2%,14.7%,0.1%,0.0%
Troy Hill,1,"2,714",294.4,29.3%,3.6%,18.2%,0.0%,10.7%,11.6%,26.6%
Upper Hill,15,"2,057",200.3,76.4%,3.1%,1.9%,0.0%,18.5%,0.2%,0.0%
Upper Lawrenceville,13,"2,669",259.2,24.4%,9.1%,53.0%,0.0%,1.2%,12.3%,0.0%
West End,4,254,128.0,0.8%,29.2%,16.3%,0.0%,8.2%,45.5%,0.0%
