Disease,Week 8,Week 7,Week 6,Week 5,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,3,1,13,11,17,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,1,2,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,29,16,22,38,213,226,278,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,0,0,1,2,7,1,, ,,,,,,
Food Poisoning,37,28,38,40,258,191,186,, , ,,,,,
Gastroenteritis (< 2years),0,2,1,0,26,52,77,, , ,,,,,
Hepatitis A,0,0,0,0,2,2,1,, , , , ,,,
Hepatitis B,3,3,3,0,14,11,25,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,0,0,1,0,4,,, ,,, ,,
Measles,0,1,2,0,4,5,4,, , , , ,,,
Meningococcal Septicaemia,1,0,0,0,3,4,7,,, , , , ,,
Mumps,15,20,16,17,126,67,13,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,2,0,,, ,,,,,
Scarlet Fever,5,7,13,14,66,82,82,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),1,1,0,3,8,10,10,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,1,0,5,7,7,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,3,2,4,1,17,6,2,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,94,81,103,115,759,687,716,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
