Disease,Week 29,Week 28,Week 27,Week 26,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,1,2,0,29,39,31,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,1,3,3,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,20,33,24,53,1075,1298,1117,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,0,0,0,21,8,3,, ,,,,,,
Food Poisoning,43,44,41,41,998,977,958,, ,,,,,,
Gastroenteritis (< 2years),6,5,11,5,160,250,428,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,3,,, , , ,,,
Hepatitis B,1,1,3,4,65,74,51,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,1,0,0,3,3,5,,, ,, ,, ,
Leptospirosis,0,0,0,0,2,0,0,, , , , ,,,
Malaria,0,0,0,1,2,5,3,,, ,,, ,,
Measles,0,0,0,1,13,10,49,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,9,15,18,,, , , , ,,
Mumps,1,7,3,4,176,35,608,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,4,5,8,,, ,,,,,
Scarlet Fever,0,7,8,6,293,513,140,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),0,0,0,0,24,43,19,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,1,1,19,21,23,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,1,4,2,0,46,18,66,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,73,103,95,117,2952,3319,3539,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
