X,Y,FID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,ET_ID,ET_X,ET_Y,ET_ANGLE,ET_IDP
-80.079882770858902,40.491239862463232,1,OB04,Fleming Park Bridge,354,807,463,1320556.68907,430356.209939,359.630358,463
-80.086987395227752,40.363863486114845,2,PA07,Painter's Run Br #7,358,31,464,1317353.51944,384021.653728,17.354079,464
-80.087182146838501,40.362600741624163,3,PA08,Painter's Run Br #8,359,34,465,1317287.09619,383563.239754,9.462315,465
-80.083551549980299,40.362887426379736,4,PA09,Painter's Run Br #9,360,42,466,1318301.22023,383640.889476,92.121172,466
-79.749694086428775,40.494565519279249,5,PB02,Plum Creek South Br. #2,416,12,467,1412393.11901,429316.46438,212.055966,467
-79.983800888857232,40.28199232932009,6,PF01,Piney Fork Br #1,364,30,468,1345343.43354,353462.102597,119.744838,468
-79.911483225807856,40.24502805639915,7,PG03,Pangburn Hollow Br #3,365,24,469,1365184.04686,339498.383757,17.353933,469
-79.914094759537718,40.241580134450572,8,PG04,Pangburn Hollow Br #4,366,14,470,1364424.48059,338260.572766,188.448891,470
-79.915529305610519,40.239216249071141,9,PG05,Pangburn Hollow Br #5,366,19,471,1364003.01341,337409.510458,34.018003,471
-79.910546416632215,40.219782258328436,10,PG09,Pangburn Hollow Br No 9,93,24,472,1365220.50091,330297.980971,322.436639,472
-79.898506434284499,40.229064573521384,11,PG10,Pangburn Hollow Br #10,366,4,473,1368663.96728,333596.399509,179.640777,473
-79.900009878981422,40.217736935256589,12,PG14,Pangburn Hollow Br #14,367,14,474,1368143.85306,329481.312274,53.130058,474
-80.093219808358512,40.472641082279495,13,PH02,Pine Hollow Br #2,368,4,475,1316668.74663,423681.160604,133.602878,475
-80.091808056827276,40.474598049770655,14,PH04,Pine Hollow Br #4,369,4,476,1317080.27548,424383.418518,55.491608,476
-79.964815036492979,40.560025836929221,15,PI02,Pine Creek Br #2,370,61,477,1353178.7285,454583.977665,111.501384,477
-80.083738815954618,40.47560006574048,16,PH03,Pine Hollow Br #3,370,6,478,1319334.0172,424688.907314,110.947897,478
-80.014577048289368,40.592464088627416,17,PI08,Pine Creek Br #8,372,40,479,1339659.80193,466748.24421,169.875302,479
-79.958940529761819,40.549664703832903,18,PI09,Pine Creek Br #9,373,55,480,1354716.04314,450769.648436,101.742878,480
-79.952587087384515,40.513220350537956,19,PI11,Pine Creek Br #11,374,58,481,1356149.96194,437452.814831,54.24614,481
-79.984917930316215,40.594966696789186,20,PI35,Pine Creek Br #35,376,61,482,1347917.01917,467449.865268,117.758563,482
-79.982500501151307,40.596936484554362,21,PI36,Pine Creek Br #36,376,4,483,1348606.27809,468150.270925,72.897221,483
-79.982158277976637,40.582058699316285,22,PI37,Pine Creek Br #37,377,24,484,1348564.29781,462729.480184,122.125069,484
-79.997176632762546,40.596129953105773,23,PI41,Pine Creek Br #41,378,43,485,1344524.58343,467959.895025,90.836428,485
