HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,"1,356",.,.,.,.,.,.,"1,921",.,.,.,.,"3,277"
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13","1,093","1,203",.,.,"1,504",.,.,.,.,.,.,.,"3,053",.,.,.,.,"6,852"
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10","2,241",401,.,.,376,.,.,.,.,.,"1,017",.,"8,470",.,"1,827",.,728,"15,060"
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7","4,159","5,043",.,.,"2,256",872,.,.,740,.,.,.,"25,050",.,514,.,"1,457","40,090"
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4","14,192","12,979","1,031","1,485","12,739",581,.,.,.,.,"2,675",.,"29,892",.,"1,028",.,"9,470","86,072"
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,"1,033",.,.,.,.,.,.,901,.,.,.,422,"2,355"
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,"1,547",.,.,"1,504",.,.,.,929,.,.,.,732,.,.,.,"1,399","6,111"
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,892,"3,734",.,.,"1,880",581,.,.,370,.,344,.,"2,392",.,"1,684",.,"1,035","12,913"
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,"3,032","5,710",.,"1,017",752,872,.,.,740,.,.,.,"13,232",.,656,.,"3,278","29,288"
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,"3,390","3,741","2,129","1,878","2,318","1,980",.,.,.,.,684,.,"9,038",.,.,.,"2,550","27,708"
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,"1,203",.,.,.,.,.,.,.,.,.,.,.,.,.,.,364,"1,567"
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,"3,117","1,031",.,.,.,.,.,.,.,.,.,"1,076",.,.,.,"1,457","6,680"
