Disease,Week 7,Week 6,Week 5,Week 4,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,2,1,1,0,9,16,9,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,1,0,1,1,1,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,38,0,31,30,193,230,184,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,2,0,0,5,0,0,, ,,,,,,
Food Poisoning,24,29,27,22,175,164,148,, ,,,,,,
Gastroenteritis (< 2years),2,0,1,5,25,69,58,,, ,,,,,
Hepatitis A,1,1,0,0,2,0,0,,,, , ,,,
Hepatitis B,1,2,3,3,13,21,18,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,2,,, ,, ,, ,
Leptospirosis,0,1,0,0,1,0,0,, , , , ,,,
Malaria,0,0,0,0,0,4,2,,, ,,, ,,
Measles,0,0,0,0,2,4,22,, , , , ,,,
Meningococcal Septicaemia,1,0,0,1,3,7,4,,, , , , ,,
Mumps,9,8,11,16,61,11,242,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,,, ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,0,0,0,0,2,0,2,,, ,,,,,
Scarlet Fever,10,22,9,10,71,69,44,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,1,1,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),3,1,2,1,9,7,4,, , ,,,,,
Tuberculosis (Non Pulmonary),2,0,0,1,5,7,2,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,0,0,0,2,5,1,30,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,93,68,87,91,584,611,772,, , ,,,,,
,,,,,,,,, ,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,,,,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
