Disease,Week 47,Week 46,Week 45,Week 44,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,2,1,1,40,54,54,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,4,15,6,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,13,7,14,12,1368,1561,1470,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,2,1,3,2,44,20,5,, ,,,,,,
Food Poisoning,27,39,42,48,1754,1705,1606,, , ,,,,,
Gastroenteritis (< 2years),1,2,3,1,296,408,525,, , ,,,,,
Hepatitis A,0,0,0,0,7,3,4,,, , , ,,,
Hepatitis B,1,1,0,1,88,113,104,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,1,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,10,4,10,,, ,, ,, ,
Leptospirosis,0,0,0,0,3,0,2,, , , , ,,,
Malaria,0,1,0,2,7,6,5,,, ,,, ,,
Measles,0,0,1,0,14,16,56,, , , , ,,,
Meningococcal Septicaemia,0,1,1,1,17,21,25,,, , , , ,,
Mumps,8,9,12,14,267,100,682,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,6,14,,, ,,,,,
Scarlet Fever,7,3,9,2,352,600,168,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),1,0,1,3,37,67,35,, , ,,,,,
Tuberculosis (Non Pulmonary),2,2,0,1,32,35,32,, , ,,,,,
Typhoid,0,0,0,0,1,0,1,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,5,0,0,2,110,36,75,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,67,68,87,90,4459,4771,4883,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
