"SR_NUM","INSPECT_ID","STREET","ADDRESS_2","APT_FLOOR","CITY","STATE","ZIP","CENSUS_TRACT","REQUEST_TYPE","PROPERTY_TYPE","NUM_UNITS","EMERGENCY_TYPE","INSPECTOR_ID"
"HCE-20121221-7879","114434","442  WILLIAM STREET ","AKA 441 HAYS AVE.","#1","MOUNT OLIVER","PA","15210","54810","Complaint Housing","MULTI FAMILY","2","NON EMERGENCY","18"
"HCE-20130206-2739","114441","918  GERRITT STREET ","","","PITTSBURGH","PA","15208","31207","Community Environment","SINGLE FAMILY","1","NON EMERGENCY","88"
"HCE-20130226-2887","114442","809  8TH STREET ","","","STOWE TOWNSHIP","PA","15136","54626","Community Environment","MULTI FAMILY","3","NON EMERGENCY","88"
"HCE-20130226-2881","114443","801  8TH STREET ","","","STOWE TOWNSHIP","PA","15136","54626","Community Environment","MULTI FAMILY","4","NON EMERGENCY","88"
"HCE-20130329-3145","114445","145  VICTORIA DRIVE ","","","BRENTWOOD","PA","15227","54781","Complaint Housing","MULTI FAMILY","4","NON EMERGENCY","46"
"HCE-20120713-5587","114447","7811 1/2  HAMILTON AVENUE ","","","PITTSBURGH","PA","15208","31304","Complaint Housing","MULTI FAMILY","19","NON EMERGENCY","88"
"HCE-20130129-2666","114449","1114  SUTHERLAND STREET ","","","PITTSBURGH","PA","15204","32022","Complaint Housing","SINGLE FAMILY","1","NO HEAT","83"
"HCE-20121128-7683","114452","800  TENTH STREET ","","","STOWE TOWNSHIP","PA","15136","54626","Community Environment","SINGLE FAMILY","1","NON EMERGENCY","88"
"HCE-20130212-2768","114454","348 E 12TH AVENUE ","","","HOMESTEAD","PA","15120","54838","Community Environment","SINGLE FAMILY","1","NON EMERGENCY","4"
"HCE-20130117-2569","114455","423  ELEANOR STREET ","","","PITCAIRN","PA","15140","55220","Community Environment","SINGLE FAMILY","1","NON EMERGENCY","15"
"HCE-20130204-2720","114457","3011  CHARTIERS AVENUE ","","","PITTSBURGH","PA","15204","32022","Complaint Housing","SINGLE FAMILY","1","NON EMERGENCY","83"
"HCE-20130404-3194","114460","1116  BROADWAY AVENUE ","","","STOWE TOWNSHIP","PA","15136","54626","Complaint Housing","MULTI FAMILY","1","NON EMERGENCY","88"
