Disease,Week 38,Week 37,Week 36,Week 35,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,1,0,1,33,43,41,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,4,7,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,10,17,9,10,1256,1407,1313,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,3,0,2,0,32,15,4,, ,,,,,,
Food Poisoning,37,38,45,51,1399,1382,1310,, , ,,,,,
Gastroenteritis (< 2years),0,2,3,4,224,345,476,,, ,,,,,
Hepatitis A,0,0,0,0,7,3,4,,, , , ,,,
Hepatitis B,2,2,0,1,78,95,77,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,1,0,1,9,4,7,,, ,, ,, ,
Leptospirosis,1,0,0,0,3,0,1,, , , , ,,,
Malaria,0,0,0,0,3,5,4,,, ,,, ,,
Measles,0,0,0,0,13,13,51,, , , , ,,,
Meningococcal Septicaemia,0,1,0,0,11,18,21,,, , , , ,,
Mumps,4,6,4,2,204,48,643,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,6,11,,, ,,,,,
Scarlet Fever,1,4,0,2,311,546,149,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),0,0,0,0,26,55,30,, , ,,,,,
Tuberculosis (Non Pulmonary),0,2,0,0,24,26,27,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,6,1,5,8,87,23,69,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,64,75,68,80,3731,4042,4247,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
