HRG,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA02C,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 10+",.,.,.,.,.,.,.,.,.,.,.,"26,626",.,.,.,.,"26,626"
AA02D,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 6-9",.,.,.,.,.,.,.,.,.,.,.,"133,043",.,.,.,.,"133,043"
AA02E,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"59,197",.,.,.,.,"59,197"
AA02F,"Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"72,723",.,.,.,.,"72,723"
AA03C,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"263,545",.,.,.,.,"263,545"
AA03D,"Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"284,667",.,.,.,.,"284,667"
AA04D,"Major Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,"83,549",.,.,.,.,"83,549"
AA05C,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,"8,023",.,.,.,.,"8,023"
AA05D,"Major Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,"20,154",.,.,.,.,"20,154"
AA06D,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6-8",.,.,.,.,.,.,.,.,.,.,.,"37,302",.,.,.,.,"37,302"
AA06E,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"76,096",.,.,.,.,"76,096"
AA06F,"Major Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"113,979",.,.,.,.,"113,979"
AA07C,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"87,427",.,.,.,.,"87,427"
AA07D,"Major Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"79,542",.,.,.,.,"79,542"
AA09D,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"84,758",.,.,.,.,"84,758"
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"6,380",.,.,.,.,"6,380"
AA11Z,"Intermediate Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders",.,.,.,.,.,.,.,.,.,.,.,"57,156",.,.,.,.,"57,156"
AA12C,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 6+",.,.,.,.,.,.,.,.,.,.,.,"7,459",.,.,.,.,"7,459"
AA12D,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3-5",.,.,.,.,.,.,.,.,.,.,.,"110,081",.,.,.,.,"110,081"
AA12E,"Intermediate Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"276,739",.,.,.,.,"276,739"
AA13C,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"73,238",.,.,.,.,"73,238"
AA13D,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"108,176",.,.,.,.,"108,176"
AA15C,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 4+","8,006",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"8,006"
AA15D,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,"107,433",.,.,.,.,"107,433"
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,"13,833",.,.,.,.,"13,833"
AA16Z,"Minor Intracranial Procedures Except Trauma, with Cerebrovascular Accident, Nervous System Infections or Encephalopathy",.,.,.,.,.,.,.,.,.,.,.,"32,354",.,.,.,.,"32,354"
AA17D,"Minor Intracranial Procedures Except Trauma, with Haemorrhagic Cerebrovascular Disorders, with CC Score 0-4",.,.,.,.,.,.,.,.,.,.,.,"39,918",.,.,.,.,"39,918"
AA18C,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 3+",.,.,.,.,.,.,.,.,.,.,.,"29,785",.,.,.,.,"29,785"
AA18D,"Minor Intracranial Procedures Except Trauma, with Brain Tumours or Cerebral Cysts, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"45,903",.,.,.,.,"45,903"
AA19C,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5+",.,.,.,.,.,.,.,.,.,.,.,"44,628",.,.,.,.,"44,628"
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,"156,465",.,.,.,.,"156,465"
AA19E,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,"319,639",.,.,.,.,"319,639"
AA20C,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,"13,967",.,.,.,"11,624","25,591"
AA21C,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,"80,081",.,.,.,.,"80,081"
AA21D,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 5-7",.,.,.,.,.,.,.,.,.,.,.,"73,612",.,.,.,.,"73,612"
