Quarter Year,Private owner/ speculative development,Social Housing Development,Total New Dwelling Completions,,
Q1 2010,1619,129,1748,,
Q2 2010,1428,189,1617,,
Q3 2010,1440,158,1598,,
Q4 2010,1483,175,1658,,
Q1 2011,1116,128,1244,,
Q2 2011,1473,209,1682,,
Q3 2011,1134,113,1247,,
Q4 2011,1211,310,1521,,
Q1 2012,1060,177,1237,,
Q2 2012,1109,401,1510,,
Q3 2012,1021,225,1246,,
Q4 2012,1065,474,1539,,
Q1 2013,988,245,1233,,
Q2 2013,1097,420,1517,,
Q3 2013,990,172,1162,,
Q4 2013,1176,317,1493,,
Q1 2014,1032,112,1144,,
Q2 2014,1143,308,1451,,
Q3 2014,1134,334,1468,,
Q4 2014,1253,216,1469,,
Q1 2015,1028,90,1118,,
Q2 2015,1199,95,1294,,
Q3 2015,1201,150,1351,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
