HRG,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Total
AA09E,"Major Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-2",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA13D,"Intermediate Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC Score 0-2",.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1
AA14Z,"Intermediate Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy",.,.,.,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,14
AA15E,"Intermediate Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA19D,"Minor Intracranial Procedures Except Trauma, with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA20C,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 2+",.,.,.,.,.,.,.,1,.,.,.,.,.,2,.,.,4,.,7
AA20D,"Minor Intracranial Procedures Except Trauma, with Muscular, Balance, Cranial or Peripheral Nerve Disorders, or Epilepsy, with CC Score 0-1",8,.,.,.,.,.,.,1,.,.,.,.,3,11,.,.,1,.,24
AA21E,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 3-4",.,.,.,.,.,.,.,.,.,.,.,.,5,7,.,.,.,.,12
AA21F,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 1-2",.,1,.,1,.,.,.,.,.,1,.,.,88,13,.,.,1,.,105
AA21G,"Minor Intracranial Procedures Except Trauma, with Other Diagnoses, with CC Score 0",1,.,.,.,1,.,.,.,.,1,.,.,5,17,.,.,3,.,28
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,.,.,.,1,.,.,.,.,.,24,.,.,.,.,.,25
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,3,.,.,.,.,.,3,.,.,.,.,.,6
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,1,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,4,.,.,1,.,.,.,.,.,1,.,.,.,.,.,6
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",5,.,1,1,.,66,2,.,59,.,.,6,80,.,.,.,36,.,256
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2,.,3
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",4,6,6,14,1,83,9,1,3,.,11,.,58,10,.,.,87,.,293
AA27Z,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,4
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA29F,Transient Ischaemic Attack with CC Score 0-4,.,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,2
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",2,.,.,.,.,.,6,.,.,.,.,.,22,.,.,.,.,.,30
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",5,.,.,1,.,40,32,.,.,.,.,3,"1,645",.,.,.,4,.,"1,730"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",1,.,.,.,.,229,1,.,.,1,.,.,2,.,.,.,15,.,249
AA35F,Stroke with CC Score 0-3,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AB02Z,Complex Major Pain Procedures,.,.,.,4,20,.,.,.,.,.,4,.,.,94,.,.,.,.,122
AB03Z,Complex Pain Procedures,42,.,.,65,143,16,.,.,6,.,97,3,1,270,.,8,33,.,684
AB04Z,Major Pain Procedures,195,.,.,305,49,5,.,.,403,5,34,103,32,270,.,314,282,.,"1,997"
AB05Z,Intermediate Pain Procedures,50,.,107,21,12,92,2,.,21,.,32,19,200,57,.,28,181,.,822
AB06Z,Minor Pain Procedures,16,.,22,9,4,116,.,3,236,.,1,12,3,14,.,9,10,.,455
AB07Z,Insertion of Neurostimulator or Intrathecal Drug Delivery Device,.,.,.,9,18,.,.,.,.,.,.,.,1,11,.,.,.,.,39
AB08Z,Pain Radiofrequency Treatments,1,.,.,31,.,.,.,.,246,.,1,122,.,.,.,.,.,.,401
AB09Z,Other Specified Pain Procedures,7,.,.,14,1,.,.,.,9,1,1,.,2,35,.,2,36,.,108
AB10Z,Unspecified Pain Procedures,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7
BZ01B,Enhanced Cataract Surgery with CC Score 0-1,3,.,.,.,.,.,.,1,.,.,2,.,1,.,.,.,.,.,7
BZ02A,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 5+",2,.,.,.,.,.,.,8,.,2,.,.,.,2,.,.,.,.,14
BZ02B,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 2-4",39,.,.,.,.,.,.,87,.,136,4,.,4,31,.,20,.,.,321
BZ02C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1","1,226",1,.,.,.,.,.,349,.,754,"2,581",.,"1,157",522,.,554,.,.,"7,144"
BZ03A,Non-Phacoemulsification Cataract Surgery with CC Score 1+,2,.,.,.,.,.,.,.,.,1,.,.,1,2,.,.,.,.,6
BZ03B,Non-Phacoemulsification Cataract Surgery with CC Score 0,10,1,.,.,.,.,.,1,.,3,16,.,52,9,.,2,.,.,94
BZ04A,Lens Capsulotomy with CC Score 1+,11,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,20
BZ04B,Lens Capsulotomy with CC Score 0,250,.,.,.,.,.,.,.,.,1,.,.,621,.,45,.,.,.,917
