HRG Code,Spec,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,N. Ireland Total FCEs
AA22C,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,1,3,.,.,.,.,.,.,.,.,.,.,.,4
AA22C,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,9,.,.,.,.,.,.,.,.,.,.,9
AA22C,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22C,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,2,1,.,2,.,.,.,.,5
AA22D,100,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22D,110,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22D,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",4,2,.,.,4,.,.,.,.,.,.,2,.,.,.,.,12
AA22D,340,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22D,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AA22D,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA22D,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",.,1,.,.,1,.,.,.,1,.,.,5,.,1,.,.,9
AA22E,300,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",14,1,2,2,1,1,.,.,1,.,3,13,.,.,.,.,38
AA22E,350,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA22E,361,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",4,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,5
AA22E,400,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA22E,430,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",2,.,.,.,3,.,.,.,.,.,.,15,1,3,.,1,25
