a_year,a_ref,a_dcu,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2014,1,BELW,3,3,6,WED,1,1,0,3,332760,374307,13,30, , , , , , , , , , 
2014,2,BELW,3,2,1,WED,1,1,0,5,332110,373806,13,30, , , , , , , , , , 
2014,3,FERM,2,2,4,WED,1,1,0,45,216155,365011,13,60,1,1,1,1,6,2,2,1,1,1
2014,4,BELS,3,1,1,WED,1,1,0,55,333351,372274,13,30, , , , , , , , , , 
2014,5,BMEN,3,2,1,WED,1,1,2,21,297599,403849,13,30, , , , , , , , , , 
2014,6,CRAI,3,2,2,WED,1,1,2,0,304717,356607,11,30, , , , , , , , , , 
2014,7,BELS,3,2,1,WED,1,1,4,31,333615,373213,13,30, , , , , , , , , , 
2014,8,CRAI,3,1,1,WED,1,1,5,57,303027,358674,12,70, , , , , , , , , , 
2014,9,DOWN,3,1,1,WED,1,1,6,53,341286,360490,13,60, , , , , , , , , , 
2014,10,CRAI,3,1,1,WED,1,1,6,57,303268,358669,12,65, , , , , , , , , , 
2014,11,DOWN,3,1,1,WED,1,1,7,50,342585,356285,13,60, , , , , , , , , , 
2014,12,DOWN,3,1,1,WED,1,1,7,7,341239,360346,13,60, , , , , , , , , , 
2014,13,NABB,3,1,1,WED,1,1,8,0,332381,381604,13,40, , , , , , , , , , 
2014,14,CRAI,3,1,1,WED,1,1,8,23,302105,357387,12,70, , , , , , , , , , 
2014,15,CRAI,3,1,1,WED,1,1,9,0,304586,359205,13,40, , , , , , , , , , 
2014,16,BELE,3,2,2,WED,1,1,15,15,338175,376537,13,30, , , , , , , , , , 
2014,17,DOWN,3,2,4,WED,1,1,16,2,350384,350241,13,60, , , , , , , , , , 
2014,18,LARN,3,1,1,WED,1,1,17,25,338455,401947,11,70, , , , , , , , , , 
2014,19,BELN,2,3,4,WED,1,1,18,14,333377,375875,13,30,1,1,1,11,4,1,2,1,1,1
2014,20,FOYL,3,2,2,WED,1,1,22,10,243072,417042,1,30, , , , , , , , , , 
2014,21,NEWM,3,1,1,THU,2,1,4,20,307016,327515,1,30, , , , , , , , , , 
2014,22,ANTR,3,2,1,THU,2,1,7,30,312885,393716,11,70, , , , , , , , , , 
2014,23,LISB,3,2,1,THU,2,1,9,40,334096,367483,13,30, , , , , , , , , , 
2014,24,LISB,3,2,2,THU,2,1,11,50,325915,364081,13,30, , , , , , , , , , 
2014,25,NABB,2,2,4,THU,2,1,12,0,329810,383535,13,60,12,7,1,9,1,4,1,1,1,1
2014,26,OMAG,3,5,2,THU,2,1,1,22,245242,373142,13,30, , , , , , , , , , 
2014,27,BMEN,3,2,1,THU,2,1,12,40,302238,408813,13,60, , , , , , , , , , 
2014,28,NABB,3,2,1,THU,2,1,13,40,334650,380545,14,30, , , , , , , , , , 
2014,29,FOYL,3,2,1,THU,2,1,14,28,244973,420384,13,40, , , , , , , , , , 
2014,30,BELS,3,2,1,THU,2,1,15,53,334308,372841,13,30, , , , , , , , , , 
2014,31,FOYL,3,1,1,THU,2,1,16,45,243573,417071,13,30, , , , , , , , , , 
2014,32,STRB,3,2,1,THU,2,1,17,40,233783,398130,13,40, , , , , , , , , , 
2014,33,BELN,3,2,1,THU,2,1,20,3,331305,375399,13,30, , , , , , , , , , 
2014,34,FERM,3,1,1,THU,2,1,20,13,223810,358194,13,30, , , , , , , , , , 
2014,35,FOYL,3,2,1,THU,2,1,19,50,243178,418116,13,40, , , , , , , , , , 
2014,36,OMAG,3,2,1,FRI,3,1,10,40,245992,372155,13,30, , , , , , , , , , 
