Area,Perimeter,LGD,LGD_ID,LGD_Name,Dataset,OSNI_Scale,LGD_Code,OBJECTID
485424700,131938.14,49,18805,COLERAINE,LGDs 1993,1:50000,95JJ,1
586314880,142993.89,68,18809,LIMAVADY,LGDs 1993,1:50000,95RR,2
418552540,121235.93,72,18803,BALLYMONEY,LGDs 1993,1:50000,95EE,3
387410590,117769.67,76,18810,DERRY,LGDs 1993,1:50000,95MM,4
631952190,150490.86,77,18798,BALLYMENA,LGDs 1993,1:50000,95DD,5
572391740,135597.33,78,18806,MAGHERAFELT,LGDs 1993,1:50000,95TT,6
861622850,226001.67,81,18811,STRABANE,LGDs 1993,1:50000,95ZZ,7
577936450,131633.02,87,18799,ANTRIM,LGDs 1993,1:50000,95AA,8
150689150,72034.789,88,18796,NEWTOWNABBEY,LGDs 1993,1:50000,95WW,9
81932800,53284.82,89,18793,CARRICKFERGUS,LGDs 1993,1:50000,95HH,10
1129896600,205340.17,90,18812,OMAGH,LGDs 1993,1:50000,95YY,11
621705790,140798.52,91,18807,COOKSTOWN,LGDs 1993,1:50000,95KK,12
81541064,58002.402,106,18790,NORTH DOWN,LGDs 1993,1:50000,95XX,13
376843260,238859.86,112,18789,ARDS,LGDs 1993,1:50000,95BB,14
114901450,62680.535,113,18795,BELFAST,LGDs 1993,1:50000,95GG,15
85004568,60263.344,116,18791,CASTLEREAGH,LGDs 1993,1:50000,95II,16
446694020,127498,117,18797,LISBURN,LGDs 1993,1:50000,95SS,17
1876782000,314692.19,120,18813,FERMANAGH,LGDs 1993,1:50000,95PP,18
378223710,102493.21,121,18802,CRAIGAVON,LGDs 1993,1:50000,95LL,19
783208260,214240.02,123,18808,DUNGANNON,LGDs 1993,1:50000,95OO,20
647053060,226009.2,163,18792,DOWN,LGDs 1993,1:50000,95NN,21
671304000,147971.92,195,18804,ARMAGH,LGDs 1993,1:50000,95CC,22
452458240,130333.77,204,18800,BANBRIDGE,LGDs 1993,1:50000,95FF,23
903151170,208969.94,251,18801,NEWRY and MOURNE,LGDs 1993,1:50000,95VV,24
336409368,163595.554,75,18794,LARNE,LGDs 1993,1:50000,95QQ,25
494263716,180512.508,10,18788,MOYLE,LGDs 1993,1:50000,95UU,26
