Ward,BlockLot,MAPBLOCKLO,latitude,longitude,StreetNumber,StreetName,Neighborhood,LandUse,LandArea,SaleCode,SALEDESCRIPTION2
01,11J157,11-J-157,40.4372092589707,-79.9788650024897,1916,FORBES,BLUFF,,988,Approved for Sale,USE IN ACCORDANCE WITH ZONING
01,11J215,11-J-215,40.4366930627809,-79.9797843853228,1849,LOCUST,BLUFF,,115,Approved for Sale,USE IN ACCORDANCE WITH ZONING
01,11K 99,11-K-99,40.4376342561857,-79.9769813638112,2018,WATSON,BLUFF,,2640,Property Reserve,APPROVED FOR A SALE
01,11K150,11-K-150,40.4369644706902,-79.976921374766,2021,TUSTIN,BLUFF,,936,Approved for Sale,USE IN ACCORDANCE WITH ZONING
01,11K151,11-K-151,40.4369603298981,-79.9768644107974,2023,TUSTIN,BLUFF,,918,Approved for Sale,USE IN ACCORDANCE WITH ZONING
01,11K155,11-K-155,40.4369592647353,-79.9767503166726,2027,TUSTIN,BLUFF,,1100,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,2H254,2-H-254,40.4394753248576,-79.9846149885169,14,REED,CRAWFORD-ROBERTS,,759,Hold for URA,APPROVED FOR A SALE
03,9M 90,9-M-90,40.4459569693095,-79.9868301653394,1703,CLIFF,CRAWFORD-ROBERTS,,2340,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9M 92,9-M-92,40.4459947227659,-79.9867332804309,1707,CLIFF,CRAWFORD-ROBERTS,,2327,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9M 94,9-M-94,40.4460418636498,-79.9866233419052,1711,CLIFF,CRAWFORD-ROBERTS,,2210,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9M 99A,9-M-99-A,40.446097036123,-79.9863531482081,1717,CLIFF,CRAWFORD-ROBERTS,,2400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9M100,9-M-100,40.4461651156515,-79.9863168166993,1719,CLIFF,CRAWFORD-ROBERTS,,3123,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9M238,9-M-238,40.4458062115972,-79.9855201959288,819,CASSATT,CRAWFORD-ROBERTS,,1523,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9M249,9-M-249,40.4457479867206,-79.9850115497593,808,CASSATT,CRAWFORD-ROBERTS,,913,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9M317A,9-M-317-A,,,1838,BEDFORD,CRAWFORD-ROBERTS,,466,Hold for URA,APPROVED FOR A SALE
03,9R182,9-R-182,40.4453746807729,-79.987943330605,1541,CLIFF,CRAWFORD-ROBERTS,,6400,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9R187,9-R-187,40.445060855723,-79.9884139958068,1501,CLIFF,CRAWFORD-ROBERTS,,231,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9R188,9-R-188,40.4454845397883,-79.9884393823602,1500,CLIFF,CRAWFORD-ROBERTS,,88328,Hold for URA,APPROVED FOR A SALE
03,9S213,9-S-213,40.4448794313584,-79.9831465180415,1848,WEBSTER,CRAWFORD-ROBERTS,,1555,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9S216,9-S-216,40.4448089025449,-79.9833179926734,1842,WEBSTER,CRAWFORD-ROBERTS,,1544,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,9S226,9-S-226,40.4446198120066,-79.9837849286616,1826,WEBSTER,CRAWFORD-ROBERTS,,1690,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,10J178,10-J-178,40.4457649094551,-79.982089642905,1935,WEBSTER,CRAWFORD-ROBERTS,,942,Approved for Sale,USE IN ACCORDANCE WITH ZONING
03,11A 29,11-A-29,40.441161924343,-79.9822123479207,101,ROBERTS,CRAWFORD-ROBERTS,,1776,Hold for URA,APPROVED FOR A SALE
03,11A 36,11-A-36,40.440912921718,-79.9819760134249,73,REED,CRAWFORD-ROBERTS,,1740,Hold for URA,APPROVED FOR A SALE
03,11A 42,11-A-42,40.4410085498226,-79.9815505383129,1817,REED,CRAWFORD-ROBERTS,,680,Hold for URA,APPROVED FOR A SALE
03,11A 54,11-A-54,,,28,HELDMAN,CRAWFORD-ROBERTS,,2000,Hold for URA,APPROVED FOR A SALE
