X,Y,STREETNAME,USRN,X_Coord,Y_Coord,OBJECTID
-6.465595991508357,54.396627975091747,ARTABRACKAGH ROAD,25324,299709,350864,1001
-5.921758275333872,54.584051793026106,ARTANA STREET,5656,334411,372629,1002
-6.718494884429538,54.396145728403745,ARTASOOLY ROAD,5629,283285,350482,1003
-6.450019900446033,54.418099473054944,ARTHUR AVENUE,25320,300668,353276,1004
-5.92596204841067,54.653802728614565,ARTHUR AVENUE,5628,333910,380384,1005
-5.927265391601621,54.653465649889334,ARTHUR CRESCENT,5627,333827,380344,1006
-5.926943334615436,54.654008218915529,ARTHUR PARK,5625,333846,380405,1007
-5.927379460726375,54.597949268319603,ARTHUR PLACE,5624,334002,374165,1008
-5.927877669883763,54.654527371406225,ARTHUR ROAD,5623,333784,380461,1009
-5.927466203519366,54.598678542367821,ARTHUR SQUARE,5655,333994,374246,1010
-5.927780089726372,54.597983085785629,ARTHUR STREET,5654,333976,374168,1011
-6.338187160959148,54.4615528381891,ARTHUR STREET,23710,307813,358278,1012
-6.081563930122831,54.463041957608986,ARTHUR STREET,5653,324448,358867,1013
-6.329513436991938,54.179977185598716,ARTHUR STREET,5652,309118,326952,1014
-6.806523399524673,55.143235821120896,ARTIDILLON ROAD,18432,276152,433544,1015
-6.137218524932258,54.468315579175943,ARTIFINNY ROAD,5650,320824,359357,1016
-6.663619313756571,55.138060188823594,ARTILLERY ROAD,5649,285275,433133,1017
-7.320882266965214,54.994322100505904,ARTILLERY STREET,5648,243515,416526,1018
-6.388432456502397,54.75018821725314,ARTLONE ROAD,25790,303818,390329,1019
-6.202663724997564,54.89710133050292,ARTOGES PARK,17959,315359,406972,1020
-5.947754436217966,54.594981120200146,ARUNDEL COURTS,5729,332695,373796,1021
-5.947921925722915,54.594112415625197,ARUNDEL WALK,5728,332687,373699,1022
-7.211788386736705,54.597679960967277,ARVALEE ROAD,5727,250994,372445,1023
-6.064342655315127,54.528527914496259,ASCOT CRESCENT,5726,325364,366186,1024
-5.861270296642071,54.584372200744788,ASCOT GARDENS,5725,338320,372782,1025
-5.863070914444291,54.585437318326711,ASCOT MEWS,5724,338200,372897,1026
-5.712772530916959,54.598709863156579,ASCOT PARK,5665,347867,374680,1027
-5.860516189840551,54.584592480286027,ASCOT PARK,5723,338368,372808,1028
-7.431197647360507,54.893095764709606,ASH AVENUE,17899,236546,405194,1029
-6.66602937161778,54.842498306867746,ASH DRIVE,5664,285749,400229,1030
-6.667481644316657,54.851803253937376,ASH GLYNN,37014,285636,401263,1031
-5.837333094067498,54.631451355091258,ASH GREEN,5663,339706,378069,1032
-6.748955201001677,54.656037457055859,ASH GROVE,5662,280792,379375,1033
-5.699788739736115,54.599523985479514,ASH GROVE,5660,348703,374798,1034
-5.845667097254993,54.851642885181541,ASH GROVE,5661,338415,402559,1035
-6.268624149646642,54.879902754502659,ASH PARK,5659,311175,404951,1036
-6.765364782675426,54.501585350676343,ASHBEG GROVE,5658,280035,362164,1037
-5.950836934123797,54.678350765068757,ASHBOURNE,5657,332225,383069,1038
-6.551171377637343,54.776247025668205,ASHBOURNE,18352,293280,393001,1039
-7.317226173981497,54.589544173661231,ASHBOURNE CLOSE,5722,244188,371468,1040
-7.318872603402818,54.589140221300276,ASHBOURNE COURT,5720,244082,371422,1041
-6.752204111757408,54.51605807684934,ASHBOURNE COURT,5721,280859,363790,1042
-7.315477112076842,54.590531439442728,ASHBOURNE GROVE,5719,244300,371579,1043
-7.316406675873001,54.590446862138826,ASHBOURNE HEIGHTS,5718,244240,371569,1044
-6.3084606616956,54.86740146561889,ASHBOURNE MANOR,5717,308652,403497,1045
-7.607463717550263,54.354526832804567,ASHBOURNE MANOR,40067,225571,345163,1046
-6.688856748843214,55.123997321147151,ASHBOURNE PARK,5716,283695,431537,1047
-6.031901347392494,54.530133555634151,ASHBOURNE PARK,5715,327459,366423,1048
-7.320967313823927,54.589682012971998,ASHBOURNE PARK,38684,243946,371481,1049
-7.315339769840057,54.58949757933344,ASHBOURNE VIEW,5714,244310,371464,1050
-6.467868898877737,54.433537876122379,ASHBROOK,25319,299472,354969,1051
-7.47651152585849,54.807082110650299,ASHBROOK,5713,233710,395596,1052
-6.682453798769547,55.130881186562156,ASHBROOK COURT,5712,284089,432311,1053
-5.866169182776362,54.607838095021194,ASHBROOK CRESCENT,5711,337924,375384,1054
-5.866743720442833,54.607803299774304,ASHBROOK DRIVE,5710,337887,375379,1055
-6.565028367938706,55.065997524400117,ASHBROOK DRIVE,17664,291727,425236,1056
-6.642844629093658,55.114869507657978,ASHBROOK GROVE,5709,286650,430577,1057
-6.330642548559032,54.192248283941439,ASHBROOK MEWS,5708,309012,328316,1058
-6.565627022111808,55.06632798202547,ASHBROOK PARK,17665,291688,425272,1059
-6.94123134559476,55.045174888612181,ASHBROOK PARK,5707,267728,422489,1060
-7.403492271965647,54.358757299533764,ASHBROOK ROAD,36582,238829,345727,1061
-5.543713002936689,54.633090811564536,ASHBROOKE,5706,358657,378875,1062
-7.423157157361466,54.348387019986497,ASHBROOKE ROAD,35727,237560,344562,1063
