QuarterCode,QuarterName,FinancialYear,AreaCode,AreaName,WasteManagementGroup,DataStatus,"Local authority collected municipal waste arisings (tonnes), KPI(j)",Local authority collected municipal waste preparing for reuse (tonnes),Local authority collected municipal waste dry recycling (tonnes),Local authority collected municipal waste composting (tonnes),Local authority collected municipal waste dry recycling and composting (tonnes),"Local authority collected municipal waste preparing for reuse, dry recycling and composting (tonnes)","Local authority collected municipal waste dry recycling and composting rate (%), KPI(e)","Local authority collected municipal waste preparing for reuse, dry recycling and composting rate (%), KPI(e2)",Local authority collected municipal waste energy recovery for mixed residual (tonnes),Local authority collected municipal waste energy recovery for specific streams e.g. wood (tonnes),Local authority collected municipal waste energy recovery rate (%),Local authority collected municipal waste landfilled (tonnes),"Local authority collected municipal waste landfill rate (%), KPI(f)","Biodegradable local authority collected municipal waste to landfill (tonnes), KPI(g)",NILAS financial year allocation before transfers (tonnes),NILAS financial year allocation after transfers (tonnes),Household waste arisings (tonnes),Household waste preparing for reuse (tonnes),Household waste dry recycling (tonnes),Household waste composting (tonnes),Household waste dry recycling and composting (tonnes),"Household waste preparing for reuse, dry recycling and composting (tonnes)","Household waste dry recycling and composting rate (%), KPI(a)","Household waste preparing for reuse, dry recycling and composting rate (%), KPI(a2)",Household waste landfilled (tonnes),"Household waste landfill rate (%), KPI(b)",Number of households,"Household waste arisings per household (kilogrammes per household), KPI(h)",Population,"Household waste arisings per capita (kilogrammes per capita), KPI(p)",Waste from households recycling (including preparing for reuse and composting) (tonnes),Waste from households arisings (tonnes),Waste from households recycling rate (including preparing for reuse and composting) (%)
Q1,April to June,2006/07,95AA,Antrim,arc21 (pre April 2015),Finalised,"9,885",-,"2,542","2,353","4,895",-,49.5,-,0,0,0.0,"4,990",50.5,-,-,-,"8,595",-,"1,716","2,353","4,069",-,47.3,-,"4,525",52.6,-,-,"51,059",168,-,-,-
Q1,April to June,2006/07,95BB,Ards,arc21 (pre April 2015),Finalised,"13,137",-,"1,231","2,191","3,422",-,26.0,-,0,0,0.0,"9,715",74.0,-,-,-,"12,357",-,"1,167","2,191","3,358",-,27.2,-,"8,998",72.8,-,-,"75,767",163,-,-,-
Q1,April to June,2006/07,95CC,Armagh,SWaMP2008,Finalised,"7,912",-,"1,443","1,116","2,559",-,32.3,-,0,0,0.0,"5,353",67.7,-,-,-,"6,997",-,980,"1,116","2,096",-,30.0,-,"4,900",70.0,-,-,"56,785",123,-,-,-
Q1,April to June,2006/07,95DD,Ballymena,arc21 (pre April 2015),Finalised,"10,072",-,"1,466","1,511","2,977",-,29.6,-,0,0,0.0,"7,094",70.4,-,-,-,"9,502",-,"1,466","1,511","2,977",-,31.3,-,"6,525",68.7,-,-,"61,447",155,-,-,-
Q1,April to June,2006/07,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,"3,772",-,550,0,550,-,14.6,-,0,0,0.0,"3,222",85.4,-,-,-,"3,286",-,550,0,550,-,16.7,-,"2,735",83.2,-,-,"29,392",112,-,-,-
Q1,April to June,2006/07,95FF,Banbridge,SWaMP2008,Finalised,"7,390",-,981,"2,581","3,562",-,48.2,-,0,0,0.0,"3,795",51.4,-,-,-,"7,149",-,981,"2,581","3,562",-,49.8,-,"3,554",49.7,-,-,"45,290",158,-,-,-
Q1,April to June,2006/07,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,"44,114",-,"4,708","3,157","7,865",-,17.8,-,0,0,0.0,"36,249",82.2,-,-,-,"38,754",-,"4,572","3,154","7,726",-,19.9,-,"31,028",80.1,-,-,"274,239",141,-,-,-
Q1,April to June,2006/07,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,"6,669",-,674,756,"1,431",-,21.5,-,0,0,0.0,"5,238",78.5,-,-,-,"5,913",-,674,756,"1,431",-,24.2,-,"4,482",75.8,-,-,"39,056",151,-,-,-
Q1,April to June,2006/07,95II,Castlereagh,arc21 (pre April 2015),Finalised,"8,946",-,"1,782","1,864","3,647",-,40.8,-,0,0,0.0,"5,300",59.2,-,-,-,"8,302",-,"1,483","1,864","3,347",-,40.3,-,"4,955",59.7,-,-,"66,009",126,-,-,-
Q1,April to June,2006/07,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,"11,590",-,"1,374","1,200","2,574",-,22.2,-,0,0,0.0,"9,016",77.8,-,-,-,"9,939",-,"1,374","1,200","2,574",-,25.9,-,"7,365",74.1,-,-,"57,894",172,-,-,-
