Neighborhood,Sector #,Population (2010),Land Area (acres),Approx. Total # Parcels (2010),Approx. Total # Taxable Parcels (2010),Approx. # of Structures (2010),Approx. # Unoccupied Parcels (2010),% Good / Excellent Condition Buildings (2009),% Average Condition Buildings (2009),% Poor / Derelict Condition Buildings (2009),# Residential Bldg. Permits (2010),$ Residential Bldg. Permits (2010),# Commercial Bldg. Permits (2010),$ Commercial Bldg. Permits (2010),# Code Violations (2010),% of all Bldgs. w/ Code Violations (2010),# Condemned Structures (2010),% of all Bldgs. Condemned (2010),# Demolitions (2010),# Tax Delinquent Prop. (2+ yrs.) (2010),% of Taxable Prop. Delinquent (2010)
Allegheny Center,3,933,134.4,67,26,58,15,n/a,n/a,n/a,0,$0,6,"$6,314,000",0,0.0%,0,0.0%,0,0,0.0%
Allegheny West,3,462,90.2,282,234,176,49,72.0%,22.3%,5.7%,2,"$30,784",6,"$795,300",3,1.7%,1,0.6%,0,3,1.3%
Allentown,6,"2,500",188.8,"1,550","1,402","1,283",334,2.5%,86.9%,10.6%,19,"$349,708",1,"$350,000",175,13.6%,30,2.3%,16,287,20.5%
Arlington,7,"1,869",300.8,"1,049",950,"1,034",198,0.3%,97.6%,2.1%,10,"$159,496",1,"$50,000",130,12.6%,10,1.0%,7,142,14.9%
Arlington Heights,7,244,84.5,10,7,13,4,n/a,n/a,n/a,0,$0,0,$0,0,0.0%,0,0.0%,0,3,42.9%
Banksville,5,"4,144",620.2,"1,459","1,426","1,492",154,7.0%,92.8%,0.2%,20,"$595,696",12,"$359,201",16,1.1%,2,0.1%,1,38,2.7%
Bedford Dwellings,15,"1,202",114.6,265,185,132,119,n/a,n/a,n/a,1,"$4,000",0,$0,9,6.8%,9,6.8%,6,42,22.7%
Beechview,5,"7,974",934.4,"4,212","3,919","3,653",696,1.3%,98.1%,0.6%,56,"$517,110",5,"$1,607,645",233,6.4%,15,0.4%,5,227,5.8%
Beltzhoover,6,"1,925",269.4,"1,762","1,560","1,302",599,1.7%,85.3%,13.0%,10,"$79,095",2,"$24,000",169,13.0%,48,3.7%,29,620,39.7%
Bloomfield,12,"8,442",449.3,"3,458","3,308","3,162",298,9.7%,89.6%,0.7%,43,"$414,968",25,"$1,736,178",125,4.0%,7,0.2%,2,90,2.7%
Bluff,15,"6,600",209.3,882,704,218,373,22.2%,54.8%,23.0%,6,"$68,000",25,"$5,256,332",19,8.7%,10,4.6%,3,58,8.2%
Bon Air,6,808,200.3,512,443,483,86,2.9%,96.9%,0.2%,2,"$21,350",3,"$145,435",8,1.7%,0,0.0%,0,20,4.5%
Brighton Heights,2,"7,247",714.9,"3,317","3,097","3,517",360,9.5%,89.9%,0.6%,35,"$451,424",3,"$96,500",108,3.1%,11,0.3%,5,178,5.7%
Brookline,5,"13,214","1,332.5","6,483","6,096","6,615",571,0.2%,99.6%,0.2%,108,"$2,286,780",9,"$1,932,636",223,3.4%,9,0.1%,7,177,2.9%
California-Kirkbride,3,761,138.9,863,585,288,477,2.9%,71.9%,25.2%,14,"$370,719",4,"$627,500",64,22.2%,32,11.1%,12,197,33.7%
Carrick,5,"10,113","1,070.7","4,660","4,392","4,801",469,0.2%,99.3%,0.5%,42,"$510,399",14,"$14,250,090",293,6.1%,4,0.1%,8,218,5.0%
Central Business District,16,"3,629",409.6,"1,588","1,351",222,227,32.0%,54.5%,13.5%,0,$0,137,"$61,851,741",34,15.3%,0,0.0%,1,14,1.0%
Central Lawrenceville,13,"4,482",616.3,"2,180","2,125","1,377",115,18.7%,75.9%,5.4%,56,"$732,529",20,"$1,461,260",117,8.5%,14,1.0%,2,66,3.1%
Central Northside,3,"2,923",165.8,"1,802","1,592",770,441,42.9%,45.6%,11.5%,56,"$2,489,462",17,"$4,327,738",86,11.2%,44,5.7%,8,160,10.1%
Central Oakland,14,"6,086",179.8,"1,127","1,015",806,64,5.3%,91.5%,3.2%,12,"$61,727",35,"$14,855,045",258,32.0%,1,0.1%,3,6,0.6%
Chartiers City,4,477,84.5,332,298,270,87,7.8%,89.6%,2.6%,1,"$11,000",0,$0,11,4.1%,1,0.4%,0,37,12.4%
Chateau,3,11,245.1,271,141,75,108,n/a,n/a,n/a,0,$0,9,"$1,267,021",2,2.7%,0,0.0%,2,17,12.1%
Crafton Heights,4,"3,814",482.6,"1,976","1,756","1,700",476,6.7%,92.7%,0.6%,10,"$96,475",3,"$85,000",73,4.3%,1,0.1%,0,126,7.2%
Crawford-Roberts,15,"2,256",165.1,"1,324",784,393,701,27.6%,52.8%,19.6%,32,"$2,749,280",9,"$3,345,611",65,16.5%,14,3.6%,18,151,19.3%
Duquesne Heights,6,"2,425",398.7,"1,844","1,459","1,115",275,6.0%,92.3%,1.7%,20,"$756,091",2,"$524,000",50,4.5%,5,0.4%,0,61,4.2%
East Allegheny,3,"2,136",151.0,"1,305","1,170",732,314,20.9%,67.9%,11.1%,32,"$891,326",10,"$1,891,840",53,7.2%,26,3.6%,5,110,9.4%
East Carnegie,4,570,276.5,308,283,350,57,3.1%,96.6%,0.3%,2,"$9,100",0,$0,10,2.9%,0,0.0%,0,17,6.0%
East Hills,11,"3,169",346.2,"1,598","1,439","1,068",488,5.7%,87.8%,6.5%,11,"$132,926",4,"$362,640",89,8.3%,35,3.3%,6,443,30.8%
East Liberty,12,"5,869",371.8,"1,548","1,340","1,178",290,21.2%,74.8%,4.1%,42,"$922,235",34,"$16,982,725",77,6.5%,10,0.8%,7,83,6.2%
Elliott,4,"2,381",387.8,"1,631","1,356","1,344",370,0.6%,95.7%,3.7%,10,"$50,675",4,"$52,000",95,7.1%,12,0.9%,9,211,15.6%
Esplen,4,301,147.2,386,340,216,185,0.9%,91.9%,7.2%,4,"$7,004",3,"$784,230",15,6.9%,4,1.9%,2,93,27.4%
Fairywood,4,"1,002",620.2,284,195,269,95,n/a,n/a,n/a,1,"$1,000",3,"$274,000",10,3.7%,0,0.0%,1,50,25.6%
Fineview,3,"1,285",160.0,884,660,538,368,6.7%,88.0%,5.3%,9,"$102,915",0,$0,22,4.1%,7,1.3%,7,149,22.6%
Friendship,12,"1,785",67.8,383,365,426,11,17.8%,79.1%,3.1%,7,"$89,977",2,"$31,500",17,4.0%,0,0.0%,0,9,2.5%
Garfield,12,"3,675",292.5,"2,309","1,830","1,300",835,5.0%,84.2%,10.7%,63,"$6,748,494",11,"$381,182",128,9.8%,20,1.5%,25,500,27.3%
Glen Hazel,9,716,291.8,69,35,65,8,n/a,n/a,n/a,0,$0,0,$0,0,0.0%,0,0.0%,0,6,17.1%
Greenfield,9,"7,294",494.7,"3,593","3,448","3,338",325,1.0%,97.5%,1.4%,53,"$353,069",9,"$494,270",197,5.9%,6,0.2%,10,133,3.9%
Hays,8,362,"1,120.0",414,341,241,174,1.6%,95.2%,3.2%,4,"$52,500",3,"$48,000",10,4.1%,2,0.8%,4,76,22.3%
Hazelwood,9,"4,317","1,013.1","3,648","2,975","2,221","1,032",0.7%,90.6%,8.8%,37,"$427,140",7,"$245,500",344,15.5%,50,2.3%,42,678,22.8%
Highland Park,12,"6,395",744.3,"2,166","2,098","2,651",51,13.6%,85.8%,0.6%,45,"$513,879",6,"$314,500",80,3.0%,0,0.0%,0,47,2.2%
Homewood North,11,"3,280",277.8,"2,535","2,088","1,582",946,1.2%,86.4%,12.3%,15,"$166,517",2,"$20,500",296,18.7%,90,5.7%,20,976,46.7%
Homewood South,11,"2,344",254.7,"1,939","1,649","1,008",791,9.8%,72.5%,17.8%,19,"$197,425",6,"$366,800",266,26.4%,78,7.7%,20,614,37.2%
Homewood West,11,818,127.4,720,614,400,299,2.4%,85.0%,12.6%,3,"$10,326",2,"$33,797",87,21.8%,6,1.5%,8,212,34.5%
Knoxville,6,"3,747",193.3,"1,736","1,685","1,905",157,1.7%,93.8%,4.6%,12,"$63,778",0,$0,232,12.2%,24,1.3%,16,298,17.7%
Larimer,12,"1,728",284.8,"1,732","1,344",856,809,4.9%,79.9%,15.2%,8,"$181,980",19,"$5,327,810",174,20.3%,39,4.6%,32,441,32.8%
Lincoln Place,8,"3,227",629.8,"1,766","1,719","1,958",193,2.1%,97.7%,0.2%,14,"$212,305",1,"$57,000",31,1.6%,0,0.0%,4,56,3.3%
Lincoln-Lemington-Belmar,11,"4,883","1,159.7","2,719","2,341","2,128",779,3.0%,90.1%,7.0%,20,"$84,111",11,"$1,756,380",179,8.4%,44,2.1%,47,842,36.0%
Lower Lawrenceville,13,"2,341",275.2,"1,340","1,242",757,249,6.6%,86.8%,6.6%,25,"$426,205",11,"$565,855",47,6.2%,12,1.6%,5,71,5.7%
Manchester,3,"2,130",178.6,"1,497","1,217",621,495,21.6%,58.6%,19.8%,24,"$770,266",4,"$736,500",105,16.9%,54,8.7%,13,231,19.0%
Marshall-Shadeland,2,"6,043",802.6,"2,700","2,452","2,456",506,7.2%,88.9%,3.8%,17,"$427,343",6,"$16,920,800",190,7.7%,43,1.8%,31,433,17.7%
Middle Hill,15,"1,707",195.2,"1,964","1,330",587,"1,154",9.3%,67.0%,23.7%,19,"$891,120",7,"$8,126,800",88,15.0%,34,5.8%,29,392,29.5%
Morningside,12,"3,346",244.5,"1,544","1,481","1,685",156,2.3%,97.3%,0.4%,22,"$145,516",4,"$49,200",27,1.6%,2,0.1%,0,58,3.9%
Mount Washington,6,"8,799",729.6,"4,427","4,208","4,010",449,11.9%,86.9%,1.2%,56,"$815,209",14,"$177,550",324,8.1%,32,0.8%,8,215,5.1%
Mt. Oliver,7,509,64.0,299,264,271,53,0.0%,97.4%,2.6%,2,"$8,321",0,$0,91,33.6%,1,0.4%,2,52,19.7%
New Homestead,8,990,508.2,"1,095",757,461,651,13.5%,85.8%,0.7%,5,"$301,600",1,$0,7,1.5%,0,0.0%,0,87,11.5%
North Oakland,14,"10,551",319.4,"1,314","1,152",525,116,15.4%,81.9%,2.6%,6,"$55,724",37,"$5,549,081",51,9.7%,1,0.2%,1,9,0.8%
North Shore,16,303,193.9,287,170,41,187,80.0%,12.5%,7.5%,0,$0,26,"$10,278,676",5,12.2%,0,0.0%,2,9,5.3%
