objectid,pin,mapblocklo,bldg_code,building_n,prime_usag,department,department_name,region,class,name,created_user,created_date,last_edited_user,last_edited_date,buff_dist,orig_fid,cid
69,0231S00600000000,231-S-600,B099,EAST HILLS POOL BUILDING,POOL,SWIMMING,CITIPARKS,EAST,SWIMMING,East Hills Pool Building,,,SDE,2015-08-18T14:32:50.000Z,25,37,B099
131,0005D00095000000,5-D-95,B056,OLYMPIA PARK RECREATION CENTER aka MANION,ACTIVITY,RECREATION CENTER,CITIPARKS,SOUTH,RECREATION CENTER,Olympia Park Recreation Center,,,SDE,2015-08-18T14:32:53.000Z,25,45,B056
152,0027S00150000001,27-S-150-0-1,B068,SCHENLEY PARK GOLF COURSE CLUBHOUSE,ACTIVITY,PLAY AREA,CITIPARKS,CENTRAL,PLAY AREA,Schenley Park Golf Course Clubhouse,,,SDE,2015-08-18T14:32:53.000Z,25,104,B068
170,0076D00001000002,76-D-1-0-2,B038,RIVERVIEW WATSON CABIN,CABIN,PLAY AREA,CITIPARKS,NORTH,PLAY AREA,Riverview Watson Cabin,,,SDE,2015-08-18T14:32:54.000Z,25,124,B038
236,0027S00150000001,27-S-150-0-1,B071,SCHENLEY OVAL RESTROOMS,RESTROOMS,PLAY AREA,CITIPARKS,CENTRAL,PLAY AREA,Schenley Park Oval Restrooms,,,SDE,2015-08-18T14:32:56.000Z,25,232,B071
664,,127-H-100-0-1,B102,,OFFICE,,DEPARTMENT OF PUBLIC WORKS,EAST,,Frick Park Gatehouse 2,Cartegraph,2015-09-17T19:47:52.000Z,Cartegraph,2015-09-17T19:47:52.000Z,,,
179,0047B00180000000,47-B-180,B213,SPRINGHILL PARKLET BUILDING,UTILITY,UTILITY,CITIPARKS,NORTH,UTILITY,Spring Hill Parklet Building,,,Cartegraph,2015-09-01T22:06:08.000Z,25,114,B213
145,0070E00055000000,70-E-55,B198,FAIRYWOOD POOL BUILDING aka BROADHEAD,POOL,SWIMMING,CITIPARKS,WEST,SWIMMING,Fairywood Pool Building,,,Cartegraph,2015-09-01T22:06:08.000Z,25,38,B198
74,0027S00150000001,27-S-150-0-1,B216,SCHENLEY NEAL HOUSE LOG CABIN,CABIN,PLAY AREA,CITIPARKS,CENTRAL,PLAY AREA,Schenley Neal House Log Cabin,,,Cartegraph,2015-09-01T22:06:08.000Z,25,106,B216
10,0231S00600000000,231-S-600,B264,EAST HILLS MAINTENANCE BUILDING (ELECTRICAL),UTILITY,SWIMMING,CITIPARKS,EAST,SWIMMING,East Hills Maintenance Building,,,Cartegraph,2015-09-01T22:06:11.000Z,25,36,B264
