Disease,Week 44,Week 43,Week 42,Week 41,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,2,1,0,37,52,47,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,4,15,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,12,8,13,15,1334,1506,1395,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,2,2,0,0,38,17,4,, ,,,,,,
Food Poisoning,48,39,32,47,1646,1617,1521,, , ,,,,,
Gastroenteritis (< 2years),1,4,1,3,290,384,502,, , ,,,,,
Hepatitis A,0,0,0,0,7,3,4,,, , , ,,,
Hepatitis B,0,0,1,2,85,105,92,,, , , , ,,
Hepatitis Unspecified,0,0,1,0,1,0,0,, ,,, ,,,
Legionnaires' Disease,0,1,0,0,10,4,8,,, ,, ,, ,
Leptospirosis,0,0,0,0,3,0,2,, , , , ,,,
Malaria,2,1,0,0,6,5,5,,, ,,, ,,
Measles,0,0,0,0,13,15,53,, , , , ,,,
Meningococcal Septicaemia,1,2,0,0,15,19,24,,, , , , ,,
Mumps,14,3,5,4,241,89,670,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,6,14,,, ,,,,,
Scarlet Fever,2,5,5,7,333,583,161,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),2,2,2,1,34,62,33,, , ,,,,,
Tuberculosis (Non Pulmonary),2,2,0,1,29,35,30,, ,,,,,,
Typhoid,0,0,0,0,1,0,1,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,2,1,3,1,105,33,72,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,89,72,64,81,4239,4551,4647,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
