Disease,Week 32,Week 31,Week 30,Week 29,2016,2015,2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,1,0,32,30,40,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,2,4,4,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,19,28,37,27,1199,1165,1354,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,0,1,0,12,25,14,, ,,,,,,
Food Poisoning,46,42,45,50,1260,1133,1136,, , ,,,,,
Gastroenteritis (< 2years),0,0,0,2,142,240,314,, , ,,,,,
Hepatitis A,0,0,0,0,8,7,2,, , , , ,,,
Hepatitis B,1,0,3,0,34,45,73,, , , , , ,,
Hepatitis Unspecified,0,3,1,0,8,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,2,2,5,3,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,2,0,, , , , ,,,
Malaria,0,0,0,0,1,2,5,,, ,,, ,,
Measles,0,0,3,0,14,14,11,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,12,10,15,,, , , , ,,
Mumps,0,1,1,7,285,189,40,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,1,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,5,6,,, ,,,,,
Scarlet Fever,6,3,2,4,360,297,521,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),0,2,1,1,31,25,47,, , ,,,,,
Tuberculosis (Non Pulmonary),1,0,1,2,26,20,23,, , ,,,,,
Typhoid,0,0,0,0,1,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , , ,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,13,2,4,5,84,63,19,, , , ,,,,
Yellow Fever,0,0,0,0,2,0,0,, , ,,,,,
Total,88,81,100,100,3516,3283,3627,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
