Year,WTW Code,WTW Name,Sample Id,Date,Parameter,PCV,Result,Units
2014,W1301P,Moyola PPP,W1301POUT-14-1951239,06-Jan-14,"2,4-D",0.1,0.014,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1962600,17-Feb-14,"2,4-D",0.1,0.015,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1987415,07-Apr-14,"2,4-D",0.1,0.013,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2009462,19-May-14,"2,4-D",0.1,0.0042,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2038720,07-Jul-14,"2,4-D",0.1,0.0086,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2054637,18-Aug-14,"2,4-D",0.1,0.012,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2078146,06-Oct-14,"2,4-D",0.1,0.011,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2099760,17-Nov-14,"2,4-D",0.1,0.0098,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1951239,06-Jan-14,"2,4-DB",0.1,<0.0034,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1962600,17-Feb-14,"2,4-DB",0.1,<0.0034,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1987415,07-Apr-14,"2,4-DB",0.1,<0.0034,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2009462,19-May-14,"2,4-DB",0.1,<0.0034,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2038720,07-Jul-14,"2,4-DB",0.1,<0.0034,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2054637,18-Aug-14,"2,4-DB",0.1,<0.0034,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2078146,06-Oct-14,"2,4-DB",0.1,<0.0034,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2099760,17-Nov-14,"2,4-DB",0.1,<0.0034,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1951239,06-Jan-14,Aldrin,0.03,<0.0022,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1962600,17-Feb-14,Aldrin,0.03,<0.0022,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1987415,07-Apr-14,Aldrin,0.03,<0.0022,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2009462,19-May-14,Aldrin,0.03,<0.0022,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2038720,07-Jul-14,Aldrin,0.03,<0.0022,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2054637,18-Aug-14,Aldrin,0.03,<0.0022,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2078146,06-Oct-14,Aldrin,0.03,<0.0022,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2099760,17-Nov-14,Aldrin,0.03,<0.0022,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1951239,06-Jan-14,Bentazone,0.1,0.01,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1962600,17-Feb-14,Bentazone,0.1,<0.0023,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1987415,07-Apr-14,Bentazone,0.1,<0.0023,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2009462,19-May-14,Bentazone,0.1,<0.0023,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2038720,07-Jul-14,Bentazone,0.1,<0.0023,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2054637,18-Aug-14,Bentazone,0.1,<0.0023,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2078146,06-Oct-14,Bentazone,0.1,<0.0023,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2099760,17-Nov-14,Bentazone,0.1,<0.0023,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1951239,06-Jan-14,Bromoxynil,0.1,<0.0068,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1962600,17-Feb-14,Bromoxynil,0.1,<0.0068,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1987415,07-Apr-14,Bromoxynil,0.1,<0.0068,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2009462,19-May-14,Bromoxynil,0.1,<0.0068,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2038720,07-Jul-14,Bromoxynil,0.1,<0.0068,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2054637,18-Aug-14,Bromoxynil,0.1,<0.0068,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2078146,06-Oct-14,Bromoxynil,0.1,<0.0068,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2099760,17-Nov-14,Bromoxynil,0.1,<0.0068,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1951239,06-Jan-14,Chlorothalonil,0.1,<0.0098,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1962600,17-Feb-14,Chlorothalonil,0.1,<0.0098,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1987415,07-Apr-14,Chlorothalonil,0.1,<0.0098,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2009462,19-May-14,Chlorothalonil,0.1,0.011,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2038720,07-Jul-14,Chlorothalonil,0.1,<0.0098,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2054637,18-Aug-14,Chlorothalonil,0.1,<0.0098,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2078146,06-Oct-14,Chlorothalonil,0.1,<0.0098,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2099760,17-Nov-14,Chlorothalonil,0.1,<0.0098,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1951239,06-Jan-14,Chlorpyrifos,0.1,<0.0044,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1962600,17-Feb-14,Chlorpyrifos,0.1,<0.0044,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-1987415,07-Apr-14,Chlorpyrifos,0.1,<0.0044,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2009462,19-May-14,Chlorpyrifos,0.1,<0.0044,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2038720,07-Jul-14,Chlorpyrifos,0.1,<0.0044,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2054637,18-Aug-14,Chlorpyrifos,0.1,<0.0044,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2078146,06-Oct-14,Chlorpyrifos,0.1,<0.0044,ug/l
2014,W1301P,Moyola PPP,W1301POUT-14-2099760,17-Nov-14,Chlorpyrifos,0.1,<0.0044,ug/l
