Disease,Week 34,Week 33,Week 32,Week 31,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,0,0,31,42,39,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,1,4,6,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,18,27,33,27,1210,1373,1279,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,2,1,2,27,14,4,, ,,,,,,
Food Poisoning,38,57,41,50,1228,1219,1189,, , ,,,,,
Gastroenteritis (< 2years),0,0,2,3,170,264,457,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,4,,, , , ,,,
Hepatitis B,0,1,0,2,71,88,68,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,1,1,0,2,7,3,6,,, ,, ,, ,
Leptospirosis,0,0,0,0,2,0,0,, , , , ,,,
Malaria,1,0,0,0,3,5,3,,, ,,, ,,
Measles,0,0,0,0,13,12,50,, , , , ,,,
Meningococcal Septicaemia,0,0,1,0,10,17,19,,, , , , ,,
Mumps,2,0,3,1,188,42,631,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,1,5,6,10,,, ,,,,,
Scarlet Fever,3,4,1,0,304,527,149,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),1,0,0,0,25,48,25,, , ,,,,,
Tuberculosis (Non Pulmonary),2,0,1,0,23,24,26,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,4,1,10,5,69,21,69,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,71,93,93,94,3399,3713,4037,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
