Disease,Week 22,Week 21,Week 20,Week 19,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,0,0,23,32,25,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,3,2,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,47,36,44,37,833,1060,824,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,0,1,0,0,18,4,2,, ,,,,,,
Food Poisoning,50,42,40,40,690,634,610,, ,,,,,,
Gastroenteritis (< 2years),1,0,0,3,110,182,377,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,2,,,, , ,,,
Hepatitis B,0,0,1,0,43,57,39,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,2,3,4,,, ,, ,, ,
Leptospirosis,0,1,0,0,2,0,0,, , , , ,,,
Malaria,0,0,0,0,1,4,3,,, ,,, ,,
Measles,0,1,0,0,10,10,44,, , , , ,,,
Meningococcal Septicaemia,0,0,0,0,9,12,12,,, , , , ,,
Mumps,6,7,3,2,142,25,526,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,3,3,8,,, ,,,,,
Scarlet Fever,7,7,7,10,247,435,121,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),1,0,1,0,19,35,14,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,0,1,14,18,17,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,1,2,5,3,27,16,52,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,114,97,101,96,2204,2535,2684,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
