Disease,Week 32,Week 31,Week 30,Week 29,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,1,0,30,40,37,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,1,0,0,4,4,5,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,33,27,30,20,1165,1354,1252,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,2,1,1,25,14,4,, ,,,,,,
Food Poisoning,41,50,44,43,1133,1136,1112,, , ,,,,,
Gastroenteritis (< 2years),2,3,5,6,170,260,448,,, ,,,,,
Hepatitis A,0,0,0,0,7,2,3,,, , , ,,,
Hepatitis B,0,1,3,1,69,81,62,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,2,0,0,5,3,5,,, ,, ,, ,
Leptospirosis,0,0,0,0,2,0,0,, , , , ,,,
Malaria,0,0,0,0,2,5,3,,, ,,, ,,
Measles,0,0,0,0,13,11,50,, , , , ,,,
Meningococcal Septicaemia,1,0,0,0,10,15,19,,, , , , ,,
Mumps,3,1,6,1,186,40,628,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,1,0,0,5,6,9,,, ,,,,,
Scarlet Fever,1,0,3,0,297,521,148,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),0,0,0,0,24,47,19,, , ,,,,,
Tuberculosis (Non Pulmonary),1,0,1,0,21,23,25,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,10,5,3,1,64,19,68,, ,  , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,93,93,97,73,3235,3581,3901,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
