a_year,a_ref,a_dcu,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2013,CC2013010100097,BELW,3,4,5,TUE,1,1,0,53,332839,374139,13,30, , , , , , , , , , 
2013,CC2013010100275,LISB,3,2,1,TUE,1,1,2,5,325909,364780,13,50, , , , , , , , , , 
2013,CC2013010100332,LARN,2,2,8,TUE,1,1,2,20,336586,400274,11,60,12,7,1,1,6,1,2,1,1,1
2013,CC2013010100384,BELN,3,1,1,TUE,1,1,2,48,333563,375506,13,30, , , , , , , , , , 
2013,CC2013010100512,COLE,3,1,3,TUE,1,1,3,40,288493,425499,13,60, , , , , , , , , , 
2013,CC2013010100519,LIMA,3,2,3,TUE,1,1,3,40,269205,414328,13,60, , , , , , , , , , 
2013,CC2013010100570,BMON,3,1,1,TUE,1,1,4,13,292194,432272,13,40, , , , , , , , , , 
2013,CC2013010100699,COLE,3,1,1,TUE,1,1,6,30,287362,428912,13,60, , , , , , , , , , 
2013,CC2013010100933,FERM,3,1,1,TUE,1,1,12,31,219185,359065,13,60, , , , , , , , , , 
2013,CC2013010100989,BELS,3,2,1,TUE,1,1,13,10,329996,369490,13,30, , , , , , , , , , 
2013,CC2013010101038,COLE,3,2,4,TUE,1,1,14,31,288028,435359,13,60, , , , , , , , , , 
2013,CC2013010101304,BMEN,3,2,1,TUE,1,1,19,40,311358,399840,11,70, , , , , , , , , , 
2013,CC2013010101466,LARN,3,2,3,TUE,1,1,22,20,340260,402264,11,40, , , , , , , , , , 
2013,CC2013010101493,LISB,3,1,3,TUE,1,1,22,45,324214,359753,11,70, , , , , , , , , , 
2013,CC2013010101553,NEWM,3,2,3,TUE,1,1,23,50,321225,328685,13,30, , , , , , , , , , 
2013,CC2013010200003,CRAI,3,1,1,WED,2,1,0,2,305752,357468,11,60, , , , , , , , , , 
2013,CC2013010200116,NEWM,3,3,1,WED,2,1,3,49,290828,315332,13,30, , , , , , , , , , 
2013,CC2013010200160,CFER,2,1,1,WED,2,1,7,3,340914,387159,11,30,12,7,1,1,1,1,2,1,1,1
2013,CC2013010200345,LISB,3,3,4,WED,2,1,11,34,324804,365794,13,50, , , , , , , , , , 
2013,CC2013010200362,ARDS,3,3,1,WED,2,1,11,42,349864,374505,13,30, , , , , , , , , , 
2013,CC2013010200444,BELN,3,2,1,WED,2,1,12,55,334329,375424,13,30, , , , , , , , , , 
2013,CC2013010200578,BELN,3,1,1,WED,2,1,12,50,332526,374806,13,30, , , , , , , , , , 
2013,CC2013010200889,FOYL,3,2,2,WED,2,1,18,45,244769,415748,13,30, , , , , , , , , , 
2013,CC2013010201051,CFER,3,1,2,WED,2,1,21,20,343271,390957,13,60, , , , , , , , , , 
2013,CC2013010300152,COOK,3,1,1,THU,3,1,7,5,283448,374837,13,60, , , , , , , , , , 
2013,CC2013010300154,FOYL,3,2,1,THU,3,1,7,0,251466,409345,13,60, , , , , , , , , , 
2013,CC2013010300244,BMEN,3,1,1,WED,2,1,20,15,310326,403188,13,30, , , , , , , , , , 
2013,CC2013010300329,MOYL,3,1,1,THU,3,1,11,42,322876,428057,13,60, , , , , , , , , , 
2013,CC2013010300384,BANB,3,2,1,THU,3,1,12,20,312826,345430,13,30, , , , , , , , , , 
2013,CC2013010300519,ARMA,3,2,2,THU,3,1,14,27,301694,346057,13,60, , , , , , , , , , 
