Provider,Specialty,First Attendances Total Cost,Number of First Attendances,First Attendances Unit Cost,Follow Up Attendances Total Cost,Number of Follow Ups,Follow Up Attendances Unit Costs
,,£,,£,£,,£
Altnagelvin,100 General Surgery,"1,641,350","6,788",242,"945,754","6,391",148
Altnagelvin,101 Urology,"358,138","2,168",165,"478,793","3,320",144
Altnagelvin,110 T & O surgery,"1,525,986","10,435",146,"1,958,219","18,474",106
Altnagelvin,120 ENT,"1,239,033","6,596",188,"999,879","6,343",158
Altnagelvin,130 Ophthalmology,"1,478,203","7,132",207,"997,102","14,803",67
Altnagelvin,140 Oral surgery,"625,425","2,453",255,"548,044","4,168",131
Altnagelvin,143 Orthodontics,"72,770",310,235,"536,399","2,860",188
Altnagelvin,191 Pain management,"198,938",392,507,"86,492",979,88
Altnagelvin,300 General medicine,"1,160,462","3,740",310,"1,654,502","10,947",151
Altnagelvin,303 Haematology,"141,095",186,759,"646,422","3,450",187
Altnagelvin,315 Palliative medicine,"10,911",55,198,"17,567",121,145
Altnagelvin,320 Cardiology,"443,473","1,363",325,"815,811","3,191",256
Altnagelvin,330 Dermatology,"633,284","3,621",175,"426,950","20,384",21
Altnagelvin,360 Genito urinary medicine,"634,882","2,548",249,"162,334","1,066",152
Altnagelvin,361a Nephrology - Other,"62,770",311,202,"252,555","2,658",95
Altnagelvin,400 Neurology,"282,790","1,241",228,"256,904","2,547",101
Altnagelvin,410 Rheumatology,"429,995","1,004",428,"637,559","4,406",145
Altnagelvin,420 Paediatrics,"491,942","1,723",286,"901,465","5,879",153
Altnagelvin,430 Geriatric medicine,"201,996",373,542,"474,638","1,259",377
Altnagelvin,501 Obs & Gyn (Obstetrics),"674,123","2,907",232,"1,135,535","10,229",111
Altnagelvin,502b Gynaecology (Excluding IVF and Other Fertility Treatments),"969,418","6,154",158,"529,074","5,296",100
Altnagelvin,800 Clinical Oncology,"372,359",685,544,"782,274","4,155",188
Altnagelvin,822 Chemical Pathology,"25,901",86,301,"21,413",164,131
Altnagelvin,Nurse clinics,"313,402","1,864",168,"946,016","12,556",75
Altnagelvin,Wards/facilities for treatment of Physical and Sensory Disability,"18,203",61,298,"17,027",127,134
Antrim,100 General Surgery,"2,116,698","8,836",240,"2,069,026","8,637",240
Antrim,120 ENT,"656,928","5,840",112,"926,898","8,240",112
Antrim,143 Orthodontics,"50,264",291,173,"501,256","2,902",173
Antrim,191 Pain management,"35,595",334,107,"67,567",634,107
Antrim,300 General medicine,"606,480","2,201",276,"1,808,694","6,564",276
Antrim,301 Gastroenterology,"326,280","1,891",173,"799,739","4,635",173
Antrim,303 Haematology,"38,898",714,54,"587,230","10,779",54
Antrim,320 Cardiology,"551,892","3,409",162,"646,275","3,992",162
Antrim,330 Dermatology,"530,675","3,981",133,"614,255","4,608",133
Antrim,340 Thoracic medicine,"306,011","1,592",192,"849,026","4,417",192
Antrim,361a Nephrology - Other,"91,130",588,155,"683,012","4,407",155
Antrim,400 Neurology,"96,550",613,158,"156,402",993,158
Antrim,410 Rheumatology,"271,024","1,708",159,"1,302,754","8,210",159
Antrim,420 Paediatrics,"473,928","2,591",183,"1,136,439","6,213",183
Antrim,430 Geriatric medicine,"259,859",669,388,"421,057","1,084",388
Antrim,501 Obs & Gyn (Obstetrics),"396,628","3,227",123,"1,699,834","13,830",123
Antrim,502b Gynaecology (Excluding IVF and Other Fertility Treatments),"881,971","5,066",174,"952,306","5,470",174
Antrim,Nurse clinics, -   , -   , -   ,"333,199","9,718",34
Armagh Community,100 General Surgery,"25,803",214,121,"21,945",182,121
Armagh Community,120 ENT,"46,761",343,136,"45,670",335,136
Armagh Community,130 Ophthalmology,"40,880",390,105,"87,735",837,105
Armagh Community,300 General medicine,"11,060",30,369,"4,055",11,369
Armagh Community,301 Gastroenterology,"28,633",212,135,"27,012",200,135
Armagh Community,302 Endocrinology,"8,511",62,137,"73,715",537,137
Armagh Community,320 Cardiology,"26,162",133,197,"16,720",85,197
Armagh Community,330 Dermatology,"54,779",561,98,"90,615",928,98
Armagh Community,400 Neurology, -   , -   , -   ,"12,242",66,185
Armagh Community,410 Rheumatology,"14,020",75,187,"31,592",169,187
Armagh Community,420 Paediatrics,"14,113",96,147,"36,164",246,147
Armagh Community,501 Obs & Gyn (Obstetrics),"73,759",800,92,"166,419","1,805",92
Armagh Community,502b Gynaecology (Excluding IVF and Other Fertility Treatments),"29,851",297,101,"46,636",464,101
Banbridge,100 General Surgery,"39,507",245,161,"47,892",297,161
Banbridge,101 Urology,"8,047",49,164,"20,034",122,164
Banbridge,120 ENT,"37,304",262,142,"39,297",276,142
Banbridge,301 Gastroenterology,"16,545",80,207,"10,754",52,207
Banbridge,302 Endocrinology,"2,867",15,191,"40,525",212,191
Banbridge,320 Cardiology,"23,490",113,208,"28,895",139,208
Banbridge,400 Neurology,"3,266",14,233,"94,489",405,233
Banbridge,410 Rheumatology,"93,552",520,180,"277,417","1,542",180
Banbridge,420 Paediatrics,"52,740",265,199,"84,981",427,199
Banbridge,501 Obs & Gyn (Obstetrics),"11,592",131,88,"28,317",320,88
Banbridge,502b Gynaecology (Excluding IVF and Other Fertility Treatments),"24,378",243,100,"17,556",175,100
Banbridge,822 Chemical Pathology,"7,277",87,84,"11,124",133,84
Banbridge,Nurse clinics,"3,459",39,89,"32,461",366,89
BCH,100 General Surgery,"2,654,564","12,777",208,"2,591,820","24,950",104
BCH,101 Urology,"1,289,558","3,736",345,"1,265,914","7,335",173
BCH,120 ENT,"255,212","1,889",135,"236,338","2,499",95
BCH,191 Pain management,"400,393","3,842",104,"672,498","6,453",104
BCH,300 General medicine,"581,060","1,904",305,"1,037,608","6,800",153
BCH,302 Endocrinology,"82,564",328,252,"684,554","5,439",126
BCH,303 Haematology,"298,493","1,913",156,"3,389,062","21,720",156
BCH,315 Palliative medicine,"39,902",98,407,"203,172",499,407
BCH,320 Cardiology,"569,740","2,377",240,"843,225","5,277",160
BCH,330 Dermatology,"620,128","4,455",139,"1,907,362","18,270",104
BCH,340 Thoracic medicine,"632,757","2,163",293,"2,227,006","10,381",215
BCH,361a Nephrology - Other,"482,066","1,226",393,"2,474,078","10,382",238
BCH,370a Medical Oncology,"374,472","1,587",236,"3,012,059","12,765",236
BCH,400 Neurology,"523,063","1,829",286,"1,258,746","6,002",210
BCH,410 Rheumatology,"562,253","1,146",491,"544,001","3,696",147
BCH,430 Geriatric medicine,"147,012",244,603,"146,048",606,241
BCH,502b Gynaecology (Excluding IVF and Other Fertility Treatments),"863,406","4,847",178,"1,078,589","7,266",148
BCH,800 Clinical Oncology,"787,871","4,706",167,"5,776,941","34,506",167
Bluestone,710 Mental illness,"71,373",424,168,"688,141","4,088",168
Bluestone,715 Old age psychiatry,"8,856",49,181,"253,935","1,405",181
Causeway,100 General Surgery,"746,845","4,550",164,"866,504","5,279",164
Causeway,101 Urology,"272,928","1,765",155,"655,799","4,241",155
Causeway,191 Pain management,"52,624",376,140,"56,543",404,140
Causeway,300 General medicine,"799,177","3,145",254,"2,259,040","8,890",254
Causeway,330 Dermatology,"142,927","1,096",130,"117,628",902,130
Causeway,420 Paediatrics,"181,019",979,185,"785,649","4,249",185
Causeway,501 Obs & Gyn (Obstetrics),"186,157","1,566",119,"1,019,108","8,573",119
Causeway,502b Gynaecology (Excluding IVF and Other Fertility Treatments),"328,233","1,885",174,"376,467","2,162",174
Causeway,Nurse clinics, -   , -   , -   ,"277,632","5,404",51
CAH,100 General Surgery,"1,624,010","9,736",167,"1,419,841","8,512",167
CAH,101 Urology,"519,487","3,388",153,"712,684","4,648",153
CAH,110 T & O surgery,"780,587","7,043",111,"1,532,579","13,828",111
CAH,120 ENT,"760,617","5,257",145,"1,061,710","7,338",145
CAH,130 Ophthalmology,"71,630",644,111,"164,281","1,477",111
