id,happy1,happy2,work1,work2,work3,work4,work6,work7,work5,work8_1,work8_2,work8_3,work8_4,work8_5,work8_6,work8_7,work8open,work8_8,work8_9,work8_10,work9,work10,work11,work12,work13,work14,work15,conf1,conf2,conf3,conf4,conf5,conf6,conf7open,conf8,conf9,conf10,conf11,inc1,inc2,inc3,inc4,inc5,inc6,inc7,inc8,inc9,inc10,inc11,inc12,inc13,inc14,inc15,inc16,inc17,inc18,inc19,inc20,liv1,liv1open,liv2,liv3,liv4_1,liv4_2,liv4_3,liv4_4,liv4_5,liv4_6,liv4_7,liv4_8,liv5,liv6,liv7,liv7open,liv8,liv8open,liv8a,liv9,liv9a,liv9b,liv10,liv11,liv12,liv13open,liv14,liv14open,liv14a,liv15,liv15open,liv15a,liv16_1,liv16_2,liv16_3,liv16_4,liv16_5,liv16_6,liv16_7,liv16_8,liv16open,liv16_9,liv16_10,liv17,liv18open,liv19,liv20,liv21,liv22,liv23,liv23open,liv24_1,liv24_2,liv24_3,liv24_4,liv24_5,liv24_6,liv24_7,liv24_8,liv24open,liv24_9,liv24_10,liv26,liv26a,liv27,neigh1,neigh2,neigh3,neigh4,neigh5,neigh6,neigh7,neigh8,neigh9,neigh10,neigh11,neigh12,neigh13,neigh14,trans1,trans1a,trans2_1,trans2_2,trans2_3,trans2_4,trans2_5,trans2_6,trans2_7,trans2_8,trans2open,trans2_9,trans210,trans3,trans4,trans5open,trans6,trans7,health1,health2,health3,health4,health5,health6,health7,health8,health9,health10,health11,health12,health13,health14,health15,health16,health17,health18open,health19,fs1,fs2_1,fs2_2,fs2_3,fs2_4,fs2_5,fs2_6,fs2_7,fs3,fs4,fs5_1,fs5_2,fs5_3,fs5_4,fs5_5,fs5_6,fs5_7,fs6,fs7,fs8,fs9,fs10,fs11,beh1,beh2,beh3,beh4,beh4open,beh5,beh6,beh7,beh7open,beh8,beh9,beh10,beh11,beh11open,beh12,beh13,beh14,beh15,beh16,beh17,beh18,beh19a,beh19b,beh20,bmi,beh21,beh22,beh23,cog1,cog2,cog3,anxdep1,anxdep2,anxdep3,anxdep4,anxdep5,anxdep6,anxdep7,anxdep8,anxdep9,anxdep10,socsup1,socsup2,socsup3,socsup4,socsup5,socsup6,socsup7,socsup8,socsup9,socsup10,socsup11,socsup12,cg1,cg2,cg2open,cg3,cg4,cg5,cg6,cg7,cg7open,cg8,cg9,cg10,cg11_1,cg11_2,cg11_3,cg11_4,cg11_5,cg11_6,cg11_7,cg11_8,cg11_9,cg11_10,cg11_11,cg11_12,cg11_13,cg11_14,cg11_15,cg11_16,cg11_17,cg11open,cg11_19,cg11_20,cg11_21,cg12Open,cg13,vol1,vol2_1,vol2_2,vol2_3,vol2_4,vol2_5,vol2_6,vol2_7,vol2_8,vol2open,vol2_9,vol2_10,vol3,vol4,vol5,vol6a,vol6b,vol6c,vol6d,vol6e,vol6f,vol6g,vol6h,vol6i,vol6j,vol6k,vol6l,vol7open,vol8a,vol8b,vol8c,vol8d,vol8e,vol8f,vol8g,vol8h,vol8i,vol8j,vol8k,vol8l,vol9,vol10open,vol11,serv1,serv2,serv3,serv4,serv5,serv6,serv7,serv8,serv9,serv10,serv11,serv11a,serv12,serv13,serv14open,serv15,relig1,relig1open,relig2,relig3,net1,net2,net3,net4,sex,age,age65,marstat,boomer,hisp,race_1,race_2,race_3,race_4,race_5,race_6,race_7,educ,income,vet,PCS8,MCS8,PHQ8,PHQ2,confidence,tractce10,geoid10,namelsad10,zipcodeOpen,phoneType,stratum,finalweight
100072,8,8,2, , , , , , ,0,0,0,1,0,0,0, ,0,0,0, , , , , ,1,45,3,3,3,2,3,3,Haven't even thought of it.,3,3,1,3,1,3,3,3,3,1,3,3,2, ,888, , , ,2,2,2,2,2,2,1, , , , , , , , , , , , ,4,2, ,1, , ,3,1,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , ,1,3,1,5,2,3,3,4,3,1,4,4,1,1,1,1,5,1,0,0,0,0,0,0,0, ,0,0,1, , ,2,2,4,3,4,5,4,4,3,3,4,1,2,2,2,1,2,2,2, ,2,2, , , , , , , , ,2, , , , , , , , ,3,3,2,2,2,1,2,1,1, , , , , ,1,1,1,5,5 Back surgery,2,1,2,1,1,1,2,5,1,142,26.8277344799785,1,2,2,3,2,3,4,2,3,3,4,2,3,2,2,2,2,1,1,2,2,2,2,4,2,2,1,5,2, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,2,2,2,2,Organization center sends out flyers,1,1,1,1,1,1,1,1,1,1,1,1,2,"Where the kids get to go to different places, like a bigger community center, a reach out center for troubled kids, stuff like that.  More big brother & sister type things like that.  Basketball players and football players visit the kids to make them feel better about themselves.",1,2,2, , , , , , , , , ,2, ,2, , ,4,6 Hebrew/israelite,5,3,1,4,1,1,2,56, ,3,1,2,0,0,0,1,0,0,0,3,1,2,28.4928582,37.7683202,15,4,2,130100,42003130100,Census Tract 1301,15208,1,1,1.29250574111938
100312,5,5,2, , , , , , ,0,1,0,0,0,0,0, ,0,0,0, , , ,62,1, , ,2,2,2,3,3,3,home equity,2,4,1,3,2,1,3,1,2,2,2,3,2, ,62,2, ,62,2,2,2,2,1,1,2, ,2,0,1,0,0,0,0,0,0,0, ,2,1, ,1, , ,3,2,2,3,2,2,West Virginia northern pandhand,3, ,2, , , ,0,0,0,0,0,0,0,1,"8 Both parents past away.  These were our family homes that I grew up in. And, I moved back because I inherited the homes.",0,0,2, ,1,3,1,2, , ,0,0,0,0,0,0,0,1,8 Rural Living.,0,0,2,2,3,4,2,5,3,1,2,4,3,2,2,3,3,2,3,1,4,1,0,0,0,0,0,0,0, ,0,0,1, , ,3,1,2,3,2,4,3,2,3,3,3,1,2,1,2,1,2,2,1,Knees.  Orthopedic.,3,2, , , , , , , , ,2, , , , , , , , ,1,2,2,2,2,2,2,2, , ,2,1,3, ,2,2, , , ,2,2,1,1,4,5,1,5,8,200,30.4065743944637,2,2,2,2,2,3,1,1,1,1,1,1,1,1,2,2,4,2,2,2,2,2,2,2,2,1,1,4,2, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , ,1,40,2,1,2,1,2,2,2,1,2,1,2,2,"word of mouth, advertisements local",1,2,2,3,2,2,2,4,4,2,2,2,1, ,1,2,2, , , , , , , , , ,2, ,1,Unemployment,1,3, ,4,3,1,4,1,1,1,58, ,1,1,2,1,0,0,0,0,0,0,7,1,2,44.6959456,41.5605832,0,0,2,499400,42003499400,Census Tract 4994,15045,1,1,3.03326654434204
100329,10,10,2, , , , , , ,1,0,0,1,0,0,0, ,0,0,0,55,3,2, , , , ,2,2,4,2,2,2,"I don't know, out of pocket?",3,2,2,3,1,3,3,3,3,3,3,3,1,55, , , , ,2,2,2,2,2,2,1, , , , , , , , , , , , ,1,2, ,3, ,2,4,2,2,2,1, , , , , , , , ,0,0,0,0,0,1,1,0, ,0,0,2, ,2, , , , , , , , , , , , , , , , , , ,4,3,1,3,2,2,1,3,3,5,3,3,3,3,3,1,1,0,1,0,0,0,0,0,0, ,0,0,5,1, , , ,2,1,1,2,3,3,3,3,3,2,1,1,1,2,2,2,2, ,3,2, , , , , , , , ,2, , , , , , , , ,3,3,2,2,1,2,2,1,2,2 VA,1, , , ,1,2, , , ,2,1,3,1,10,3,2,5,8,190,28.8862456747405,1,1,2,3,1,2,1,1,3,3,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,3,2, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1,2, , , , , , , , , ,2, ,2, , ,2, ,3,2,1,3,2,2,1,59, ,5,1,2,0,0,0,1,0,0,0,4,1,1,56.8499156,35.412685,4,0,2,523200,42003523200,Census Tract 5232,15235,1,1,1.42530107498169
100497,8,7,1,40, , ,62,2, , , , , , , , , , , , , , , , , , , ,2,1,2,1,2,3,Insurance and savings,1,2,2,2,1,2,1,3,2,3,3,3,2, ,62,2, ,62,2,1,2,2,2,2,2, ,2,0,1,0,0,0,0,0,0,0, ,5,1, ,1, , ,3,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , ,2,2,1,2,1,1,1,1,1,1,2,2,3,3,2,1,5,1,0,0,0,0,0,0,0, ,0,0,2,1, , , ,2,1,1,4,3,1,2,1,3,2,2,1,1,1,2,2,1,High cholesterol,3,2, , , , , , , , ,2, , , , , , , , ,2,2,2,2,2,1,2,1,1, , , , , ,1,2, , , ,2,2,3,1,2,2,2,5,8,180,27.3659169550173,2,2,2,2,3,5,1,2,3,3,2,1,1,1,2,2,6,20,1,1,1,1,3,3,3,1,1,5,2, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,0,0,1,0,0,0,1,8 Athletic Organization,0,0,100,1,10,1,1,2,2,1,2,1,1,2,1,1,2,"I'm the president of the town council association, so things go through me.  People approach me with things to distribute",1,1,1,2,1,1,1,2,1,1,1,1,1, ,1,1,2, , , , , , , , , ,2, ,2, , ,6,6 Non-denominational,4,3,1,5,1,2,1,56, ,1,1,2,1,0,0,0,0,0,0,3,3,2,50.6709608,50.1388427,6,1,2,464300,42003464300,Census Tract 4643,15205,1,1,5.00000143051147
100910,8,8,1,16,2,1,70,1,1, , , , , , , , , , , , , , , , , , ,1,1,2,2,2,3,Insurance,1,3,3,2,1,2,2,2,2,3,2,3,1,59, , , , ,2,2,2,2,2,2,1, , , , , , , , , , , , ,4,1, ,1, , ,2,2,2,1, , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,3,3,2,2,3,8,3,1,5,1,0,0,0,0,0,0,0, ,0,0,1, , ,4,1,2,1,1,1,2,1,1,1,3,1,2,2,2,2,2,2,2, ,1,2, , , , , , , , ,2, , , , , , , , ,3,2,2,1,1,1,2,1,1, , , , , ,1,1,1,5,5 Esechmic colitous,2,3,3,1,3,1,2,5,2,169,30.9071279916753,1,1,2,3,2,4,1,1,1,1,1,1,1,1,2,1,3,5,1,1,1,1,1,1,1,1,1,5,2, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,0,0,1,0,0,0,0,0, ,0,0,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,Just through church; word of mouth.,2,2,2,1,2,1,1,1,1,1,2,1,1, ,1,1,2, , , , , , , , , ,2, ,2, , ,2, ,2,1,1,4,2,2,2,66, ,4,0,2,1,0,0,0,0,0,0,5,1,2,56.6760612,57.4803451,0,0,2,412002,42003412002,Census Tract 4120.02,15237,1,1,.914020121097565
100964,9,9,2, , , , , , ,1,0,0,0,0,0,0, ,0,0,0,60,3,2, , , , ,1,1,1,2,2,1,"I would like to think I planned accordingly, and if something should occur I would hope that I what I do have will take care of my needs.",1,2,3,3,2,1,1,2,2,2,3,3,1,62, , , , ,2,1,2,1,2,2,2, ,2,0,0,0,0,0,1,0,0,0, ,5,1, ,1, , ,2,1,2,1, , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , ,2,2,2,3,1,1,1,1,1,3,1,1,3,9,2,1,5,1,0,0,0,0,0,0,0, ,0,0,1, , ,2,2,1,1,1,3,2,1,2,1,3,1,2,2,2,1,2,2,2, ,2,2, , , , , , , , ,2, , , , , , , , ,8,3,1,2,1,1,2,1,1, , , , , ,1,2, , , ,2,1,3,1,1,1,1,5,2,128,23.4089490114464,1,2,1,2,2,4,1,1,1,1,3,1,1,1,2,2,20,30,1,1,1,1,2,1,1,1,1,4,2, , , , , ,1,2, ,2,2,2,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0, ,0,0,0,"My main concern is that my father will have to come and live with me, because at some point he is going to need more care and he won't be able to do it alone.", ,1,1,0,1,1,1,0,0,0, ,0,0,40,1,6,2,1,1,1,1,2,1,1,2,1,2,2,"Through my church and people in my neighborhood, and I volunteer at a school that I was associated with, or someone might call me for transportation.",1,2,1,4,2,1,1,2,1,2,1,1,1, ,1,1,2, , , , , , , , , ,1,2,2, , ,3, ,1,1,1,4,2,1,2,67, ,3,0,2,1,0,0,0,0,0,0,7,9,2,55.6543346,52.8764011,2,0,2,503002,42003503002,Census Tract 5030.02,15132,1,1,2.56706809997559
101094,8,9,1,0,1,2,70,1,2, , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,"Diversified investments, if we don't take dividends out of the investment account, and savings",3,3,2,1,2,1,2,3,1,3,3,3,2, ,65,2, ,65,2,2,2,2,2,2,2, ,1,1,1,1,0,0,0,0,0,0, ,1,1, ,1, , ,1,2,2,1,1, , , , , , , , ,1,1,0,1,1,1,1,1,"8 Close to where his grandparents used to live, where he spent time in his youth and closer to church",0,0,2, ,2, , , , , , , , , , , , , , , , , , ,1,2,1,2,1,1,1,1,2,2,1,1,4,4,1,1,5,1,1,0,0,0,0,0,0, ,0,0,2,3,"Even from when I was here in the 60s and 70s, it was so much better. It is a shadow of its former self. It takes too long and costs more than it should. There used to be more routes and more stop times. They severely cut those and continue to cut them.", , ,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,2, ,2,2, , , , , , , , ,2, , , , , , , , ,3,3,1,1,1,1,8,1,1, , , , , ,1,2, , , ,2,1,3,1,2,1,1,6,1,215,28.3627322199287,1,1,8,1,1,5,1,1,1,1,1,1,1,1,2,2,9,8,1,1,1,1,1,1,1,2,1,5,2, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,0,0,1,1,0,0,0,1,8 Choir at the University of Pittsburgh,0,0,30,2, ,2,2,1,2,1,2,1,1,2,2,1,1,Through organizations I belong to or public notice.,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,2, , , , , , , , , ,2, ,2, , ,6,6 Christianity,2,1,1,5,1,1,1,55, ,1,1,2,1,0,0,0,0,0,0,7,2,1,56.1204226,59.5022474,0,0,2,140600,42003140600,Census Tract 1406,15221,1,1,4.30192518234253
101305,10,10,2, , , , , , ,1,0,0,0,0,0,0, ,0,0,0,63,3,2, , , , ,1,1,2,1,2,2,I would say own personal assets and uh government health,1,1,3,2,1,1,1,1,1,3,3,3,1,63, ,1,64, ,2,1,2,2,1,1,2, ,2,0,1,0,0,0,0,0,0,0, ,5,1, ,1, , ,2,1,2,1, , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , ,2,2,1,1,1,1,1,2,1,2,1,1,4,4,1,1,5,1,0,0,0,0,0,0,0, ,0,0,1, , ,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2, ,2,2, , , , , , , , ,2, , , , , , , , ,4,3,2,2,2,1,2,1,1, , , , , ,1,2, , , ,2,1,3,2, , ,1,5,3.5,145,25.2799305598611,1,1,1,2,2,4,1,1,1,1,2,1,1,1,2,2,8,3,1,1,1,1,1,1,1,1,1,5,1,4, ,1,1,2,2, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,"Well the thing is, not really concerned to me, we had good support from nurses and all like changing bandages", ,1,1,0,1,0,0,0,0,0, ,0,0,8,1,2,2,2,1,1,1,2,1,1,2,2,2,2,"Well for example the march of dimes called me, so I've been sought out",1,1,1,2,2,1,1,2,1,1,1,1,2,Well I'd like to see youth programs that would be helping generational opportunities.,1,1,1,2,2,2,1,2,2,2,2,2, ,1,2, , ,2,6 united methodist - christian,2,1,1,3,2,1,2,67, ,1,0,2,0,0,0,1,0,0,0,7,3,2,57.5833762,52.7340035,1,0,2,521100,42003521100,Census Tract 5211,15146,1,1,1.41852223873138
101312,5,7,2, , , , , , ,1,0,0,0,0,0,0, ,0,0,0,58,1,2, , , , ,1,1,1,1,1,1,Health Care Insurance and I have a 401K income.,1,3,2,2,3,3,1,1,3,3,3,3,2, ,888, , , ,2,1,2,2,2,2,1, , , , , , , , , , , , ,5,1, ,1, , ,3,1,2,1, , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , , , , , , , , , , ,3,3,1,3,1,1,1,1,1,2,1,1,3,3,2,1,5,1,0,0,0,0,0,0,0, ,0,0,1, , ,3,1,2,2,1,2,1,2,3,3,3,1,2,2,2,1,2,2,2, ,3,2, , , , , , , , ,2, , , , , , , , ,2,4,2,1,1,1,2,1,1, , , , , ,1,2, , , ,2,1,3,1,5,2,2,5,4.5,137,23.1502914488312,2,2,1,2,2,5,1,2,2,1,2,2,2,1,2,1,8,4,2,1,2,1,3,1,2,3,3,5,1,1, ,1,5,3,1,1, ,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,"I don't have a problem, but convincing her that she has money to go to the doctor and she is very stubborn.", ,1,0,0,1,0,0,0,0,1,8 Passing out pamphlets for politican candidates.,0,0,10,2, ,2,2,2,1,2,2,2,2,1,2,2,1,Internet,2,4,1,3,1,1,1,1,1,2,2,2,1, ,1,1,2, , , , , , , , , ,2, ,2, , ,3, ,2,2,1,4,1,2,2,61, ,4,1,2,1,0,0,0,0,0,0,3,2,2,56.9339974,42.7248431,5,1,2,521100,42003521100,Census Tract 5211,15146,1,1,3.27334403991699
101331,10,10,1,40, , ,65,1, , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,"Probably savings if I will have any. And maybe insurance, I'll go with insurance.",3,4,2,1,1,3,2,3,3,3,2,1,2, ,65, , , ,1,2,2,1,2,2,1, , , , , , , , , , , , ,2,2, ,3, ,1,4,2,2,3,1, , , , , , , , ,1,1,0,1,1,1,1,0, ,0,0,2, ,1,3,2, , , ,1,1,1,1,1,1,1,0, ,0,0,2,2,3,4,2,4,1,2,2,4,3,4,2,4,1,1,4,2, ,0,1,0,0,0,0,0,0, ,0,0,5,3,"Well basically because the hours are cut that I use to get home at night, I work night shift.", , ,3,4,4,5,4,2,1,2,4,2,2,2,2,1,1,2,2, ,2,2, , , , , , , , ,2, , , , , , , , ,2,2,2,1,2,2,2,1,1, , , , , ,2,2, , , ,2,2,1,2, , ,2,5,1,155,29.2837946788498,1,1,2,3,3,1,1,1,4,4,3,1,4,1,2,2,8,2,1,2,1,2,4,2,2,2,2,4,2, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,2,2, , , , , , , , , ,2, ,2, , ,2, ,4,1,1,5,2,1,2,56, ,5,1,2,0,0,0,1,0,0,0,3,2,2,23.1730766,58.0173481,11,0,2,478100,42003478100,Census Tract 4781,15227,1,1,2.33615279197693
