Area_SqKM,OBJECTID,LGDName,LGD_ID
8e-06,1,NORTH DOWN,24
0.175069,2,ARDS,2
1e-05,3,DOWN,13
5e-06,4,NORTH DOWN,24
378.423838,5,CRAIGAVON,12
7.5e-05,6,NORTH DOWN,24
418.197051,7,BALLYMONEY,5
5.8e-05,8,NEWRY and MOURNE,22
0.011626,9,ARDS,2
902.429031,10,NEWRY and MOURNE,22
0.000406,11,LARNE,16
0.000103,12,NORTH DOWN,24
585.952689,13,LIMAVADY,17
2e-05,14,NORTH DOWN,24
0.004877,15,MOYLE,21
1130.445933,16,OMAGH,25
446.836803,17,LISBURN,18
3.3e-05,18,NORTH DOWN,24
1e-06,19,ARDS,2
0.081778,20,ARDS,2
3.4e-05,21,NORTH DOWN,24
861.647667,22,STRABANE,26
2.6e-05,23,DOWN,13
7e-06,24,NORTH DOWN,24
0.00017,25,MOYLE,21
1.253116,26,ARDS,2
1875.808601,27,FERMANAGH,15
689.544945,28,DOWN,13
483.772206,29,ARDS,2
0.000182,30,DOWN,13
783.599766,31,DUNGANNON,14
572.804154,32,MAGHERAFELT,20
3.8e-05,33,DOWN,13
347.729635,34,LARNE,16
0.000153,35,NORTH DOWN,24
3.2e-05,36,NORTH DOWN,24
150.563791,37,NEWTOWNABBEY,23
114.877454,38,BELFAST,7
479.769838,39,MOYLE,21
7.4e-05,40,MOYLE,21
0.004198,41,NEWRY and MOURNE,22
3.1e-05,42,NORTH DOWN,24
452.634891,43,BANBRIDGE,6
6.7e-05,44,DOWN,13
0.000176,45,DOWN,13
1e-06,46,ARDS,2
576.859407,47,ANTRIM,1
85.136012,48,CASTLEREAGH,9
387.344752,49,DERRY,19
1.5e-05,50,LARNE,16
0.00213,51,MOYLE,21
0.009437,52,ARDS,2
14.411805,53,MOYLE,21
1.6e-05,54,DOWN,13
81.500738,55,NORTH DOWN,24
485.503447,56,COLERAINE,10
3e-05,57,ARDS,2
2.2e-05,58,NORTH DOWN,24
622.436813,59,COOKSTOWN,11
0.013904,60,ARDS,2
0.000401,61,NORTH DOWN,24
1e-06,62,ARDS,2
6.8e-05,63,NORTH DOWN,24
0.006032,64,ARDS,2
670.596818,65,ARMAGH,3
81.887077,66,CARRICKFERGUS,8
632.021397,67,BALLYMENA,4
0.000413,68,NORTH DOWN,24
