Disease,Week 2,Week 1,Week 52,Week 51,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,2,0,3,3,5,2,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,0,0,0,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,46,0,22,21,46,11,59,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,2,0,0,3,2,0,0,, ,,,,,,
Food Poisoning,29,23,20,19,52,30,29,, ,,,,,,
Gastroenteritis (< 2years),4,7,6,7,11,14,14,,, ,,,,,
Hepatitis A,0,0,0,0,0,0,0,,,, , ,,,
Hepatitis B,1,2,2,1,2,5,3,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,0,0,, , , , ,,,
Malaria,0,0,0,0,0,0,0,,, ,,, ,,
Measles,2,0,0,0,2,2,6,, , , , ,,,
Meningococcal Septicaemia,1,0,0,0,1,0,3,,, , , , ,,
Mumps,5,3,1,5,8,0,63,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,,, ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,,, ,,,,,
Rubella,0,1,1,2,1,0,0,,, ,,,,,
Scarlet Fever,4,8,1,7,12,3,8,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,0,0,0,, ,,,,,,
Tuberculosis (Pulmonary),0,0,0,1,0,1,0,, , ,,,,,
Tuberculosis (Non Pulmonary),0,2,0,1,2,1,1,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,1,0,1,2,1,0,6,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,96,48,54,72,143,72,194,, , ,,,,,
,,,,,,,,,,,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,,,,,,,,,
,,, ,,,,,,,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
