HRG Code,HRG Label,Altnagelvin,Antrim,Banbridge,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Whiteabbey,Northern Ireland Total
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",.,.,.,1,.,4,.,.,.,.,.,.,51,.,.,.,1,.,57
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,.,3,.,.,.,.,.,.,.,.,.,.,1,.,6,.,10
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,2
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,.,17,.,.,.,.,.,.,.,.,1,.,.,.,.,.,18
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,.,.,.,1,.,.,1,.,1,.,.,.,.,.,.,.,3
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",1,.,.,.,.,83,.,.,52,.,1,.,34,.,.,.,31,.,202
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",.,.,.,.,.,2,1,.,.,.,.,.,.,.,.,.,.,.,3
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",.,.,4,1,.,10,2,.,.,.,.,.,.,1,.,.,3,.,21
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",13,2,48,50,2,99,5,.,.,2,5,.,75,15,.,.,74,.,390
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA29F,Transient Ischaemic Attack with CC Score 0-4,1,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,3
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,.,.,7,.,.,.,.,.,1,.,.,.,1,.,9
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",13,.,.,2,.,52,61,.,.,.,.,1,"1,816",.,.,.,.,.,"1,945"
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",.,.,.,1,1,198,2,.,.,.,.,.,5,.,.,.,18,.,225
AA35B,Stroke with CC Score 13-15,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA35D,Stroke with CC Score 7-9,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA35E,Stroke with CC Score 4-6,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA35F,Stroke with CC Score 0-3,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,1
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA54C,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",1,.,.,1,1,.,.,.,.,.,.,.,.,1,.,.,1,.,5
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA55B,"Minor Intracranial Procedures, 19 years and over, with CC Score 2-3",2,.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,1,.,12
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",2,.,.,.,20,.,.,.,.,.,.,.,1,24,.,.,4,.,51
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,.,4
AA57A,"Minimal Intracranial Procedures, 19 years and over",1,.,.,14,23,.,.,.,.,.,.,.,69,39,.,.,2,.,148
AA57B,"Minimal Intracranial Procedures, 18 years and under",.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,2
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,.,2,6,.,.,.,.,.,.,.,.,.,.,.,.,.,8
AA80Z,Complex Long Term EEG Monitoring,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA81Z,Standard Long Term EEG Monitoring,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB12Z,Insertion of Neurostimulator for Pain Management,.,.,.,8,21,.,.,.,.,.,.,.,1,5,.,.,.,.,35
AB13Z,Insertion of Intrathecal Drug Delivery Device for Pain Management,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management,.,.,.,6,.,.,.,.,.,.,.,.,.,8,.,.,.,.,14
AB15Z,"Radiofrequency Ablation or Cryoablation, for Pain Management",48,.,.,109,32,.,.,.,.,.,17,21,.,65,.,8,11,.,311
AB16Z,"Denervation or Injection Around Spinal Facet, for Pain Management",180,.,.,402,10,.,.,.,249,.,23,83,1,293,.,192,11,.,"1,444"
AB17Z,"Nerve Block or Destruction of Nerve, for Pain Management",21,.,.,36,7,71,.,4,7,.,8,33,2,24,.,18,100,.,331
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management,34,.,.,6,.,11,.,.,9,.,.,25,222,34,.,6,146,.,493
AB19Z,Injection of Therapeutic Substance into Joint for Pain Management,25,.,54,24,.,155,.,2,219,1,.,35,7,21,.,14,7,.,564
AB20Z,Epidural Under Image Control for Pain Management,2,.,.,39,.,.,.,.,152,.,.,18,4,155,.,.,1,.,371
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management",42,.,.,195,1,3,.,.,36,.,3,50,11,4,.,77,303,.,725
AB22Z,Trigger Point Injection for Pain Management,8,.,23,10,1,43,.,.,21,.,2,9,1,11,.,3,119,.,251
BZ24E,"Non-Surgical Ophthalmology without Interventions, with CC Score 5+",1,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,5
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",2,.,.,.,.,.,.,.,.,.,.,.,102,.,.,.,.,.,104
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",6,2,.,1,.,.,2,.,.,.,4,.,542,1,.,.,.,.,558
BZ30A,"Complex, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,2
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",2,.,.,.,.,.,.,.,.,1,1,.,19,.,.,.,.,.,23
