INDICATOR NUMBER,INDICATOR DESCRIPTION,NAME,DEPT,NOTES
1,Reduce crime ,David Lavery ,DoJ,Indicators 1  38  39 : Grouped to Develop Action Plan
38,Increase the effectiveness of the justice system,David Lavery ,DoJ,Indicators 1  38  39 : Grouped to Develop Action Plan
39,Reduce reoffending,David Lavery ,DoJ,Indicators 1  38  39 : Grouped to Develop Action Plan
2,Reduce health inequality ,Dr Anne Kilgallen ,DoH,Indicators 2  3  4  7 : Grouped to Develop Action Plan
3,Increase healthy life expectancy ,Dr Anne Kilgallen ,DoH,Indicators 2  3  4  7 : Grouped to Develop Action Plan
4,Reduce preventable deaths ,Dr Anne Kilgallen ,DoH,Indicators 2  3  4  7 : Grouped to Develop Action Plan
7,Improve health in pregnancy,Dr Anne Kilgallen ,DoH,Indicators 2  3  4  7 : Grouped to Develop Action Plan
6,Improve mental health,Chris Matthews ,DoH,Indicators 6  9 : Grouped to Develop Action Plan
9,Improve support for adults with care needs,Chris Matthews ,DoH,Indicators 6  9 : Grouped to Develop Action Plan
5,Improve the quality of the healthcare experience,Charlotte McArdle ,DoH,-
10,Improve support for looked after children,Eilis McDaniel          ,DoH,-
11,Improve educational outcomes,Dr David Hughes ,DE,Indicators 11  12  13 : Grouped to Develop Action Plan
12,Reduce educational inequality,Dr David Hughes ,DE,Indicators 11  12  13 : Grouped to Develop Action Plan
13,Improve the quality of education,Dr David Hughes ,DE,Indicators 11  12  13 : Grouped to Develop Action Plan
15,Improve child development ,Cathy Galway ,DE,-
19,Reduce poverty,Denis McMahon,DfC,Indicators 19  28 : Grouped to Develop Action Plan
28,Increase the confidence and capability of people and communities,Denis McMahon,DfC,Indicators 19  28 : Grouped to Develop Action Plan
17,Reduce economic inactivity,Tommy O'Reilly,DfC,Indicators 17  32  33 : Grouped to Develop Action Plan
32,Increase economic opportunities for our most deprived communities,Tommy O'Reilly,DfC,Indicators 17  32  33 : Grouped to Develop Action Plan
33,Reduce underemployment,Tommy O'Reilly,DfC,Indicators 17  32  33 : Grouped to Develop Action Plan
8,Improve the supply of suitable housing,Tracy Meharg,DfC,-
27,Improve cultural participation,Ian Maye,DfC,-
42,Increase quality of life for people with disabilities,Andrew Hamilton,DfC,-
20,Increase the size of the economy ,Andrew McCormick,DfE,Overarching indicator 
14,Improve the skills profile of the population,Derek Baker,DfE,Indicators 14  16  18  21  22  34  41 : Grouped to Develop Action Plan linked to Economic Strategy Refocus
16,Increase the proportion of people in work ,Derek Baker,DfE,Indicators 14  16  18  21  22  34  41 : Grouped to Develop Action Plan linked to Economic Strategy Refocus
18,Increase the proportion of people working in good jobs,Derek Baker,DfE,Indicators 14  16  18  21  22  34  41 : Grouped to Develop Action Plan linked to Economic Strategy Refocus
21,Increase the competitiveness of the economy,Derek Baker,DfE,Indicators 14  16  18  21  22  34  41 : Grouped to Develop Action Plan linked to Economic Strategy Refocus
22,Increase innovation in our economy,Derek Baker,DfE,Indicators 14  16  18  21  22  34  41 : Grouped to Develop Action Plan linked to Economic Strategy Refocus
34,Improve regional balance of economic prosperity through increased employment,Derek Baker,DfE,Indicators 14  16  18  21  22  34  41 : Grouped to Develop Action Plan linked to Economic Strategy Refocus
41,Increase the proportion of graduates moving into employment or on to further study,Derek Baker,DfE,Indicators 14  16  18  21  22  34  41 : Grouped to Develop Action Plan linked to Economic Strategy Refocus
24,Improve internet connectivity,June Ingram,DfE,-
23,"Improve transport connections for people, goods and services",John McGrath,DfI,Indicators 23  25 : Grouped to Develop Action Plan
25,Increase the use of public transport and active travel ,John McGrath,DfI,Indicators 23  25 : Grouped to Develop Action Plan
29,Increase environmental sustainability ,David Small,DAERA,Indicators 29  36  37 : Grouped to Develop Action Plan
36,Increase household waste recycling,David Small,DAERA,Indicators 29  36  37 : Grouped to Develop Action Plan
37,Improve air quality,David Small,DAERA,Indicators 29  36  37 : Grouped to Develop Action Plan
26,Increase respect for each other,Mark Browne,TEO,Indicators 26  31  35 : Grouped to Develop Action Plan
31,Increase shared space,Mark Browne,TEO,Indicators 26  31  35 : Grouped to Develop Action Plan
35,Increase reconciliation,Mark Browne,TEO,Indicators 26  31  35 : Grouped to Develop Action Plan
30,Improve our attractiveness as a destination ,Stephen Grimason  ,TEO,Indicators 30  40 : Grouped to Develop Action Plan
40,Improve our international reputation,Stephen Grimason  ,TEO,Indicators 30  40 : Grouped to Develop Action Plan
