Current weekly total of notifications of infectious diseases in the past 4 weeks along with the cumulative total for the current year compared with corresponding periods ,,,,,,,,,,,,,,,
of the two preceding years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Notifications of Infectious Diseases, Week 31 2016*, Northern Ireland",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Weekly Totals,,,,Cumulative Totals,,,, ,,,,,,
Disease,Week 31,Week 30,Week 29,Week 28,2016,2015,2014,,,,,,,,
,,,,,Weeks ,Weeks ,Weeks ,, ,,,,,,
,,,,,01 to 31,01 to 31,01 to 31,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,1,0,0,31,30,40,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,2,4,4,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,28,37,27,17,1180,1132,1337,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,1,0,0,11,24,11,, ,,,,,,
Food Poisoning,50,45,50,43,1223,1092,1084,, , ,,,,,
Gastroenteritis (< 2years),3,0,2,1,142,238,305,, , ,,,,,
Hepatitis A,0,0,0,0,8,7,2,, , , , ,,,
Hepatitis B,0,3,0,0,33,45,70,, , , , , ,,
Hepatitis Unspecified,3,1,0,0,8,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,2,0,2,5,3,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,2,0,, , , , ,,,
Malaria,0,0,0,0,1,2,5,,, ,,, ,,
Measles,0,3,0,0,14,14,11,, , , , ,,,
Meningococcal Septicaemia,0,0,0,1,12,9,15,,, , , , ,,
Mumps,1,1,7,0,285,186,39,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,1,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,5,6,,, ,,,,,
Scarlet Fever,3,2,4,19,354,296,517,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),2,1,1,1,31,25,45,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,2,2,25,19,23,, , ,,,,,
Typhoid,0,0,0,0,1,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , , ,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,2,4,5,5,71,53,19,, , , ,,,,
Yellow Fever,0,0,0,0,2,0,0,, , ,,,,,
Total,92,100,100,89,3437,3190,3536,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
