HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Total
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",1,.,.,.,1,.,.,.,.,.,.,.,1,.,.,.,.,3
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",.,.,.,.,1,.,.,.,.,.,.,.,4,.,.,.,.,5
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",1,.,.,.,2,.,.,.,.,.,.,.,10,.,.,.,.,13
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,.,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",.,.,.,1,.,.,.,.,.,.,.,.,1,.,.,.,.,2
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",.,.,3,.,.,.,.,.,.,.,.,.,7,.,.,.,.,10
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",.,.,4,.,1,.,.,.,.,.,.,.,8,.,.,.,.,13
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",.,.,24,.,1,.,.,.,.,.,.,.,11,.,1,.,3,40
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,2
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,2,5
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",.,.,2,.,1,.,.,.,.,.,.,.,11,.,.,.,.,14
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",3,.,.,.,1,.,.,1,.,.,.,.,52,.,1,.,1,59
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,1
AA26E,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 9-11",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2
AA26F,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 6-8",1,1,1,.,.,.,.,1,.,.,.,.,9,.,.,.,.,13
AA26G,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 3-5",5,4,9,.,.,.,.,.,.,.,.,.,25,.,1,.,2,46
AA26H,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 0-2",9,3,3,1,1,.,.,4,.,.,.,.,58,.,.,.,1,80
AA27Z,Medical Care of Patients with Alzheimer's Disease,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA28C,Motor Neuron Disease with CC Score 8+,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA28D,Motor Neuron Disease with CC Score 5-7,3,.,1,.,.,.,.,.,.,.,.,.,2,.,.,.,.,6
AA28E,Motor Neuron Disease with CC Score 2-4,.,.,3,.,.,.,.,.,.,.,.,.,10,.,.,.,.,13
AA28F,Motor Neuron Disease with CC Score 0-1,.,.,2,.,.,.,.,.,.,.,.,.,19,.,.,.,.,21
AA29D,Transient Ischaemic Attack with CC Score 8-10,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
AA29E,Transient Ischaemic Attack with CC Score 5-7,1,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,4
AA29F,Transient Ischaemic Attack with CC Score 0-4,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,.,.,2
AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",.,.,.,.,2,.,.,.,1,.,.,.,2,.,1,.,.,6
AA30E,"Medical Care of Patients with Multiple Sclerosis, with CC Score 2-4",.,.,.,.,3,.,.,.,.,.,.,.,5,.,.,.,1,9
AA30F,"Medical Care of Patients with Multiple Sclerosis, with CC Score 0-1",2,.,.,.,2,1,.,.,.,.,.,.,35,.,.,.,.,40
AA31D,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 7-10",.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AA31E,"Headache, Migraine or Cerebrospinal Fluid Leak, with CC Score 0-6",11,.,3,1,.,1,.,.,.,.,.,.,28,.,1,.,.,45
AA33C,"Conventional EEG, EMG or Nerve Conduction Studies, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA33D,"Conventional EEG, EMG or Nerve Conduction Studies, 18 years and under",1,1,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,6
AA35B,Stroke with CC Score 13-15,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
AA35C,Stroke with CC Score 10-12,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA35D,Stroke with CC Score 7-9,.,4,.,1,.,.,.,.,.,.,.,.,6,.,.,.,.,11
AA35E,Stroke with CC Score 4-6,2,.,.,.,1,1,.,.,.,.,.,.,6,.,.,.,.,10
AA35F,Stroke with CC Score 0-3,1,.,1,.,.,.,.,.,.,.,.,.,1,.,1,.,.,4
AA50B,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA50C,"Very Complex Intracranial Procedures, 19 years and over, with CC Score 0-5",.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA50E,"Very Complex Intracranial Procedures, 18 years and under, with CC Score 6-11",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA51B,"Complex Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA51C,"Complex Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,8
AA51D,"Complex Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,1,.,.,.,.,15,.,.,.,.,16
AA51F,"Complex Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA51G,"Complex Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
AA52C,"Very Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,2,.,.,.,.,25,.,.,.,1,28
AA52D,"Very Major Intracranial Procedures, 19 years and over, with CC Score 0-3",.,.,.,.,.,.,.,6,.,.,.,.,66,.,.,.,1,73
AA52E,"Very Major Intracranial Procedures, 18 years and under, with CC Score 8+",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA52F,"Very Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA52G,"Very Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,11
AA53B,"Major Intracranial Procedures, 19 years and over, with CC Score 8-11",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA53C,"Major Intracranial Procedures, 19 years and over, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,37,.,.,.,1,38
AA53D,"Major Intracranial Procedures, 19 years and over, with CC Score 0-3",2,1,.,.,.,.,.,.,.,.,.,.,145,.,.,.,1,149
AA53F,"Major Intracranial Procedures, 18 years and under, with CC Score 4-7",.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,2
AA53G,"Major Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AA54A,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
AA54B,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 2-3",.,.,2,.,.,.,.,.,.,.,.,.,4,.,.,.,.,6
AA54C,"Intermediate Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,1,7
AA55A,"Minor Intracranial Procedures, 19 years and over, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
AA55C,"Minor Intracranial Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA56A,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 4+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
AA56B,"Minor or Intermediate, Intracranial Procedures, 18 years and under, with CC Score 0-3",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AA57A,"Minimal Intracranial Procedures, 19 years and over",.,.,7,.,.,.,.,.,.,.,.,.,9,.,.,.,.,16
AA60A,"Insertion of Neurostimulator for Treatment of Neurological Conditions, 19 years and over",.,.,4,.,.,.,.,.,.,.,.,.,10,.,.,.,.,14
AA61A,"Insertion of Intrathecal Drug Delivery Device for Treatment of Neurological Conditions, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,17
AA80Z,Complex Long Term EEG Monitoring,.,2,.,.,3,.,.,.,.,.,.,.,136,.,.,.,.,141
AA81Z,Standard Long Term EEG Monitoring,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AB12Z,Insertion of Neurostimulator for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,4
AB14Z,Insertion of Neurostimulator Electrodes for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AB16Z,"Denervation or Injection Around Spinal Facet, for Pain Management",.,.,.,.,.,.,.,9,.,.,.,.,1,.,.,.,.,10
AB17Z,"Nerve Block or Destruction of Nerve, for Pain Management",2,.,.,.,.,.,.,2,.,.,.,.,7,.,.,.,.,11
AB18Z,Continuous Infusion of Therapeutic Substance for Pain Management,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,5
AB19Z,Injection of Therapeutic Substance into Joint for Pain Management,.,.,.,.,.,.,.,4,.,.,.,.,2,.,.,.,1,7
AB20Z,Epidural Under Image Control for Pain Management,.,.,.,.,.,.,.,3,.,.,.,.,3,.,.,.,.,6
AB21Z,"Epidural or Therapeutic Spinal Puncture, for Pain Management",.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,2
AB22Z,Trigger Point Injection for Pain Management,.,.,.,.,1,.,.,.,.,.,.,1,.,.,1,.,.,3
BZ24D,Non-Surgical Ophthalmology with Interventions,1,1,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,4
BZ24F,"Non-Surgical Ophthalmology without Interventions, with CC Score 2-4",1,.,1,.,.,.,.,.,.,.,.,.,1,.,.,.,.,3
BZ24G,"Non-Surgical Ophthalmology without Interventions, with CC Score 0-1",9,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,22
BZ30A,"Complex, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,3
BZ30B,"Complex, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,.,24
BZ31A,"Very Major, Cataract or Lens Procedures, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,2
BZ31B,"Very Major, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,21,.,.,.,.,21
BZ32A,"Intermediate, Cataract or Lens Procedures, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ32B,"Intermediate, Cataract or Lens Procedures, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,7
BZ33Z,"Minor, Cataract or Lens Procedures",2,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,3
BZ34C,"Phacoemulsification Cataract Extraction and Lens Implant, with CC Score 0-1",12,.,.,.,.,.,.,.,.,.,5,.,27,.,.,.,.,44
BZ41B,"Complex Oculoplastics Procedures, 19 years and over, with CC Score 0-1",.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,1,5
BZ42A,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 2+",1,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,3
BZ42B,"Very Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,4,15
BZ43Z,"Complex or Very Major, Oculoplastics Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1
BZ44B,"Major Oculoplastics Procedures, 19 years and over, with CC Score 0-1",1,.,.,.,.,.,.,.,.,.,1,.,3,.,.,.,.,5
BZ45A,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 2+",.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,2
BZ45B,"Intermediate Oculoplastics Procedures, 19 years and over, with CC Score 0-1",4,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,6,13
BZ45C,"Intermediate Oculoplastics Procedures, between 4 and 18 years",1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2
BZ45D,"Intermediate Oculoplastics Procedures, 3 years and under",3,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,4
BZ46A,"Minor Oculoplastics Procedures, 19 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1
BZ50Z,"Very Complex, Orbit or Lacrimal Procedures, 19 years and over",2,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,4
BZ51A,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,4,7
BZ51B,"Complex, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",4,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,5,17
BZ52Z,"Very Complex or Complex, Orbit or Lacrimal Procedures, 18 years and under",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2
BZ53A,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,2,3
BZ53B,"Very Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 0",1,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,4
BZ54A,"Major, Orbit or Lacrimal Procedures, 19 years and over, with CC Score 1+",1,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,3
