Disease,Week 30,Week 29,Week 28,Week 27,2016,2015,2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,0,0,0,31,30,40,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,2,3,4,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,37,27,17,46,1152,1105,1323,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,0,0,1,11,22,9,, ,,,,,,
Food Poisoning,52,50,43,47,1181,1042,1027,, , ,,,,,
Gastroenteritis (< 2years),1,2,1,2,142,235,301,, , ,,,,,
Hepatitis A,0,0,0,0,8,7,2,, , , , ,,,
Hepatitis B,3,0,0,0,33,44,69,, , , , , ,,
Hepatitis Unspecified,1,0,0,2,5,0,0,, ,,, ,,,
Legionnaires' Disease,0,2,0,0,2,3,3,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,2,0,, , , , ,,,
Malaria,0,0,0,0,1,2,5,,, ,,, ,,
Measles,3,0,0,0,14,14,10,, , , , ,,,
Meningococcal Septicaemia,0,0,1,1,12,9,15,,, , , , ,,
Mumps,1,7,0,2,284,185,37,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,1,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,4,6,,, ,,,,,
Scarlet Fever,2,4,19,14,351,296,513,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),1,1,1,0,29,25,44,, , ,,,,,
Tuberculosis (Non Pulmonary),1,2,2,1,25,19,23,, , ,,,,,
Typhoid,0,0,0,0,1,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , , ,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,4,5,5,0,69,48,19,, , , ,,,,
Yellow Fever,0,0,0,2,2,0,0,, , ,,,,,
Total,108,100,89,118,3356,3097,3450,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
