Disease,Week 10,Week 9,Week 8,Week 7,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,13,14,20,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,1,3,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,27,36,29,16,276,305,399,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,2,0,0,0,4,10,1,, ,,,,,,
Food Poisoning,25,18,37,28,301,255,224,, , ,,,,,
Gastroenteritis (< 2years),1,1,0,2,28,66,98,, , ,,,,,
Hepatitis A,0,0,0,0,2,3,2,, , , , ,,,
Hepatitis B,1,1,3,3,20,14,33,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,0,0,1,0,4,,, ,,, ,,
Measles,1,2,0,1,7,4,5,, , , , ,,,
Meningococcal Septicaemia,1,0,1,0,4,7,9,,, , , , ,,
Mumps,7,10,15,20,143,80,14,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,2,0,,, ,,,,,
Scarlet Fever,15,12,5,7,93,111,124,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),1,2,1,1,11,13,13,, , ,,,,,
Tuberculosis (Non Pulmonary),0,1,0,1,6,9,11,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,2,2,3,2,21,7,3,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,83,85,94,81,931,904,963,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
