Disease,Week 17,Week 16,Week 15,Week 14,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,1,1,0,1,21,29,19,,,,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,3,2,,,,,,,,
Anthrax,0,0,0,0,0,0,1,, ,,,,,,
Chickenpox,55,56,41,57,629,808,614,,,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, ,,,,,,
Dysentery,1,3,0,0,15,3,1,, ,,,,,,
Food Poisoning,50,39,17,30,483,404,431,, ,,,,,,
Gastroenteritis (< 2years),2,4,5,3,99,136,254,,, ,,,,,
Hepatitis A,1,0,0,2,7,2,1,,,, , ,,,
Hepatitis B,2,1,1,1,39,46,31,,, , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,1,0,0,2,1,4,,, ,, ,, ,
Leptospirosis,0,0,0,0,1,0,0,, , , , ,,,
Malaria,0,0,0,1,1,4,3,,, ,,, ,,
Measles,0,0,0,1,8,8,35,, , , , ,,,
Meningococcal Septicaemia,0,0,1,0,9,12,11,,, , , , ,,
Mumps,3,10,3,5,119,17,436,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,1,0,0,0,1,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,3,0,6,,, ,,,,,
Scarlet Fever,13,10,6,12,196,371,97,, ,,,,,,
Smallpox,0,0,0,0,0,0,0,,, ,,,,,
Tetanus,0,0,0,0,2,0,0,, ,,,,,,
Tuberculosis (Pulmonary),1,0,1,0,16,24,12,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,0,1,13,16,10,, ,,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0,, ,,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , ,,,,,
Whooping Cough,1,1,2,0,12,9,51,, , ,,,,,
Yellow Fever,0,0,0,0,0,0,0,, ,,,,,,
Total,131,126,77,114,1677,1893,2019,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, ,,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, ,, ,,,,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , ,,,,,,
,,, , , ,,, ,,,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
