Disease,Week 48,Week 47,Week 46,Week 45,Total so far 2015,Same Period 2014,Same period 2013,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,2,1,40,54,56,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,4,15,6,,,,,,,,
Anthrax,0,0,0,0,0,0,2,, ,,,,,,
Chickenpox,13,13,7,14,1381,1582,1491,, ,,,,,,
Cholera,0,0,0,0,0,0,0,, ,,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,1,2,1,3,45,21,5,, ,,,,,,
Food Poisoning,40,27,39,42,1794,1734,1636,, , ,,,,,
Gastroenteritis (< 2years),2,1,2,3,298,414,540,, , ,,,,,
Hepatitis A,0,0,0,0,7,3,4,,, , , ,,,
Hepatitis B,2,1,1,0,90,116,105,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,1,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,10,4,10,,, ,, ,, ,
Leptospirosis,0,0,0,0,3,0,2,, , , , ,,,
Malaria,0,0,1,0,7,6,5,,, ,,, ,,
Measles,0,0,0,1,14,16,56,, , , , ,,,
Meningococcal Septicaemia,0,0,1,1,17,22,26,,, , , , ,,
Mumps,13,8,6,12,280,106,683,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,1,1,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,5,6,14,,, ,,,,,
Scarlet Fever,2,7,3,9,354,606,171,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,2,0,0,, , ,,,,,
Tuberculosis (Pulmonary),2,1,0,1,39,68,36,, , ,,,,,
Tuberculosis (Non Pulmonary),0,2,2,0,32,35,32,, , ,,,,,
Typhoid,0,0,0,0,1,0,1,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,1,, , , ,,,,
Whooping Cough,2,5,0,0,112,36,75,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,77,67,65,87,4536,4845,4958,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , ,,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
