HRG Code,HRG Label,Altnagelvin,Antrim,Belfast City,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Royal,South Tyrone,South West Acute,Tyrone County,Ulster,Northern Ireland Average
AA22C,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 14+",.,.,.,.,.,452,.,.,.,.,.,.,640,.,.,.,.,546
AA22D,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 11-13",546,401,.,.,376,.,.,.,.,.,.,.,436,.,.,.,.,428
AA22E,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 8-10",448,401,.,.,376,.,.,.,.,.,339,.,529,.,609,.,364,486
AA22F,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 5-7",462,388,.,.,376,291,.,.,370,.,.,.,491,.,514,.,364,450
AA22G,"Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC Score 0-4",458,382,515,495,472,291,.,.,.,.,334,.,433,.,514,.,364,422
AA23C,Haemorrhagic Cerebrovascular Disorders with CC Score 14+,.,.,.,.,.,344,.,.,.,.,.,.,450,.,.,.,422,393
AA23D,Haemorrhagic Cerebrovascular Disorders with CC Score 10-13,.,387,.,.,376,.,.,.,929,.,.,.,366,.,.,.,350,407
AA23E,Haemorrhagic Cerebrovascular Disorders with CC Score 6-9,446,373,.,.,376,291,.,.,370,.,344,.,399,.,561,.,345,391
AA23F,Haemorrhagic Cerebrovascular Disorders with CC Score 3-5,433,381,.,508,376,291,.,.,370,.,.,.,662,.,656,.,364,480
AA23G,Haemorrhagic Cerebrovascular Disorders with CC Score 0-2,424,374,532,470,386,330,.,.,.,.,342,.,532,.,.,.,364,433
AA24C,"Brain Tumours or Cerebral Cysts, with CC Score 11+",.,401,.,.,.,.,.,.,.,.,.,.,.,.,.,.,364,392
AA24D,"Brain Tumours or Cerebral Cysts, with CC Score 8-10",.,390,515,.,.,.,.,.,.,.,.,.,538,.,.,.,364,418
AA24E,"Brain Tumours or Cerebral Cysts, with CC Score 6-7",446,380,.,.,376,.,.,.,.,.,340,.,396,.,514,.,364,398
AA24F,"Brain Tumours or Cerebral Cysts, with CC Score 4-5",446,376,594,.,454,291,.,.,.,.,345,.,427,.,514,.,362,409
AA24G,"Brain Tumours or Cerebral Cysts, with CC Score 2-3",446,388,550,468,376,291,.,.,370,.,337,.,402,.,514,.,364,406
AA24H,"Brain Tumours or Cerebral Cysts, with CC Score 0-1",446,390,.,.,515,.,.,.,370,.,351,.,408,.,514,.,364,412
AA25C,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 14+",446,401,.,.,.,.,.,.,370,.,.,.,417,.,.,.,.,414
AA25D,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 11-13",428,357,.,.,376,.,.,.,.,.,471,.,554,.,514,.,356,424
AA25E,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 8-10",437,386,472,.,376,452,.,.,370,.,341,.,421,.,514,.,355,407
AA25F,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 5-7",449,377,480,468,376,330,515,.,370,378,344,.,426,440,542,.,352,403
AA25G,"Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC Score 0-4",447,382,517,563,413,362,515,.,428,.,358,.,429,.,514,498,354,409
AA26C,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 15+",.,401,608,.,387,291,.,.,333,.,.,.,417,.,.,.,364,472
AA26D,"Muscular, Balance, Cranial or Peripheral Nerve Disorders, Epilepsy or Head Injury, with CC Score 12-14",446,401,483,.,376,291,.,.,721,.,344,.,469,.,.,.,357,435
