Critical Care Services,Altnagelvin ,Antrim ,BCH,Causeway ,Craigavon Area ,Downe,Daisy Hill ,Greenpark,Lagan Valley ,Mater,Mid-Ulster ,Musgrave Park ,Royal Victoria ,South West Acute,Ulster ,Average,,
Coronary Intensive Care,,,,,,,,,,,,,"1,755",,,"1,755",,
High Dependency Unit,"1,818",,"1,501",,,,560,,,,,654,"1,295","2,112",,"1,207",,
Intensive Care Units,"3,483","2,034","2,850","1,990","2,155",,,,,"1,753",,,"2,537","4,562","2,519","2,456",,
Neonatal Care Services,902,"1,101",,,907,,"1,053",,,,,,"1,179","1,671",744,"1,033",,
Paediatric Intensive Care,,,,,,,,,,,,,"2,466",,,"2,466",,
Renal Dialysis,Altnagelvin,Antrim,BCH,Causeway,Craigavon,Daisy Hill,Downe,Greenpark,Lagan Valley,Mater,Mid Ulster,South Tyrone,Royal,Tyrone County,Ulster,Average,,
Inpatients,,,272,,,254,,,,,,,363,,538,316,,
Daycases,318,248,251,,,246,,,,,,,634,304,274,267,,
Outpatients,,,,,,,,,,,,,,,,,,
Rehabilitation Services,Altnagelvin,Antrim,BCH,Causeway,Daisy Hill,Downe,Greenpark,Lagan Valley,Lurgan,Mater,Mid Ulster,Mullinure,Royal,South West Acute,Tyrone County,Ulster,Whiteabbey,Average
Stroke - Children,,,,,,,,,,,,,,,,,,
Stroke - Adults,,,421,468,,,,,,,,,,,,,,464
Brain Injury - Children,,,,,,,,,,,,,,,,,,
Brain Injury - Adults,,,,,,,611,,,,,,,,,,,611
Other Neurological - Children,,,,,,,,,,,,,,,,,,
Other Neurological - Adults,,,,482,,,,,,,,,,,,,,482
Elderly,,,421,469,,,331,,,,502,,504,503,317,,389,384
Spinal Injuries,,,,468,,,502,,,,,,,,,,,502
Other,,,,474,,,,,,,,,,,,,,474
