Provider,Specialty,First Attendances Total Cost,Number of First Attendances,First Attendances Unit Cost,Follow Up Attendances Total Cost,Number of Follow Ups,Follow Up Attendances Unit Costs
,,£,,£,£,,£
Altnagelvin,100 General Surgery,"1,631,484","7,081",230,"927,689","6,725",138
Altnagelvin,101 Urology,"363,710","2,116",172,"475,718","3,668",130
Altnagelvin,110 T & O surgery,"1,611,725","10,017",161,"2,011,950","18,932",106
Altnagelvin,120 ENT,"1,249,654","6,209",201,"995,403","6,520",153
Altnagelvin,130 Ophthalmology,"1,341,631","6,628",202,"892,300","14,833",60
Altnagelvin,140 Oral surgery,"449,621","2,027",222,"389,762","3,328",117
Altnagelvin,143 Orthodontics,"72,483",264,275,"530,861","2,802",189
Altnagelvin,191 Pain management,"274,149",442,620,"117,261",868,135
Altnagelvin,300 General medicine,"994,284","3,705",268,"1,406,076","10,440",135
Altnagelvin,303 Haematology,"116,001",207,560,"522,132","3,493",149
Altnagelvin,315 Palliative medicine,"12,432",53,235,"19,857",142,140
Altnagelvin,320 Cardiology,"369,835","1,304",284,"675,317","3,185",212
Altnagelvin,330 Dermatology,"591,566","3,542",167,"385,656","19,694",20
Altnagelvin,360 Genito urinary medicine,"770,472","3,595",214,"189,758","1,342",141
Altnagelvin,361a Nephrology - Other,"64,947",435,149,"259,790","2,209",118
Altnagelvin,400 Neurology,"263,877",701,376,"237,445","2,127",112
Altnagelvin,410 Rheumatology,"406,398","1,038",392,"597,957","4,291",139
Altnagelvin,420 Paediatrics,"462,272","1,838",252,"840,579","6,798",124
Altnagelvin,430 Geriatric medicine,"171,600",322,533,"398,579","1,221",326
Altnagelvin,501 Obs & Gyn (Obstetrics),"633,596","2,763",229,"1,059,387","9,185",115
Altnagelvin,502b Gynaecology (Excluding IVF and Other Fertility Treatments),"818,532","5,832",140,"541,256","5,117",106
Altnagelvin,800 Clinical Oncology,"397,971",686,580,"828,545","5,153",161
Altnagelvin,822 Chemical Pathology,"21,989",60,366,"17,871",165,108
Altnagelvin,Nurse clinics,"218,261","1,696",129,"651,061","13,563",48
Antrim,100 General Surgery,"2,465,215","8,255",299,"1,729,792","9,272",187
Antrim,120 ENT,"644,033","4,812",134,"683,112","7,278",94
Antrim,143 Orthodontics,"47,576",222,214,"352,343","2,315",152
Antrim,191 Pain management,"53,951",460,117,"69,040",634,109
Antrim,300 General medicine,"1,180,604","3,962",298,"2,046,808","11,622",176
Antrim,301 Gastroenterology,"402,876","1,920",210,"571,837","4,042",141
Antrim,303 Haematology,"329,282","3,851",86,"453,885","5,880",77
Antrim,320 Cardiology,"904,653","3,414",265,"735,488","3,769",195
Antrim,330 Dermatology,"548,928","3,576",154,"537,148","4,669",115
Antrim,361a Nephrology - Other,"122,043",537,227,"574,735","4,187",137
