Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Population resident 2013,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout 
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women elected
(N)","Women elected
(%)",Unfilled positions
ASHBURTON DISTRICT,METHVEN COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,5,4,4,0.8,218,,,,,,,,,,3,75.00%,3,60.00%,1082,9,0.82%,"1,091","1,730",63.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,2,40.00%,1
ASHBURTON DISTRICT,ASHBURTON DISTRICT COUNCIL,ASHBURTON,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,7,,13,1.86,"1,827",973,4,30.80%,,,4,57.10%,4,,,,,,"12,784",4,0.03%,"12,788","17,502",73.10%,"12,784",4,"12,788","6,806",53.20%,4,100.00%,"6,810",53.30%,22,0.30%,,,22,0.30%,20,90.90%,,,20,90.90%,19,0.30%,82,1.20%,101,1.50%,5,38.50%,1,14.30%,
ASHBURTON DISTRICT,ASHBURTON DISTRICT COUNCIL,EASTERN,DC,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Unopposed,3,3,3,1,"1,774",,2,66.70%,,,2,66.70%,2,,,,,,5315,7,0.13%,"5,322","8,301",64.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
ASHBURTON DISTRICT,ASHBURTON DISTRICT COUNCIL,WESTERN,DC,FPP,s,Canterbury,Provincial,District,,Y,1.00 pm,9.10 pm Election Day,Random and Pseudo Random,,N/A,"21,327",189,231,Unopposed,2,2,2,1,"1,607",,2,100.00%,,,2,100.00%,2,,,,,,3206,7,0.22%,"3,213","5,238",61.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
ASHBURTON DISTRICT,ASHBURTON LICENSING TRUST,AT LARGE,LT,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,6,,9,1.5,"2,954",365,,,,,,,,,4,44.40%,4,66.70%,"17,723",,,"17,723",,,"17,723",,"17,723","2,191",12.40%,,,"2,191",12.40%,,,,,30,1.40%,,,,,28,93.30%,58,2.60%,348,15.90%,406,18.50%,1,11.10%,1,16.70%,
ASHBURTON DISTRICT,ASHBURTON DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Canterbury,Provincial,District,,,,,,,,,,,Contested,1,,3,3,"21,323","10,468",1,33.30%,2,Re-elected,1,100.00%,1,,,,,,"21,305",18,0.08%,"21,323","31,041",68.70%,"21,305",18,"21,323","10,438",49.00%,30,166.70%,"10,468",49.10%,32,0.30%,,,32,0.30%,30,93.80%,,,30,93.80%,4,0.00%,193,1.80%,197,1.90%,0,,,,
AUCKLAND,ALBERT-EDEN LOCAL BOARD,MAUNGAWHAU,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,,9,2.25,"8,590","3,033",,,,,,,,,3,33.30%,3,75.00%,"34,290",68,0.20%,"34,358",,,"34,290",68,"34,358","12,074",35.20%,56,82.40%,"12,130",35.30%,148,1.20%,2,3.60%,150,1.20%,121,81.80%,1,50.00%,122,81.30%,13,0.10%,954,7.90%,967,8.00%,3,33.30%,0,,
AUCKLAND,ALBERT-EDEN LOCAL BOARD,OWAIRAKA,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,,15,3.75,"8,193","2,932",,,,,,,,,4,26.70%,3,75.00%,"32,718",54,0.16%,"32,772",,,"32,718",54,"32,772","11,684",35.70%,44,81.50%,"11,728",35.80%,150,1.30%,2,4.50%,152,1.30%,121,80.70%,,0.00%,121,79.60%,63,0.50%,771,6.60%,834,7.10%,9,60.00%,3,75.00%,
AUCKLAND,DEVONPORT-TAKAPUNA LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,,18,3,"7,008","2,904",,,,,,,,,6,33.30%,5,83.30%,"42,013",34,0.08%,"42,047","60,200",69.80%,"42,013",34,"42,047","17,394",41.40%,28,82.40%,"17,422",41.40%,186,1.10%,2,7.10%,188,1.10%,163,87.60%,2,100.00%,165,87.80%,108,0.60%,532,3.10%,640,3.70%,6,33.30%,3,50.00%,
AUCKLAND,FRANKLIN LOCAL BOARD,PUKEKOHE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,,8,2,"5,416","1,953",,,,,,,,,2,25.00%,,,"21,643",20,0.09%,"21,663",,,"21,643",20,"21,663","7,791",36.00%,20,100.00%,"7,811",36.10%,49,0.60%,,,49,0.60%,33,67.30%,,,33,67.30%,11,0.10%,195,2.50%,206,2.60%,1,12.50%,1,25.00%,
AUCKLAND,FRANKLIN LOCAL BOARD,WAIROA,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,,5,1.67,"4,921","1,925",,,,,,,,,1,20.00%,,,"14,743",21,0.14%,"14,764",,,"14,743",21,"14,764","5,757",39.00%,18,85.70%,"5,775",39.10%,23,0.40%,,,23,0.40%,18,78.30%,,,18,78.30%,3,0.10%,378,6.50%,381,6.60%,2,40.00%,2,66.70%,
AUCKLAND,FRANKLIN LOCAL BOARD,WAIUKU,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,4,2,"4,839","1,749",,,,,,,,,2,50.00%,1,50.00%,9647,30,0.31%,"9,677",,,"9,647",30,"9,677","3,470",36.00%,27,90.00%,"3,497",36.10%,15,0.40%,3,11.10%,18,0.50%,6,40.00%,1,33.30%,7,38.90%,1,0.00%,96,2.70%,97,2.80%,1,25.00%,1,50.00%,
AUCKLAND,GREAT BARRIER LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,5,,10,2,151,110,,,,,,,,,2,20.00%,2,40.00%,683,74,9.78%,757,910,83.20%,683,74,757,480,70.30%,68,91.90%,548,72.40%,20,4.20%,11,16.20%,31,5.70%,14,70.00%,7,63.60%,21,67.70%,,,5,0.90%,5,0.90%,7,70.00%,4,80.00%,
AUCKLAND,HENDERSON-MASSEY LOCAL BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,8,,28,3.5,"9,058","2,918",,,,,,,,,7,25.00%,4,50.00%,"72,410",51,0.07%,"72,461","117,200",61.80%,"72,410",51,"72,461","23,306",32.20%,39,76.50%,"23,345",32.20%,215,0.90%,,,215,0.90%,152,70.70%,,,152,70.70%,197,0.80%,653,2.80%,850,3.60%,12,42.90%,2,25.00%,
AUCKLAND,HIBISCUS AND BAYS LOCAL BOARD,EAST COAST BAYS,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,,14,3.5,"8,464","3,070",,,,,,,,,4,28.60%,4,100.00%,"33,835",21,0.06%,"33,856",,,"33,835",21,"33,856","12,264",36.20%,15,71.40%,"12,279",36.30%,85,0.70%,1,6.70%,86,0.70%,61,71.80%,,,61,70.90%,51,0.40%,691,5.60%,742,6.00%,4,28.60%,2,50.00%,
AUCKLAND,HIBISCUS AND BAYS LOCAL BOARD,HIBISCUS COAST,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,4,,11,2.75,"8,427","3,438",,,,,,,,,2,18.20%,1,25.00%,"33,636",71,0.21%,"33,707",,,"33,636",71,"33,707","13,681",40.70%,69,97.20%,"13,750",40.80%,103,0.80%,4,5.80%,107,0.80%,92,89.30%,4,100.00%,96,89.70%,43,0.30%,489,3.60%,532,3.90%,5,45.50%,3,75.00%,
AUCKLAND,HOWICK LOCAL BOARD,BOTANY,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,,8,2.67,"10,906","3,716",,,,,,,,,2,25.00%,1,33.30%,"32,700",17,0.05%,"32,717",,,"32,700",17,"32,717","11,133",34.00%,14,82.40%,"11,147",34.10%,55,0.50%,2,14.30%,57,0.50%,32,58.20%,1,50.00%,33,57.90%,8,0.10%,402,3.60%,410,3.70%,2,25.00%,1,33.30%,
AUCKLAND,HOWICK LOCAL BOARD,HOWICK,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,,8,2.67,"10,329","4,085",,,,,,,,,2,25.00%,2,66.70%,"30,977",11,0.04%,"30,988",,,"30,977",11,"30,988","12,245",39.50%,11,100.00%,"12,256",39.60%,80,0.70%,2,18.20%,82,0.70%,65,81.30%,2,100.00%,67,81.70%,9,0.10%,377,3.10%,386,3.10%,2,25.00%,1,33.30%,
