Disease,Week 19,Week 18,Week 17,Week 16,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,3,0,2,1,21,22,31,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,2,1,3,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,64,70,46,63,694,706,918,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,0,1,0,5,17,3,, ,,,,,,
Food Poisoning,44,35,61,40,638,558,464,, , ,,,,,
Gastroenteritis (< 2years),6,3,0,1,102,149,195,, , ,,,,,
Hepatitis A,0,0,2,0,4,7,2,, , , , ,,,
Hepatitis B,3,2,0,3,18,25,53,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,2,1,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,0,0,1,1,4,,, ,,, ,,
Measles,0,0,0,0,9,9,9,, , , , ,,,
Meningococcal Septicaemia,0,0,1,1,8,9,12,,, , , , ,,
Mumps,5,6,19,3,240,126,20,, ,, ,,, ,
Paratyphoid Fever,0,1,0,0,1,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,3,1,,, ,,,,,
Scarlet Fever,14,8,13,20,253,226,393,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),3,1,4,0,22,17,30,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,0,0,12,14,16,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , , ,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,2,1,0,0,31,19,13,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,144,127,149,132,2061,1914,2168,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
