Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results,Progress results date,Preliminary results announced,Other elections,Other elections were:,Poles,Poles were:,Voting papers order,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Number of Special votes,Residential Special votes allowed,Ratepayer Special votes allowed,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable position,"Council candidates sitting members 
(N)","Council candidates sitting members 
(%)","Also candidates for Mayor 
(N)",Council member elected Mayor,Sitting Mayor,Council members re-elected (N),"Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates board members 
(N)","Candidates board members 
(%)","Board members elected 
(N)","Board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Special votes cast 
(N)","Special votes cast 
(%)","Residential special votes allowed 
(N)","Ratepayer special votes allowed 
(N)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)"
AUCKLAND CITY,PORTAGE LICENSING TRUST,WARD 3 GLEN EDEN,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,2,0,3,1.50,"4,513","1,536",,,,,,,,,,2,66.7%,1,50.0%,"9,025",,,"9,025",,,"9,025",,"9,025","3,071",34.0%,,,"3,071",34.0%,18,0.6%,18,,18,100.0%,6,0.2%,233,7.6%,239,7.8%,2,66.7%,1,50.0%
AUCKLAND CITY,PORTAGE LICENSING TRUST,WARD 4 TITIRANGI-GREEN BAY,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,2,0,3,1.50,"8,362","3,400",,,,,,,,,,2,66.7%,2,100.0%,"16,723",,,"16,723",,,"16,723",,"16,723","6,799",40.7%,,,"6,799",40.7%,46,0.7%,46,,46,100.0%,1,0.0%,824,12.1%,825,12.1%,1,33.3%,0,0.0%
AUCKLAND CITY,PORTAGE LICENSING TRUST,WARD 5 KELSTON WEST,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"7,394",,,,,,,,,,,1,100.0%,1,100.0%,"7,394",,,"7,394",,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%
AUCKLAND CITY,AVONDALE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,15,3.00,"5,575","2,083",,,,,,,,,,3,20.0%,3,60.0%,"27,820",56,0.20%,"27,876","44,100",63.2%,"27,820",56,"27,876","10,372",37.3%,41,73.2%,"10,413",37.4%,92,0.9%,73,1,74,80.4%,33,0.3%,686,6.6%,719,6.9%,8,53.3%,3,60.0%
AUCKLAND CITY,EASTERN BAYS COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,6,1.20,"7,161","3,459",,,,,,,,,,4,66.7%,4,80.0%,"35,751",56,0.16%,"35,807","48,700",73.5%,"35,751",56,"35,807","17,255",48.3%,42,75.0%,"17,297",48.3%,154,0.9%,116,1,117,76.0%,6,0.0%,2379,13.8%,"2,385",13.8%,3,50.0%,3,60.0%
AUCKLAND CITY,EDEN-ALBERT COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,6,0,20,3.33,"7,682","2,916",,,,,,,,,,6,30.0%,6,100.0%,"45,942",151,0.33%,"46,093","71,500",64.5%,"45,942",151,"46,093","17,476",38.0%,20,13.2%,"17,496",38.0%,234,1.3%,110,20,130,55.6%,88,0.5%,1600,9.1%,"1,688",9.6%,9,45.0%,3,50.0%
AUCKLAND CITY,GREAT BARRIER COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,8,1.60,133,82,,,,,,,,,,2,25.0%,2,40.0%,613,52,7.82%,665,870,76.4%,613,52,665,364,59.4%,45,86.5%,409,61.5%,22,5.4%,4,4,8,36.4%,0,0.0%,3,0.7%,3,0.7%,3,37.5%,2,40.0%
AUCKLAND CITY,HOBSON COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,6,0,15,2.50,"7,121","2,959",,,,,,,,,,3,20.0%,0,0.0%,"42,550",178,0.42%,"42,728","68,100",62.7%,"42,550",178,"42,728","17,597",41.4%,155,87.1%,"17,752",41.5%,216,1.2%,148,5,153,70.8%,39,0.2%,1988,11.2%,"2,027",11.4%,5,33.3%,4,66.7%
AUCKLAND CITY,MAUNGAKIEKIE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,8,1.60,"6,693","2,428",,,,,,,,,,2,25.0%,2,40.0%,"33,348",116,0.35%,"33,464","49,300",67.9%,"33,348",116,"33,464","12,048",36.1%,93,80.2%,"12,141",36.3%,83,0.7%,48,2,50,60.2%,8,0.1%,1620,13.3%,"1,628",13.4%,4,50.0%,3,60.0%
AUCKLAND CITY,MOUNT ROSKILL COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,14,2.80,"7,024","2,743",,,,,,,,,,3,21.4%,2,40.0%,"35,085",34,0.10%,"35,119","53,400",65.8%,"35,085",34,"35,119","13,685",39.0%,29,85.3%,"13,714",39.1%,72,0.5%,53,1,54,75.0%,39,0.3%,995,7.3%,"1,034",7.5%,4,28.6%,2,40.0%
AUCKLAND CITY,TAMAKI COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,11,2.20,"5,879","1,744",,,,,,,,,,3,27.3%,3,60.0%,"29,320",76,0.26%,"29,396","49,600",59.3%,"29,320",76,"29,396","8,658",29.5%,62,81.6%,"8,720",29.7%,49,0.6%,24,2,26,53.1%,28,0.3%,612,7.0%,640,7.3%,6,54.5%,4,80.0%
AUCKLAND CITY,WAIHEKE COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,9,1.80,"1,175",673,,,,,,,,,,4,44.4%,4,80.0%,"5,594",282,4.80%,"5,876","8,190",71.7%,"5,594",282,"5,876","3,171",56.7%,196,69.5%,"3,367",57.3%,65,1.9%,31,5,36,55.4%,2,0.1%,100,3.0%,102,3.0%,2,22.2%,1,20.0%
AUCKLAND CITY,WESTERN BAYS COMMUNITY BOARD,AT LARGE,CB,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,At large,5,0,8,1.60,"5,752","2,420",,,,,,,,,,3,37.5%,3,60.0%,"28,668",93,0.32%,"28,761","39,600",72.6%,"28,668",93,"28,761","12,020",41.9%,81,87.1%,"12,101",42.1%,187,1.5%,124,1,125,66.8%,21,0.2%,1513,12.5%,"1,534",12.7%,4,50.0%,2,40.0%
AUCKLAND CITY,AUCKLAND CITY COUNCIL,AT LARGE,MAYOR,FPP,n,Auckland,Metro,City,l,Yes,13/10/2007 @ 12.02,20:01:00,No,,No,,Alphabetical order,285796,4597,N/A,1174,731,42,,1,0,15,15.00,"285,470","113,208",2,13.3%,2,n,Defeated,0,0.0%,0,,,,,,"284,691",779,0.27%,"285,470","433,270",65.9%,"284,691",779,"285,470","112,622",39.6%,586,75.2%,"113,208",39.7%,1174,1.0%,731,38,769,65.5%,340,0.3%,1449,1.3%,"1,789",1.6%,4,26.7%,0,0.0%
AUCKLAND CITY,AUCKLAND CITY COUNCIL,AVONDALE-ROSKILL,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,4,0,17,4.25,"15,743","6,024",3,17.6%,0,,,3,75.0%,3,,2,11.8%,0,0.0%,"62,905",67,0.11%,"62,972","97,400",64.7%,"62,905",67,"62,972","24,041",38.2%,55,82.1%,"24,096",38.3%,164,0.7%,126,2,128,78.0%,130,0.5%,1275,5.3%,"1,405",5.8%,5,29.4%,2,50.0%
AUCKLAND CITY,AUCKLAND CITY COUNCIL,EASTERN BAYS,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,2,0,4,2.00,"17,900","8,647",2,50.0%,0,,,2,100.0%,2,,0,0.0%,0,0.0%,"35,751",49,0.14%,"35,800","48,700",73.5%,"35,751",49,"35,800","17,255",48.3%,39,79.6%,"17,294",48.3%,154,0.9%,116,1,117,76.0%,11,0.1%,1536,8.9%,"1,547",8.9%,1,25.0%,1,50.0%
AUCKLAND CITY,AUCKLAND CITY COUNCIL,EDEN-ALBERT,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,3,0,12,4.00,"15,352","5,832",3,25.0%,1,,,2,66.7%,2,,0,0.0%,0,0.0%,"45,942",113,0.25%,"46,055","71,500",64.4%,"45,942",113,"46,055","17,476",38.0%,19,16.8%,"17,495",38.0%,234,1.3%,110,19,129,55.1%,53,0.3%,1509,8.6%,"1,562",8.9%,5,41.7%,2,66.7%
AUCKLAND CITY,AUCKLAND CITY COUNCIL,HAURAKI GULF ISLANDS,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,1,0,4,4.00,"6,404","3,689",1,25.0%,0,,,0,0.0%,0,,1,25.0%,0,0.0%,"6,207",197,3.08%,"6,404","9,070",70.6%,"6,207",197,"6,404","3,537",57.0%,152,77.2%,"3,689",57.6%,87,2.4%,35,8,43,49.4%,8,0.2%,119,3.2%,127,3.4%,3,75.0%,1,100.0%
AUCKLAND CITY,AUCKLAND CITY COUNCIL,HOBSON,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,3,0,11,3.67,"14,233","5,911",2,18.2%,0,,,0,0.0%,0,,1,9.1%,0,0.0%,"42,550",150,0.35%,"42,700","68,100",62.7%,"42,550",150,"42,700","17,597",41.4%,137,91.3%,"17,734",41.5%,216,1.2%,148,5,153,70.8%,47,0.3%,1408,7.9%,"1,455",8.2%,3,27.3%,0,0.0%
AUCKLAND CITY,AUCKLAND CITY COUNCIL,TAMAKI-MAUNGAKIEKIE,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,4,0,13,3.25,"15,699","5,203",3,23.1%,0,,,3,75.0%,3,,0,0.0%,0,0.0%,"62,668",129,0.21%,"62,797","98,900",63.5%,"62,668",129,"62,797","20,706",33.0%,107,82.9%,"20,813",33.1%,132,0.6%,72,1,73,55.3%,64,0.3%,1427,6.9%,"1,491",7.2%,5,38.5%,1,25.0%
AUCKLAND CITY,AUCKLAND CITY COUNCIL,WESTERN BAYS,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,,,,,,,2,0,9,4.50,"14,371","6,044",0,0.0%,1,,,0,0.0%,0,,1,11.1%,1,50.0%,"28,668",74,0.26%,"28,742","39,600",72.6%,"28,668",74,"28,742","12,021",41.9%,66,89.2%,"12,087",42.1%,187,1.5%,124,1,125,66.8%,17,0.1%,928,7.7%,945,7.8%,4,44.4%,0,0.0%
AUCKLAND REGION,AUCKLAND REGIONAL COUNCIL,AUCKLAND,RC,FPP,n,Auckland,Regional,Regional,,,,,,,,,,,,,,,,,4,0,12,3.00,"71,224","28,194",3,25.0%,,,,3,75.0%,,,,,,,"284,691",204,0.07%,"284,895","433,300",65.8%,"284,691",204,"284,895","112,622",39.6%,152,74.5%,"112,774",39.6%,1174,1.0%,731,7,738,62.9%,664,0.6%,11135,9.9%,"11,799",10.5%,4,33.3%,1,25.0%
AUCKLAND REGION,AUCKLAND REGIONAL COUNCIL,MANUKAU,RC,FPP,n,Auckland,Regional,Regional,,,,,,,,,,,,,,,,,3,0,13,4.33,"73,073","27,909",2,15.4%,,,,1,33.3%,,,,,,,"219,193",25,0.01%,"219,218","354,800",61.8%,"219,193",25,"219,218","83,708",38.2%,20,80.0%,"83,728",38.2%,820,1.0%,560,0,560,68.3%,385,0.5%,7371,8.8%,"7,756",9.3%,3,23.1%,1,33.3%
AUCKLAND REGION,AUCKLAND REGIONAL COUNCIL,NORTH SHORE,RC,FPP,n,Auckland,Regional,Regional,,,,,,,,,,,,,,,,,2,0,6,3.00,"74,299","26,295",2,33.3%,,,,1,50.0%,,,,,,,"148,573",24,0.02%,"148,597","220,300",67.5%,"148,573",24,"148,597","52,571",35.4%,19,79.2%,"52,590",35.4%,396,0.8%,296,4,300,75.8%,155,0.3%,2574,4.9%,"2,729",5.2%,2,33.3%,1,50.0%
AUCKLAND REGION,AUCKLAND REGIONAL COUNCIL,PAPAKURA-FRANKLIN,RC,FPP,n,Auckland,Regional,Regional,,,,,,,,,,,,,,,,,1,0,3,3.00,"58,909","20,346",1,33.3%,,,,1,100.0%,,,,,,,"58,881",28,0.05%,"58,909","92,400",63.8%,"58,881",28,"58,909","20,339",34.5%,7,25.0%,"20,346",34.5%,145,0.7%,96,11,107,73.8%,74,0.4%,1640,8.1%,"1,714",8.4%,2,66.7%,1,100.0%
AUCKLAND REGION,AUCKLAND REGIONAL COUNCIL,RODNEY,RC,FPP,n,Auckland,Regional,Regional,,,,,,,,,,,,,,,,,1,0,3,3.00,"64,462","28,985",1,33.3%,,,,1,100.0%,,,,,,,"64,436",26,0.04%,"64,462","94,700",68.1%,"64,436",26,"64,462","28,964",45.0%,21,80.8%,"28,985",45.0%,264,0.9%,170,0,170,64.4%,24,0.1%,2187,7.5%,"2,211",7.6%,1,33.3%,1,100.0%
AUCKLAND REGION,AUCKLAND REGIONAL COUNCIL,WAITAKERE,RC,FPP,n,Auckland,Regional,Regional,,,,,,,,,,,,,,,,,2,0,4,2.00,"63,072","23,720",2,50.0%,,,,2,100.0%,,,,,,,"126,083",60,0.05%,"126,143","198,500",63.5%,"126,083",60,"126,143","47,414",37.6%,26,43.3%,"47,440",37.6%,347,0.7%,,,347,,61,0.1%,3998,8.4%,"4,059",8.6%,1,25.0%,1,50.0%
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,EASTERN BAY OF PLENTY,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,,,,,,,2,0,5,2.50,"11,113","5,880",2,40.0%,,,,1,50.0%,,,,,,,"22,199",27,0.12%,"22,226","50,600",43.9%,"22,199",27,"22,226","11,736",52.9%,24,88.9%,"11,760",52.9%,86,0.7%,83,3,86,100.0%,53,0.5%,608,5.2%,661,5.6%,1,20.0%,0,0.0%
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,KOHI MAORI,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,,,,,,,1,0,2,2.00,"9,299","2,976",1,50.0%,,,,1,100.0%,,,,,,,"9,299",0,0.00%,"9,299",,,"9,297",0,"9,297","2,976",32.0%,0,,"2,976",32.0%,27,0.9%,,,27,,5,0.2%,132,4.4%,137,4.6%,0,0.0%,0,0.0%
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,MAUAO MAORI,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,,,,,,Unopposed,1,1,1,1.00,"8,718",,1,100.0%,,,,1,100.0%,,,,,,,"8,718",0,0.00%,"8,718",,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,OKUREI MAORI,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,,,,,,,1,0,3,3.00,"9,688","3,069",1,33.3%,,,,0,0.0%,,,,,,,"9,686",2,0.02%,"9,688",,,"9,686",2,"9,688","3,067",31.7%,2,100.0%,"3,069",31.7%,59,1.9%,,,59,,4,0.1%,168,5.5%,172,5.6%,0,0.0%,0,0.0%
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,ROTORUA,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,,,,,,,2,0,4,2.00,"16,161","7,663",3,75.0%,,,,2,100.0%,,,,,,,"32,187",135,0.42%,"32,322",,,"32,187",135,"32,322","15,224",47.3%,102,75.6%,"15,326",47.4%,169,1.1%,,,169,,25,0.2%,1225,8.0%,"1,250",8.2%,1,25.0%,0,0.0%
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,TAURANGA,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,,,,,,,4,0,9,2.25,"17,666","8,145",3,33.3%,,,,3,75.0%,,,,,,,"70,590",74,0.10%,"70,664",,,"70,590",74,"70,664","32,527",46.1%,52,70.3%,"32,579",46.1%,216,0.7%,,,216,,44,0.1%,1773,5.4%,"1,817",5.6%,1,11.1%,1,25.0%
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,WESTERN BAY OF PLENTY,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,,,,,,,2,0,8,4.00,"13,830","5,347",2,25.0%,,,,1,50.0%,,,,,,,"27,334",325,1.18%,"27,659",,,"27,334",325,"27,659","10,537",38.5%,157,48.3%,"10,694",38.7%,22,0.2%,18,4,22,100.0%,72,0.7%,539,5.0%,611,5.7%,0,0.0%,0,0.0%
BULLER DISTRICT,WEST COAST DEVELOPMENT TRUST,BULLER,OTHER,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,1,0,3,3.00,"7,205","4,410",,,,,,,,,,2,66.7%,1,100.0%,"7,205",,,"7,205",,,"7,205",,"7,205","4,410",61.2%,,,"4,410",61.2%,51,1.2%,42,,42,82.4%,4,0.1%,361,8.2%,365,8.3%,1,33.3%,0,0.0%
BULLER DISTRICT,WEST COAST DEVELOPMENT TRUST,GREY,OTHER,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,1,0,5,5.00,"9,689","5,462",,,,,,,,,,1,20.0%,0,0.0%,"9,689",,,"9,689",,,"9,689",,"9,689","5,462",56.4%,,,"5,462",56.4%,25,0.5%,24,,24,96.0%,68,1.2%,161,2.9%,229,4.2%,1,20.0%,0,0.0%
BULLER DISTRICT,WEST COAST DEVELOPMENT TRUST,WESTLAND,OTHER,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,1,0,3,3.00,"5,709","3,076",,,,,,,,,,1,33.3%,0,0.0%,"5,709",,,"5,709",,,"5,709",,"5,709","3,076",53.9%,,,"3,076",53.9%,12,0.4%,7,,7,58.3%,19,0.6%,120,3.9%,139,4.5%,0,0.0%,0,0.0%
BULLER DISTRICT,INANGAHUA COMMUNITY BOARD,AT LARGE,CB,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,At large,4,2,2,0.50,351,,,,,,,,,,,1,50.0%,1,25.0%,"1,392",13,0.93%,"1,405","2,010",69.9%,,,,,,,,,,,,,,,,,,,,,,2,100.0%,2,50.0%
BULLER DISTRICT,BULLER DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,West Coast,Rural,District,,No,,12:43:00,Yes,Development West Coast (formerly West Coast Development Trust),No,,Pseudo-random order,"7,262",120,23,52,42,6,,1,0,3,3.00,"7,262","4,463",2,66.7%,1,y,Stood down,0,0.0%,1,,,,,,"7,205",57,0.78%,"7,262","9,970",72.8%,"7,205",57,"7,262","4,410",61.2%,53,93.0%,"4,463",61.5%,52,1.2%,42,6,48,92.3%,1,0.0%,213,4.8%,214,4.8%,1,33.3%,0,0.0%
BULLER DISTRICT,BULLER DISTRICT COUNCIL,INANGAHUA,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,2,0,3,1.50,703,330,1,33.3%,1,,,1,50.0%,1,,0,0.0%,0,0.0%,"1,392",13,0.93%,"1,405","2,010",69.9%,"1,392",13,"1,405",649,46.6%,11,84.6%,660,47.0%,1,0.2%,1,0,1,100.0%,0,0.0%,49,7.4%,49,7.4%,0,0.0%,0,0.0%
BULLER DISTRICT,BULLER DISTRICT COUNCIL,SEDDON,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,2,0,6,3.00,645,354,2,33.3%,0,,,2,100.0%,2,,0,0.0%,0,0.0%,"1,272",17,1.32%,"1,289","1,760",73.2%,"1,272",17,"1,289",694,54.6%,13,76.5%,707,54.8%,8,1.1%,5,2,7,87.5%,1,0.1%,23,3.3%,24,3.4%,2,33.3%,1,50.0%
BULLER DISTRICT,BULLER DISTRICT COUNCIL,WESTPORT,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,,,,,,,6,0,13,2.17,761,516,3,23.1%,0,,,2,33.3%,2,,0,0.0%,0,0.0%,"4,541",27,0.59%,"4,568","6,200",73.7%,"4,541",27,"4,568","3,067",67.5%,29,107.4%,"3,096",67.8%,43,1.4%,36,4,40,93.0%,13,0.4%,112,3.6%,125,4.0%,4,30.8%,3,50.0%
