Disease,Week 11,Week 10,Week 9,Week 8,Total so far 2016,Same period 2015,Same period 2014,,,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,0,0,13,15,20,,, ,,,,,
Acute Encephalitis/Meningitis Viral,1,0,0,0,2,1,3,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,42,27,36,29,318,343,443,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,2,0,0,4,10,1,, ,,,,,,
Food Poisoning,18,25,18,37,319,289,251,, , ,,,,,
Gastroenteritis (< 2years),0,1,1,0,28,73,112,, , ,,,,,
Hepatitis A,0,0,0,0,2,3,2,, , , , ,,,
Hepatitis B,1,1,1,3,21,29,36,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,1,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,0,0,1,0,4,,, ,,, ,,
Measles,0,1,2,0,7,4,5,, , , , ,,,
Meningococcal Septicaemia,0,1,0,1,4,8,11,,, , , , ,,
Mumps,13,7,10,15,156,90,14,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,2,0,,, ,,,,,
Scarlet Fever,22,15,12,5,115,120,141,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),0,1,2,1,11,13,16,, , ,,,,,
Tuberculosis (Non Pulmonary),0,0,1,0,6,10,12,, , ,,,,,
Typhoid,0,0,0,0,1,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,1,2,2,3,22,7,3,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,98,83,85,94,1030,1021,1074,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
