Disease,Week 9,Week 8,Week 7,Week 6,Total so far 2016,Same period 2015,Same period 2014,, ,,,,,,
Acute Encephalitis/Meningitis Bacterial,0,0,0,3,13,13,19,,, ,,,,,
Acute Encephalitis/Meningitis Viral,0,0,0,0,1,1,2,,,,,,,,
Anthrax,0,0,0,0,0,0,0,, ,,,,,,
Chickenpox,36,29,16,22,249,278,278,, , ,, ,,,
Cholera,0,0,0,0,0,0,0,, , ,,,,,
Diphtheria,0,0,0,0,0,0,0,, , ,,,,,
Dysentery,0,0,0,0,2,7,1,, ,,,,,,
Food Poisoning,18,37,28,38,276,222,186,, , ,,,,,
Gastroenteritis (< 2years),1,0,2,1,27,57,77,, , ,,,,,
Hepatitis A,0,0,0,0,2,3,1,, , , , ,,,
Hepatitis B,0,3,3,3,18,24,30,, , , , , ,,
Hepatitis Unspecified,0,0,0,0,0,0,0,, ,,, ,,,
Legionnaires' Disease,0,0,0,0,0,0,0,,, ,, ,, ,
Leptospirosis,0,0,0,0,0,1,0,, , , , ,,,
Malaria,0,0,0,0,1,0,4,,, ,,, ,,
Measles,2,0,1,2,6,5,4,, , , , ,,,
Meningococcal Septicaemia,0,1,0,0,3,5,9,,, , , , ,,
Mumps,10,15,20,16,136,73,13,, ,, ,,, ,
Paratyphoid Fever,0,0,0,0,0,0,0,,,, ,,,, 
Plague,0,0,0,0,0,0,0,, , ,,,,,
Poliomyelitis (Paralytic),0,0,0,0,0,0,0,,,, ,,,,
Poliomyelitis (Acute),0,0,0,0,0,0,0,, , ,,,,, 
Rabies,0,0,0,0,0,0,0,, , ,,,,,
Relapsing Fever,0,0,0,0,0,0,0,, , ,,,,,
Rubella,0,0,0,0,0,2,0,,, ,,,,,
Scarlet Fever,12,5,7,13,78,95,82,, , ,,,,,
Smallpox,0,0,0,0,0,0,0,, , ,,,,,
Tetanus,0,0,0,0,0,2,0,, , ,,,,,
Tuberculosis (Pulmonary),2,1,1,0,10,11,10,, , ,,,,,
Tuberculosis (Non Pulmonary),1,0,1,1,6,8,7,, , ,,,,,
Typhoid,0,0,0,0,0,0,0,, , ,,,,,
Typhus,0,0,0,0,0,0,0, , , ,,,,,
Viral Haemorraghic Fever,0,0,0,0,0,0,0,, , , ,,,,
Whooping Cough,2,3,2,4,19,7,3,, , , ,,,,
Yellow Fever,0,0,0,0,0,0,0,, , ,,,,,
Total,84,94,81,103,847,814,726,, , ,,,,,
,,,,,,,,, , ,,,,,
"Food poisoning notifications include those formally notified by clinicians and reports of Salmonella, Campylobacter, Cryptosporidium, Giardia, Listeria ",,,,,,,,, , ,,,,,
and E Coli O 157 informally ascertained from laboratories.,,, ,,, , , , ,, ,,,,
,,, ,,,,, , , ,,,,,
*Data Provisional,,, ,, ,, , , , ,,,,,
,,, , , ,,, ,, ,,,,,
,,, , ,,,,,,,,,,,
,,, , ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,
